Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,anger,146,146,1.0
Chandler,surprise,14,146,0.0958904109589041
Chandler,disgust,8,146,0.0547945205479452
Chandler,joy,10,146,0.0684931506849315
Chandler,neutral,47,146,0.3219178082191781
Chandler,fear,7,146,0.04794520547945205
Chandler,sadness,14,146,0.0958904109589041
Joey,anger,192,192,1.0
Joey,surprise,23,192,0.11979166666666667
Joey,disgust,11,192,0.057291666666666664
Joey,joy,14,192,0.07291666666666667
Joey,neutral,65,192,0.3385416666666667
Joey,fear,12,192,0.0625
Joey,sadness,8,192,0.041666666666666664
Phoebe,anger,187,187,1.0
Phoebe,surprise,18,187,0.0962566844919786
Phoebe,disgust,3,187,0.016042780748663103
Phoebe,joy,14,187,0.0748663101604278
Phoebe,neutral,51,187,0.2727272727272727
Phoebe,fear,4,187,0.0213903743315508
Phoebe,sadness,16,187,0.0855614973262032
Ross,anger,208,208,1.0
Ross,surprise,21,208,0.10096153846153846
Ross,disgust,4,208,0.019230769230769232
Ross,joy,15,208,0.07211538461538461
Ross,neutral,58,208,0.27884615384615385
Ross,fear,6,208,0.028846153846153848
Ross,sadness,8,208,0.038461538461538464
Monica,anger,195,195,1.0
Monica,surprise,23,195,0.11794871794871795
Monica,disgust,10,195,0.05128205128205128
Monica,joy,10,195,0.05128205128205128
Monica,neutral,53,195,0.2717948717948718
Monica,fear,10,195,0.05128205128205128
Monica,sadness,6,195,0.03076923076923077
other,anger,172,172,1.0
other,surprise,16,172,0.09302325581395349
other,disgust,5,172,0.029069767441860465
other,joy,14,172,0.08139534883720931
other,neutral,60,172,0.3488372093023256
other,fear,5,172,0.029069767441860465
other,sadness,9,172,0.05232558139534884
Rachel,anger,188,188,1.0
Rachel,surprise,25,188,0.13297872340425532
Rachel,disgust,5,188,0.026595744680851064
Rachel,joy,14,188,0.07446808510638298
Rachel,neutral,41,188,0.21808510638297873
Rachel,fear,4,188,0.02127659574468085
Rachel,sadness,13,188,0.06914893617021277
