Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,anger,8,40,0.2
Chandler,surprise,3,40,0.075
Chandler,disgust,40,40,1.0
Chandler,joy,5,40,0.125
Chandler,fear,0,40,0.0
Chandler,neutral,15,40,0.375
Chandler,sadness,1,40,0.025
Phoebe,anger,3,33,0.09090909090909091
Phoebe,surprise,3,33,0.09090909090909091
Phoebe,disgust,33,33,1.0
Phoebe,joy,1,33,0.030303030303030304
Phoebe,fear,2,33,0.06060606060606061
Phoebe,neutral,13,33,0.3939393939393939
Phoebe,sadness,3,33,0.09090909090909091
Joey,anger,11,38,0.2894736842105263
Joey,surprise,6,38,0.15789473684210525
Joey,disgust,38,38,1.0
Joey,joy,2,38,0.05263157894736842
Joey,fear,2,38,0.05263157894736842
Joey,neutral,7,38,0.18421052631578946
Joey,sadness,1,38,0.02631578947368421
other,anger,5,25,0.2
other,surprise,1,25,0.04
other,disgust,25,25,1.0
other,joy,3,25,0.12
other,fear,0,25,0.0
other,neutral,10,25,0.4
other,sadness,1,25,0.04
Rachel,anger,5,31,0.16129032258064516
Rachel,surprise,5,31,0.16129032258064516
Rachel,disgust,31,31,1.0
Rachel,joy,3,31,0.0967741935483871
Rachel,fear,0,31,0.0
Rachel,neutral,10,31,0.3225806451612903
Rachel,sadness,4,31,0.12903225806451613
Monica,anger,10,50,0.2
Monica,surprise,8,50,0.16
Monica,disgust,50,50,1.0
Monica,joy,7,50,0.14
Monica,fear,1,50,0.02
Monica,neutral,10,50,0.2
Monica,sadness,1,50,0.02
Ross,anger,4,30,0.13333333333333333
Ross,surprise,5,30,0.16666666666666666
Ross,disgust,30,30,1.0
Ross,joy,4,30,0.13333333333333333
Ross,fear,0,30,0.0
Ross,neutral,12,30,0.4
Ross,sadness,2,30,0.06666666666666667
