Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,neutral -> fear,25,0.43103448275862066,58
Chandler,fear -> fear,13,0.22413793103448276,58
Chandler,anger -> fear,4,0.06896551724137931,58
Chandler,surprise -> fear,4,0.06896551724137931,58
Chandler,joy -> fear,8,0.13793103448275862,58
Chandler,sadness -> fear,4,0.06896551724137931,58
Rachel,sadness -> fear,10,0.23255813953488372,43
Rachel,fear -> fear,6,0.13953488372093023,43
Rachel,neutral -> fear,9,0.20930232558139536,43
Rachel,surprise -> fear,9,0.20930232558139536,43
Rachel,joy -> fear,7,0.16279069767441862,43
Rachel,anger -> fear,2,0.046511627906976744,43
Joey,neutral -> fear,13,0.29545454545454547,44
Joey,joy -> fear,10,0.22727272727272727,44
Joey,fear -> fear,10,0.22727272727272727,44
Joey,sadness -> fear,2,0.045454545454545456,44
Joey,surprise -> fear,4,0.09090909090909091,44
Joey,anger -> fear,3,0.06818181818181818,44
Joey,disgust -> fear,2,0.045454545454545456,44
Ross,neutral -> fear,23,0.5348837209302325,43
Ross,surprise -> fear,5,0.11627906976744186,43
Ross,anger -> fear,2,0.046511627906976744,43
Ross,joy -> fear,3,0.06976744186046512,43
Ross,sadness -> fear,5,0.11627906976744186,43
Ross,fear -> fear,5,0.11627906976744186,43
other,fear -> fear,6,0.16666666666666666,36
other,neutral -> fear,17,0.4722222222222222,36
other,surprise -> fear,3,0.08333333333333333,36
other,joy -> fear,6,0.16666666666666666,36
other,anger -> fear,1,0.027777777777777776,36
other,sadness -> fear,3,0.08333333333333333,36
Phoebe,neutral -> fear,11,0.39285714285714285,28
Phoebe,sadness -> fear,2,0.07142857142857142,28
Phoebe,joy -> fear,3,0.10714285714285714,28
Phoebe,surprise -> fear,3,0.10714285714285714,28
Phoebe,anger -> fear,4,0.14285714285714285,28
Phoebe,disgust -> fear,2,0.07142857142857142,28
Phoebe,fear -> fear,3,0.10714285714285714,28
Monica,neutral -> fear,7,0.25925925925925924,27
Monica,joy -> fear,5,0.18518518518518517,27
Monica,surprise -> fear,5,0.18518518518518517,27
Monica,disgust -> fear,1,0.037037037037037035,27
Monica,anger -> fear,4,0.14814814814814814,27
Monica,sadness -> fear,2,0.07407407407407407,27
Monica,fear -> fear,3,0.1111111111111111,27
