Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,anger,4,58,0.06896551724137931
Chandler,surprise,4,58,0.06896551724137931
Chandler,disgust,0,58,0.0
Chandler,joy,8,58,0.13793103448275862
Chandler,neutral,25,58,0.43103448275862066
Chandler,fear,58,58,1.0
Chandler,sadness,4,58,0.06896551724137931
Rachel,anger,2,43,0.046511627906976744
Rachel,surprise,9,43,0.20930232558139536
Rachel,disgust,0,43,0.0
Rachel,joy,7,43,0.16279069767441862
Rachel,neutral,9,43,0.20930232558139536
Rachel,fear,43,43,1.0
Rachel,sadness,10,43,0.23255813953488372
Joey,anger,3,44,0.06818181818181818
Joey,surprise,4,44,0.09090909090909091
Joey,disgust,2,44,0.045454545454545456
Joey,joy,10,44,0.22727272727272727
Joey,neutral,13,44,0.29545454545454547
Joey,fear,44,44,1.0
Joey,sadness,2,44,0.045454545454545456
Ross,anger,2,43,0.046511627906976744
Ross,surprise,5,43,0.11627906976744186
Ross,disgust,0,43,0.0
Ross,joy,3,43,0.06976744186046512
Ross,neutral,23,43,0.5348837209302325
Ross,fear,43,43,1.0
Ross,sadness,5,43,0.11627906976744186
other,anger,1,36,0.027777777777777776
other,surprise,3,36,0.08333333333333333
other,disgust,0,36,0.0
other,joy,6,36,0.16666666666666666
other,neutral,17,36,0.4722222222222222
other,fear,36,36,1.0
other,sadness,3,36,0.08333333333333333
Phoebe,anger,4,28,0.14285714285714285
Phoebe,surprise,3,28,0.10714285714285714
Phoebe,disgust,2,28,0.07142857142857142
Phoebe,joy,3,28,0.10714285714285714
Phoebe,neutral,11,28,0.39285714285714285
Phoebe,fear,28,28,1.0
Phoebe,sadness,2,28,0.07142857142857142
Monica,anger,4,27,0.14814814814814814
Monica,surprise,5,27,0.18518518518518517
Monica,disgust,1,27,0.037037037037037035
Monica,joy,5,27,0.18518518518518517
Monica,neutral,7,27,0.25925925925925924
Monica,fear,27,27,1.0
Monica,sadness,2,27,0.07407407407407407
