Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,anger,9,159,0.05660377358490566
Chandler,surprise,17,159,0.1069182389937107
Chandler,disgust,5,159,0.031446540880503145
Chandler,joy,159,159,1.0
Chandler,fear,2,159,0.012578616352201259
Chandler,neutral,76,159,0.4779874213836478
Chandler,sadness,4,159,0.025157232704402517
Rachel,anger,13,222,0.05855855855855856
Rachel,surprise,34,222,0.15315315315315314
Rachel,disgust,3,222,0.013513513513513514
Rachel,joy,222,222,1.0
Rachel,fear,6,222,0.02702702702702703
Rachel,neutral,82,222,0.36936936936936937
Rachel,sadness,9,222,0.04054054054054054
Ross,anger,16,253,0.06324110671936758
Ross,surprise,30,253,0.11857707509881422
Ross,disgust,4,253,0.015810276679841896
Ross,joy,253,253,1.0
Ross,fear,3,253,0.011857707509881422
Ross,neutral,98,253,0.38735177865612647
Ross,sadness,18,253,0.07114624505928854
Joey,anger,20,253,0.07905138339920949
Joey,surprise,25,253,0.09881422924901186
Joey,disgust,2,253,0.007905138339920948
Joey,joy,253,253,1.0
Joey,fear,2,253,0.007905138339920948
Joey,neutral,99,253,0.391304347826087
Joey,sadness,14,253,0.05533596837944664
Phoebe,anger,14,215,0.06511627906976744
Phoebe,surprise,26,215,0.12093023255813953
Phoebe,disgust,1,215,0.004651162790697674
Phoebe,joy,215,215,1.0
Phoebe,fear,3,215,0.013953488372093023
Phoebe,neutral,83,215,0.386046511627907
Phoebe,sadness,11,215,0.05116279069767442
other,anger,13,269,0.048327137546468404
other,surprise,30,269,0.11152416356877323
other,disgust,3,269,0.011152416356877323
other,joy,269,269,1.0
other,fear,3,269,0.011152416356877323
other,neutral,112,269,0.4163568773234201
other,sadness,13,269,0.048327137546468404
Monica,anger,15,220,0.06818181818181818
Monica,surprise,29,220,0.1318181818181818
Monica,disgust,7,220,0.031818181818181815
Monica,joy,220,220,1.0
Monica,fear,2,220,0.00909090909090909
Monica,neutral,83,220,0.37727272727272726
Monica,sadness,9,220,0.04090909090909091
