Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,anger,47,627,0.07496012759170653
Chandler,surprise,71,627,0.11323763955342903
Chandler,disgust,19,627,0.030303030303030304
Chandler,joy,76,627,0.12121212121212122
Chandler,neutral,627,627,1.0
Chandler,fear,25,627,0.03987240829346093
Chandler,sadness,26,627,0.04146730462519936
other,anger,60,908,0.06607929515418502
other,surprise,73,908,0.08039647577092511
other,disgust,11,908,0.012114537444933921
other,joy,112,908,0.12334801762114538
other,neutral,908,908,1.0
other,fear,17,908,0.018722466960352423
other,sadness,35,908,0.03854625550660793
Joey,anger,65,749,0.08678237650200267
Joey,surprise,89,749,0.11882510013351134
Joey,disgust,10,749,0.01335113484646195
Joey,joy,99,749,0.1321762349799733
Joey,neutral,749,749,1.0
Joey,fear,13,749,0.017356475300400534
Joey,sadness,38,749,0.050734312416555405
Monica,anger,53,538,0.09851301115241635
Monica,surprise,62,538,0.11524163568773234
Monica,disgust,14,538,0.026022304832713755
Monica,joy,83,538,0.15427509293680297
Monica,neutral,538,538,1.0
Monica,fear,7,538,0.013011152416356878
Monica,sadness,27,538,0.05018587360594796
Phoebe,anger,51,592,0.08614864864864864
Phoebe,surprise,62,592,0.10472972972972973
Phoebe,disgust,9,592,0.015202702702702704
Phoebe,joy,83,592,0.14020270270270271
Phoebe,neutral,592,592,1.0
Phoebe,fear,11,592,0.018581081081081082
Phoebe,sadness,41,592,0.06925675675675676
Rachel,anger,41,569,0.07205623901581722
Rachel,surprise,72,569,0.1265377855887522
Rachel,disgust,8,569,0.014059753954305799
Rachel,joy,82,569,0.14411247803163443
Rachel,neutral,569,569,1.0
Rachel,fear,9,569,0.015817223198594025
Rachel,sadness,57,569,0.10017574692442882
Ross,anger,58,736,0.07880434782608696
Ross,surprise,67,736,0.09103260869565218
Ross,disgust,14,736,0.019021739130434784
Ross,joy,98,736,0.1331521739130435
Ross,neutral,736,736,1.0
Ross,fear,23,736,0.03125
Ross,sadness,38,736,0.051630434782608696
