Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,neutral -> surprise,71,0.47333333333333333,150
Chandler,fear -> surprise,5,0.03333333333333333,150
Chandler,joy -> surprise,21,0.14,150
Chandler,sadness -> surprise,5,0.03333333333333333,150
Chandler,disgust -> surprise,3,0.02,150
Chandler,anger -> surprise,17,0.11333333333333333,150
Chandler,surprise -> surprise,28,0.18666666666666668,150
Joey,surprise -> surprise,41,0.22162162162162163,185
Joey,joy -> surprise,24,0.12972972972972974,185
Joey,sadness -> surprise,8,0.043243243243243246,185
Joey,disgust -> surprise,6,0.032432432432432434,185
Joey,neutral -> surprise,89,0.4810810810810811,185
Joey,anger -> surprise,16,0.08648648648648649,185
Joey,fear -> surprise,1,0.005405405405405406,185
Phoebe,surprise -> surprise,41,0.2679738562091503,153
Phoebe,neutral -> surprise,62,0.40522875816993464,153
Phoebe,anger -> surprise,16,0.10457516339869281,153
Phoebe,joy -> surprise,20,0.13071895424836602,153
Phoebe,sadness -> surprise,8,0.05228758169934641,153
Phoebe,disgust -> surprise,3,0.0196078431372549,153
Phoebe,fear -> surprise,3,0.0196078431372549,153
Rachel,surprise -> surprise,58,0.28292682926829266,205
Rachel,neutral -> surprise,72,0.35121951219512193,205
Rachel,joy -> surprise,33,0.16097560975609757,205
Rachel,anger -> surprise,15,0.07317073170731707,205
Rachel,disgust -> surprise,5,0.024390243902439025,205
Rachel,fear -> surprise,5,0.024390243902439025,205
Rachel,sadness -> surprise,17,0.08292682926829269,205
other,joy -> surprise,28,0.16091954022988506,174
other,neutral -> surprise,73,0.41954022988505746,174
other,anger -> surprise,14,0.08045977011494253,174
other,surprise -> surprise,49,0.28160919540229884,174
other,sadness -> surprise,7,0.040229885057471264,174
other,disgust -> surprise,1,0.005747126436781609,174
other,fear -> surprise,2,0.011494252873563218,174
Ross,neutral -> surprise,67,0.46853146853146854,143
Ross,anger -> surprise,10,0.06993006993006994,143
Ross,surprise -> surprise,33,0.23076923076923078,143
Ross,fear -> surprise,3,0.02097902097902098,143
Ross,joy -> surprise,18,0.1258741258741259,143
Ross,disgust -> surprise,5,0.03496503496503497,143
Ross,sadness -> surprise,7,0.04895104895104895,143
Monica,joy -> surprise,27,0.15789473684210525,171
Monica,neutral -> surprise,62,0.36257309941520466,171
Monica,surprise -> surprise,43,0.25146198830409355,171
Monica,fear -> surprise,4,0.023391812865497075,171
Monica,anger -> surprise,19,0.1111111111111111,171
Monica,disgust -> surprise,8,0.04678362573099415,171
Monica,sadness -> surprise,8,0.04678362573099415,171
