Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,sadness -> surprise -> anger,1,0.009174311926605505,109
Chandler,surprise -> anger -> anger,5,0.045871559633027525,109
Chandler,anger -> anger -> anger,21,0.1926605504587156,109
Chandler,joy -> neutral -> anger,1,0.009174311926605505,109
Chandler,neutral -> surprise -> anger,6,0.05504587155963303,109
Chandler,disgust -> neutral -> anger,2,0.01834862385321101,109
Chandler,fear -> fear -> anger,3,0.027522935779816515,109
Chandler,neutral -> neutral -> anger,15,0.13761467889908258,109
Chandler,neutral -> disgust -> anger,2,0.01834862385321101,109
Chandler,sadness -> neutral -> anger,3,0.027522935779816515,109
Chandler,neutral -> joy -> anger,3,0.027522935779816515,109
Chandler,joy -> joy -> anger,6,0.05504587155963303,109
Chandler,surprise -> neutral -> anger,4,0.03669724770642202,109
Chandler,surprise -> surprise -> anger,2,0.01834862385321101,109
Chandler,anger -> neutral -> anger,4,0.03669724770642202,109
Chandler,anger -> joy -> anger,1,0.009174311926605505,109
Chandler,anger -> sadness -> anger,3,0.027522935779816515,109
Chandler,neutral -> anger -> anger,8,0.07339449541284404,109
Chandler,sadness -> anger -> anger,2,0.01834862385321101,109
Chandler,anger -> surprise -> anger,1,0.009174311926605505,109
Chandler,neutral -> fear -> anger,2,0.01834862385321101,109
Chandler,anger -> disgust -> anger,1,0.009174311926605505,109
Chandler,joy -> fear -> anger,2,0.01834862385321101,109
Chandler,surprise -> sadness -> anger,2,0.01834862385321101,109
Chandler,neutral -> sadness -> anger,3,0.027522935779816515,109
Chandler,surprise -> disgust -> anger,1,0.009174311926605505,109
Chandler,joy -> surprise -> anger,1,0.009174311926605505,109
Chandler,joy -> anger -> anger,1,0.009174311926605505,109
Chandler,joy -> sadness -> anger,1,0.009174311926605505,109
Chandler,disgust -> anger -> anger,1,0.009174311926605505,109
Chandler,disgust -> disgust -> anger,1,0.009174311926605505,109
Joey,surprise -> neutral -> anger,5,0.033112582781456956,151
Joey,anger -> neutral -> anger,8,0.052980132450331126,151
Joey,neutral -> anger -> anger,8,0.052980132450331126,151
Joey,anger -> anger -> anger,25,0.16556291390728478,151
Joey,neutral -> fear -> anger,2,0.013245033112582781,151
Joey,anger -> surprise -> anger,5,0.033112582781456956,151
Joey,surprise -> anger -> anger,10,0.06622516556291391,151
Joey,neutral -> neutral -> anger,28,0.18543046357615894,151
Joey,neutral -> surprise -> anger,7,0.046357615894039736,151
Joey,joy -> disgust -> anger,2,0.013245033112582781,151
Joey,sadness -> neutral -> anger,6,0.039735099337748346,151
Joey,disgust -> anger -> anger,3,0.019867549668874173,151
Joey,disgust -> disgust -> anger,2,0.013245033112582781,151
Joey,surprise -> fear -> anger,1,0.006622516556291391,151
Joey,joy -> neutral -> anger,4,0.026490066225165563,151
Joey,surprise -> surprise -> anger,4,0.026490066225165563,151
Joey,neutral -> disgust -> anger,1,0.006622516556291391,151
Joey,joy -> surprise -> anger,1,0.006622516556291391,151
Joey,disgust -> joy -> anger,1,0.006622516556291391,151
Joey,anger -> fear -> anger,1,0.006622516556291391,151
Joey,fear -> anger -> anger,3,0.019867549668874173,151
Joey,neutral -> sadness -> anger,3,0.019867549668874173,151
Joey,neutral -> joy -> anger,4,0.026490066225165563,151
Joey,disgust -> fear -> anger,1,0.006622516556291391,151
Joey,joy -> fear -> anger,1,0.006622516556291391,151
Joey,joy -> joy -> anger,2,0.013245033112582781,151
Joey,fear -> fear -> anger,2,0.013245033112582781,151
Joey,sadness -> sadness -> anger,2,0.013245033112582781,151
Joey,anger -> sadness -> anger,1,0.006622516556291391,151
Joey,sadness -> anger -> anger,1,0.006622516556291391,151
Joey,sadness -> surprise -> anger,2,0.013245033112582781,151
Joey,surprise -> sadness -> anger,1,0.006622516556291391,151
Joey,sadness -> disgust -> anger,1,0.006622516556291391,151
Joey,anger -> disgust -> anger,1,0.006622516556291391,151
Joey,joy -> anger -> anger,1,0.006622516556291391,151
Joey,sadness -> joy -> anger,1,0.006622516556291391,151
Phoebe,anger -> anger -> anger,40,0.2684563758389262,149
Phoebe,joy -> joy -> anger,3,0.020134228187919462,149
Phoebe,neutral -> neutral -> anger,14,0.09395973154362416,149
Phoebe,surprise -> neutral -> anger,5,0.03355704697986577,149
Phoebe,neutral -> anger -> anger,13,0.087248322147651,149
Phoebe,sadness -> anger -> anger,5,0.03355704697986577,149
Phoebe,anger -> neutral -> anger,5,0.03355704697986577,149
Phoebe,joy -> anger -> anger,5,0.03355704697986577,149
Phoebe,joy -> neutral -> anger,6,0.040268456375838924,149
Phoebe,anger -> joy -> anger,3,0.020134228187919462,149
Phoebe,sadness -> neutral -> anger,5,0.03355704697986577,149
Phoebe,neutral -> sadness -> anger,4,0.026845637583892617,149
Phoebe,neutral -> joy -> anger,3,0.020134228187919462,149
Phoebe,sadness -> fear -> anger,1,0.006711409395973154,149
Phoebe,disgust -> surprise -> anger,1,0.006711409395973154,149
Phoebe,surprise -> anger -> anger,7,0.04697986577181208,149
Phoebe,anger -> sadness -> anger,3,0.020134228187919462,149
Phoebe,neutral -> fear -> anger,1,0.006711409395973154,149
Phoebe,fear -> anger -> anger,1,0.006711409395973154,149
Phoebe,joy -> fear -> anger,1,0.006711409395973154,149
Phoebe,neutral -> surprise -> anger,5,0.03355704697986577,149
Phoebe,sadness -> sadness -> anger,2,0.013422818791946308,149
Phoebe,disgust -> neutral -> anger,2,0.013422818791946308,149
Phoebe,surprise -> surprise -> anger,4,0.026845637583892617,149
Phoebe,surprise -> disgust -> anger,1,0.006711409395973154,149
Phoebe,anger -> surprise -> anger,2,0.013422818791946308,149
Phoebe,anger -> disgust -> anger,1,0.006711409395973154,149
Phoebe,disgust -> sadness -> anger,1,0.006711409395973154,149
Phoebe,fear -> sadness -> anger,1,0.006711409395973154,149
Phoebe,surprise -> joy -> anger,1,0.006711409395973154,149
Phoebe,sadness -> joy -> anger,1,0.006711409395973154,149
Phoebe,fear -> surprise -> anger,1,0.006711409395973154,149
Phoebe,joy -> surprise -> anger,1,0.006711409395973154,149
Ross,neutral -> surprise -> anger,6,0.037267080745341616,161
Ross,neutral -> neutral -> anger,22,0.13664596273291926,161
Ross,neutral -> anger -> anger,15,0.09316770186335403,161
Ross,anger -> anger -> anger,47,0.2919254658385093,161
Ross,anger -> neutral -> anger,9,0.055900621118012424,161
Ross,joy -> joy -> anger,3,0.018633540372670808,161
Ross,joy -> anger -> anger,6,0.037267080745341616,161
Ross,surprise -> neutral -> anger,6,0.037267080745341616,161
Ross,joy -> neutral -> anger,4,0.024844720496894408,161
Ross,surprise -> anger -> anger,6,0.037267080745341616,161
Ross,anger -> surprise -> anger,2,0.012422360248447204,161
Ross,fear -> anger -> anger,1,0.006211180124223602,161
Ross,joy -> sadness -> anger,1,0.006211180124223602,161
Ross,fear -> joy -> anger,1,0.006211180124223602,161
Ross,neutral -> joy -> anger,2,0.012422360248447204,161
Ross,disgust -> anger -> anger,1,0.006211180124223602,161
Ross,fear -> neutral -> anger,1,0.006211180124223602,161
Ross,neutral -> fear -> anger,3,0.018633540372670808,161
Ross,anger -> joy -> anger,2,0.012422360248447204,161
Ross,anger -> sadness -> anger,4,0.024844720496894408,161
Ross,surprise -> joy -> anger,3,0.018633540372670808,161
Ross,sadness -> neutral -> anger,1,0.006211180124223602,161
Ross,surprise -> surprise -> anger,3,0.018633540372670808,161
Ross,anger -> disgust -> anger,2,0.012422360248447204,161
Ross,sadness -> disgust -> anger,1,0.006211180124223602,161
Ross,sadness -> sadness -> anger,1,0.006211180124223602,161
Ross,disgust -> surprise -> anger,3,0.018633540372670808,161
Ross,sadness -> surprise -> anger,1,0.006211180124223602,161
Ross,sadness -> anger -> anger,2,0.012422360248447204,161
Ross,disgust -> neutral -> anger,1,0.006211180124223602,161
Ross,joy -> fear -> anger,1,0.006211180124223602,161
Monica,neutral -> surprise -> anger,5,0.032679738562091505,153
Monica,surprise -> anger -> anger,11,0.0718954248366013,153
Monica,anger -> anger -> anger,37,0.24183006535947713,153
Monica,joy -> fear -> anger,2,0.013071895424836602,153
Monica,anger -> neutral -> anger,8,0.05228758169934641,153
Monica,neutral -> neutral -> anger,23,0.1503267973856209,153
Monica,neutral -> sadness -> anger,2,0.013071895424836602,153
Monica,sadness -> anger -> anger,2,0.013071895424836602,153
Monica,neutral -> anger -> anger,11,0.0718954248366013,153
Monica,joy -> neutral -> anger,3,0.0196078431372549,153
Monica,surprise -> disgust -> anger,1,0.006535947712418301,153
Monica,sadness -> sadness -> anger,2,0.013071895424836602,153
Monica,surprise -> surprise -> anger,6,0.0392156862745098,153
Monica,surprise -> neutral -> anger,5,0.032679738562091505,153
Monica,fear -> anger -> anger,1,0.006535947712418301,153
Monica,fear -> surprise -> anger,1,0.006535947712418301,153
Monica,joy -> anger -> anger,3,0.0196078431372549,153
Monica,surprise -> sadness -> anger,1,0.006535947712418301,153
Monica,neutral -> fear -> anger,1,0.006535947712418301,153
Monica,joy -> surprise -> anger,2,0.013071895424836602,153
Monica,fear -> disgust -> anger,1,0.006535947712418301,153
