Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,joy -> surprise -> disgust,1,0.02702702702702703,37
Chandler,neutral -> disgust -> disgust,5,0.13513513513513514,37
Chandler,disgust -> surprise -> disgust,1,0.02702702702702703,37
Chandler,disgust -> neutral -> disgust,1,0.02702702702702703,37
Chandler,surprise -> fear -> disgust,1,0.02702702702702703,37
Chandler,fear -> disgust -> disgust,2,0.05405405405405406,37
Chandler,fear -> fear -> disgust,1,0.02702702702702703,37
Chandler,joy -> joy -> disgust,1,0.02702702702702703,37
Chandler,anger -> anger -> disgust,3,0.08108108108108109,37
Chandler,sadness -> neutral -> disgust,1,0.02702702702702703,37
Chandler,neutral -> neutral -> disgust,8,0.21621621621621623,37
Chandler,neutral -> surprise -> disgust,3,0.08108108108108109,37
Chandler,joy -> neutral -> disgust,1,0.02702702702702703,37
Chandler,surprise -> surprise -> disgust,1,0.02702702702702703,37
Chandler,anger -> neutral -> disgust,3,0.08108108108108109,37
Chandler,sadness -> joy -> disgust,1,0.02702702702702703,37
Chandler,neutral -> anger -> disgust,1,0.02702702702702703,37
Chandler,neutral -> sadness -> disgust,1,0.02702702702702703,37
Chandler,sadness -> disgust -> disgust,1,0.02702702702702703,37
Ross,neutral -> neutral -> disgust,5,0.21739130434782608,23
Ross,surprise -> neutral -> disgust,2,0.08695652173913043,23
Ross,surprise -> anger -> disgust,3,0.13043478260869565,23
Ross,joy -> joy -> disgust,2,0.08695652173913043,23
Ross,joy -> neutral -> disgust,1,0.043478260869565216,23
Ross,anger -> anger -> disgust,1,0.043478260869565216,23
Ross,neutral -> surprise -> disgust,1,0.043478260869565216,23
Ross,neutral -> sadness -> disgust,1,0.043478260869565216,23
Ross,sadness -> sadness -> disgust,1,0.043478260869565216,23
Ross,neutral -> fear -> disgust,1,0.043478260869565216,23
Ross,neutral -> joy -> disgust,1,0.043478260869565216,23
Ross,neutral -> disgust -> disgust,2,0.08695652173913043,23
Ross,disgust -> disgust -> disgust,1,0.043478260869565216,23
Ross,fear -> neutral -> disgust,1,0.043478260869565216,23
Phoebe,surprise -> anger -> disgust,3,0.08333333333333333,36
Phoebe,neutral -> neutral -> disgust,5,0.1388888888888889,36
Phoebe,joy -> joy -> disgust,4,0.1111111111111111,36
Phoebe,surprise -> surprise -> disgust,2,0.05555555555555555,36
Phoebe,sadness -> surprise -> disgust,1,0.027777777777777776,36
Phoebe,surprise -> disgust -> disgust,3,0.08333333333333333,36
