Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,disgust -> neutral -> joy,2,0.08,25
Chandler,disgust -> disgust -> surprise,1,0.04,25
Chandler,disgust -> surprise -> disgust,1,0.04,25
Chandler,disgust -> neutral -> disgust,1,0.04,25
Chandler,disgust -> neutral -> anger,2,0.08,25
Chandler,disgust -> surprise -> neutral,1,0.04,25
Chandler,disgust -> neutral -> neutral,3,0.12,25
Chandler,disgust -> joy -> surprise,1,0.04,25
Chandler,disgust -> joy -> neutral,2,0.08,25
Chandler,disgust -> disgust -> neutral,3,0.12,25
Chandler,disgust -> neutral -> surprise,1,0.04,25
Chandler,disgust -> anger -> neutral,2,0.08,25
Chandler,disgust -> anger -> surprise,1,0.04,25
Chandler,disgust -> sadness -> neutral,1,0.04,25
Chandler,disgust -> joy -> joy,1,0.04,25
Chandler,disgust -> anger -> anger,1,0.04,25
Chandler,disgust -> disgust -> anger,1,0.04,25
Phoebe,disgust -> neutral -> neutral,4,0.19047619047619047,21
Phoebe,disgust -> disgust -> neutral,3,0.14285714285714285,21
Phoebe,disgust -> surprise -> anger,1,0.047619047619047616,21
Phoebe,disgust -> neutral -> joy,1,0.047619047619047616,21
Phoebe,disgust -> neutral -> anger,2,0.09523809523809523,21
Phoebe,disgust -> anger -> disgust,1,0.047619047619047616,21
Phoebe,disgust -> disgust -> disgust,2,0.09523809523809523,21
Phoebe,disgust -> surprise -> disgust,1,0.047619047619047616,21
Phoebe,disgust -> anger -> neutral,1,0.047619047619047616,21
Phoebe,disgust -> sadness -> anger,1,0.047619047619047616,21
Phoebe,disgust -> fear -> neutral,1,0.047619047619047616,21
Phoebe,disgust -> fear -> fear,1,0.047619047619047616,21
Phoebe,disgust -> anger -> joy,1,0.047619047619047616,21
Phoebe,disgust -> sadness -> disgust,1,0.047619047619047616,21
other,disgust -> neutral -> neutral,5,0.35714285714285715,14
other,disgust -> joy -> anger,1,0.07142857142857142,14
other,disgust -> surprise -> fear,1,0.07142857142857142,14
other,disgust -> joy -> joy,2,0.14285714285714285,14
other,disgust -> neutral -> anger,1,0.07142857142857142,14
other,disgust -> disgust -> sadness,1,0.07142857142857142,14
other,disgust -> anger -> anger,2,0.14285714285714285,14
other,disgust -> anger -> neutral,1,0.07142857142857142,14
Rachel,disgust -> anger -> anger,3,0.125,24
Rachel,disgust -> surprise -> disgust,1,0.041666666666666664,24
Rachel,disgust -> neutral -> joy,3,0.125,24
Rachel,disgust -> joy -> neutral,1,0.041666666666666664,24
Rachel,disgust -> neutral -> neutral,3,0.125,24
Rachel,disgust -> disgust -> neutral,1,0.041666666666666664,24
Rachel,disgust -> joy -> joy,1,0.041666666666666664,24
Rachel,disgust -> surprise -> sadness,1,0.041666666666666664,24
Rachel,disgust -> neutral -> surprise,1,0.041666666666666664,24
Rachel,disgust -> surprise -> surprise,2,0.08333333333333333,24
Rachel,disgust -> sadness -> sadness,2,0.08333333333333333,24
Rachel,disgust -> anger -> surprise,1,0.041666666666666664,24
Rachel,disgust -> neutral -> sadness,1,0.041666666666666664,24
Rachel,disgust -> sadness -> neutral,1,0.041666666666666664,24
Rachel,disgust -> surprise -> anger,1,0.041666666666666664,24
Rachel,disgust -> anger -> joy,1,0.041666666666666664,24
Joey,disgust -> anger -> sadness,2,0.09090909090909091,22
Joey,disgust -> anger -> anger,3,0.13636363636363635,22
Joey,disgust -> neutral -> neutral,2,0.09090909090909091,22
Joey,disgust -> surprise -> neutral,2,0.09090909090909091,22
Joey,disgust -> disgust -> anger,2,0.09090909090909091,22
Joey,disgust -> disgust -> surprise,2,0.09090909090909091,22
Joey,disgust -> disgust -> neutral,2,0.09090909090909091,22
Joey,disgust -> anger -> fear,1,0.045454545454545456,22
Joey,disgust -> joy -> anger,1,0.045454545454545456,22
Joey,disgust -> neutral -> surprise,2,0.09090909090909091,22
Joey,disgust -> anger -> disgust,1,0.045454545454545456,22
Joey,disgust -> fear -> anger,1,0.045454545454545456,22
Joey,disgust -> surprise -> joy,1,0.045454545454545456,22
Monica,disgust -> disgust -> disgust,4,0.11764705882352941,34
Monica,disgust -> disgust -> neutral,2,0.058823529411764705,34
Monica,disgust -> joy -> surprise,1,0.029411764705882353,34
Monica,disgust -> anger -> neutral,4,0.11764705882352941,34
Monica,disgust -> surprise -> sadness,2,0.058823529411764705,34
Monica,disgust -> surprise -> disgust,2,0.058823529411764705,34
Monica,disgust -> fear -> surprise,1,0.029411764705882353,34
Monica,disgust -> anger -> anger,3,0.08823529411764706,34
Monica,disgust -> disgust -> surprise,3,0.08823529411764706,34
Monica,disgust -> neutral -> joy,2,0.058823529411764705,34
Monica,disgust -> joy -> joy,1,0.029411764705882353,34
Monica,disgust -> sadness -> joy,1,0.029411764705882353,34
Monica,disgust -> neutral -> neutral,1,0.029411764705882353,34
Monica,disgust -> joy -> sadness,1,0.029411764705882353,34
Monica,disgust -> neutral -> anger,2,0.058823529411764705,34
Monica,disgust -> surprise -> anger,1,0.029411764705882353,34
Monica,disgust -> disgust -> anger,2,0.058823529411764705,34
Monica,disgust -> anger -> surprise,1,0.029411764705882353,34
Ross,disgust -> surprise -> joy,1,0.047619047619047616,21
Ross,disgust -> neutral -> neutral,5,0.23809523809523808,21
Ross,disgust -> anger -> anger,1,0.047619047619047616,21
Ross,disgust -> joy -> neutral,1,0.047619047619047616,21
Ross,disgust -> joy -> joy,1,0.047619047619047616,21
Ross,disgust -> anger -> sadness,2,0.09523809523809523,21
Ross,disgust -> anger -> neutral,1,0.047619047619047616,21
Ross,disgust -> sadness -> surprise,1,0.047619047619047616,21
Ross,disgust -> sadness -> joy,1,0.047619047619047616,21
Ross,disgust -> neutral -> joy,1,0.047619047619047616,21
Ross,disgust -> disgust -> disgust,1,0.047619047619047616,21
Ross,disgust -> surprise -> anger,3,0.14285714285714285,21
Ross,disgust -> disgust -> neutral,1,0.047619047619047616,21
Ross,disgust -> neutral -> anger,1,0.047619047619047616,21
