Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Joey,fear -> neutral -> fear,2,0.06666666666666667,30
Joey,fear -> sadness -> surprise,1,0.03333333333333333,30
Joey,fear -> fear -> sadness,1,0.03333333333333333,30
Joey,fear -> sadness -> joy,1,0.03333333333333333,30
Joey,fear -> joy -> joy,1,0.03333333333333333,30
Joey,fear -> anger -> sadness,1,0.03333333333333333,30
Joey,fear -> joy -> fear,1,0.03333333333333333,30
Joey,fear -> disgust -> disgust,1,0.03333333333333333,30
Joey,fear -> fear -> neutral,1,0.03333333333333333,30
Joey,fear -> neutral -> neutral,4,0.13333333333333333,30
Joey,fear -> neutral -> surprise,1,0.03333333333333333,30
Joey,fear -> fear -> fear,2,0.06666666666666667,30
Joey,fear -> anger -> anger,3,0.1,30
Joey,fear -> surprise -> joy,1,0.03333333333333333,30
Joey,fear -> fear -> anger,2,0.06666666666666667,30
Joey,fear -> anger -> joy,1,0.03333333333333333,30
Joey,fear -> neutral -> joy,1,0.03333333333333333,30
Joey,fear -> anger -> surprise,1,0.03333333333333333,30
Joey,fear -> neutral -> sadness,1,0.03333333333333333,30
Joey,fear -> anger -> neutral,3,0.1,30
Ross,fear -> neutral -> neutral,10,0.3125,32
Ross,fear -> neutral -> surprise,2,0.0625,32
Ross,fear -> surprise -> neutral,1,0.03125,32
Ross,fear -> sadness -> joy,2,0.0625,32
Ross,fear -> surprise -> sadness,1,0.03125,32
Ross,fear -> sadness -> fear,1,0.03125,32
Ross,fear -> surprise -> joy,1,0.03125,32
Ross,fear -> anger -> anger,1,0.03125,32
Ross,fear -> fear -> joy,2,0.0625,32
Ross,fear -> joy -> anger,1,0.03125,32
Ross,fear -> neutral -> anger,1,0.03125,32
Ross,fear -> sadness -> sadness,1,0.03125,32
Ross,fear -> sadness -> neutral,1,0.03125,32
Ross,fear -> joy -> neutral,2,0.0625,32
Ross,fear -> fear -> fear,1,0.03125,32
Ross,fear -> fear -> neutral,1,0.03125,32
Ross,fear -> neutral -> joy,1,0.03125,32
Ross,fear -> disgust -> sadness,1,0.03125,32
Ross,fear -> neutral -> disgust,1,0.03125,32
Chandler,fear -> neutral -> neutral,6,0.16666666666666666,36
Chandler,fear -> fear -> fear,3,0.08333333333333333,36
Chandler,fear -> fear -> anger,3,0.08333333333333333,36
Chandler,fear -> neutral -> fear,4,0.1111111111111111,36
Chandler,fear -> fear -> surprise,1,0.027777777777777776,36
Chandler,fear -> surprise -> surprise,1,0.027777777777777776,36
Chandler,fear -> disgust -> disgust,2,0.05555555555555555,36
Chandler,fear -> fear -> disgust,1,0.027777777777777776,36
Chandler,fear -> anger -> surprise,1,0.027777777777777776,36
