Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,disgust -> neutral -> joy,2,0.018018018018018018,111
Chandler,neutral -> joy -> joy,13,0.11711711711711711,111
Chandler,joy -> neutral -> joy,12,0.10810810810810811,111
Chandler,neutral -> neutral -> joy,27,0.24324324324324326,111
Chandler,joy -> joy -> joy,10,0.09009009009009009,111
Chandler,surprise -> neutral -> joy,3,0.02702702702702703,111
Chandler,surprise -> disgust -> joy,2,0.018018018018018018,111
Chandler,surprise -> surprise -> joy,3,0.02702702702702703,111
Chandler,surprise -> joy -> joy,2,0.018018018018018018,111
Chandler,neutral -> surprise -> joy,9,0.08108108108108109,111
Chandler,sadness -> anger -> joy,1,0.009009009009009009,111
Chandler,joy -> fear -> joy,1,0.009009009009009009,111
Chandler,sadness -> neutral -> joy,4,0.036036036036036036,111
Chandler,neutral -> anger -> joy,2,0.018018018018018018,111
Chandler,anger -> neutral -> joy,3,0.02702702702702703,111
Chandler,joy -> disgust -> joy,1,0.009009009009009009,111
Chandler,joy -> anger -> joy,3,0.02702702702702703,111
Chandler,anger -> surprise -> joy,2,0.018018018018018018,111
Chandler,joy -> surprise -> joy,1,0.009009009009009009,111
Chandler,fear -> anger -> joy,1,0.009009009009009009,111
Chandler,sadness -> surprise -> joy,1,0.009009009009009009,111
Chandler,anger -> joy -> joy,2,0.018018018018018018,111
Chandler,fear -> neutral -> joy,1,0.009009009009009009,111
Chandler,sadness -> sadness -> joy,1,0.009009009009009009,111
Chandler,surprise -> sadness -> joy,1,0.009009009009009009,111
Chandler,anger -> disgust -> joy,1,0.009009009009009009,111
Chandler,disgust -> joy -> joy,1,0.009009009009009009,111
Chandler,anger -> anger -> joy,1,0.009009009009009009,111
Rachel,neutral -> neutral -> joy,30,0.19230769230769232,156
Rachel,neutral -> joy -> joy,13,0.08333333333333333,156
Rachel,neutral -> surprise -> joy,10,0.0641025641025641,156
Rachel,joy -> surprise -> joy,3,0.019230769230769232,156
