Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Monica,sadness -> neutral -> sadness,3,0.04411764705882353,68
Monica,fear -> surprise -> sadness,1,0.014705882352941176,68
Monica,neutral -> joy -> sadness,3,0.04411764705882353,68
Monica,neutral -> anger -> sadness,4,0.058823529411764705,68
Monica,surprise -> neutral -> sadness,1,0.014705882352941176,68
Monica,anger -> surprise -> sadness,2,0.029411764705882353,68
Monica,disgust -> surprise -> sadness,2,0.029411764705882353,68
Monica,sadness -> surprise -> sadness,1,0.014705882352941176,68
Monica,neutral -> neutral -> sadness,12,0.17647058823529413,68
Monica,neutral -> surprise -> sadness,1,0.014705882352941176,68
Monica,anger -> fear -> sadness,1,0.014705882352941176,68
Monica,fear -> sadness -> sadness,1,0.014705882352941176,68
Monica,joy -> anger -> sadness,1,0.014705882352941176,68
Monica,anger -> sadness -> sadness,2,0.029411764705882353,68
Monica,sadness -> sadness -> sadness,8,0.11764705882352941,68
Monica,joy -> surprise -> sadness,2,0.029411764705882353,68
Monica,joy -> joy -> sadness,7,0.10294117647058823,68
Monica,anger -> anger -> sadness,3,0.04411764705882353,68
Monica,neutral -> disgust -> sadness,1,0.014705882352941176,68
Monica,surprise -> sadness -> sadness,2,0.029411764705882353,68
Monica,joy -> neutral -> sadness,1,0.014705882352941176,68
Monica,disgust -> joy -> sadness,1,0.014705882352941176,68
Monica,surprise -> anger -> sadness,1,0.014705882352941176,68
Monica,neutral -> sadness -> sadness,5,0.07352941176470588,68
Monica,surprise -> surprise -> sadness,1,0.014705882352941176,68
Monica,sadness -> joy -> sadness,1,0.014705882352941176,68
Phoebe,neutral -> surprise -> sadness,3,0.03409090909090909,88
Phoebe,neutral -> neutral -> sadness,15,0.17045454545454544,88
Phoebe,neutral -> anger -> sadness,2,0.022727272727272728,88
Phoebe,neutral -> sadness -> sadness,7,0.07954545454545454,88
Phoebe,sadness -> sadness -> sadness,13,0.14772727272727273,88
Phoebe,anger -> sadness -> sadness,3,0.03409090909090909,88
Phoebe,anger -> neutral -> sadness,3,0.03409090909090909,88
Phoebe,joy -> neutral -> sadness,5,0.056818181818181816,88
Phoebe,joy -> joy -> sadness,2,0.022727272727272728,88
Phoebe,sadness -> neutral -> sadness,4,0.045454545454545456,88
Phoebe,joy -> sadness -> sadness,2,0.022727272727272728,88
Phoebe,sadness -> joy -> sadness,3,0.03409090909090909,88
Phoebe,anger -> surprise -> sadness,3,0.03409090909090909,88
Phoebe,joy -> anger -> sadness,1,0.011363636363636364,88
Phoebe,fear -> surprise -> sadness,2,0.022727272727272728,88
Phoebe,surprise -> anger -> sadness,3,0.03409090909090909,88
Phoebe,surprise -> neutral -> sadness,3,0.03409090909090909,88
Phoebe,anger -> anger -> sadness,2,0.022727272727272728,88
Phoebe,surprise -> disgust -> sadness,1,0.011363636363636364,88
Phoebe,surprise -> fear -> sadness,1,0.011363636363636364,88
Phoebe,fear -> sadness -> sadness,1,0.011363636363636364,88
Phoebe,surprise -> joy -> sadness,1,0.011363636363636364,88
Phoebe,neutral -> fear -> sadness,2,0.022727272727272728,88
Phoebe,surprise -> sadness -> sadness,2,0.022727272727272728,88
Phoebe,surprise -> surprise -> sadness,1,0.011363636363636364,88
Phoebe,neutral -> disgust -> sadness,1,0.011363636363636364,88
Phoebe,sadness -> disgust -> sadness,1,0.011363636363636364,88
Phoebe,sadness -> anger -> sadness,1,0.011363636363636364,88
Ross,neutral -> joy -> sadness,4,0.0425531914893617,94
Ross,joy -> joy -> sadness,4,0.0425531914893617,94
Ross,neutral -> neutral -> sadness,16,0.1702127659574468,94
Ross,joy -> neutral -> sadness,3,0.031914893617021274,94
Ross,sadness -> joy -> sadness,2,0.02127659574468085,94
Ross,neutral -> fear -> sadness,2,0.02127659574468085,94
Ross,fear -> surprise -> sadness,1,0.010638297872340425,94
Ross,anger -> joy -> sadness,1,0.010638297872340425,94
Ross,neutral -> anger -> sadness,6,0.06382978723404255,94
Ross,neutral -> surprise -> sadness,3,0.031914893617021274,94
Ross,surprise -> joy -> sadness,3,0.031914893617021274,94
Ross,neutral -> sadness -> sadness,6,0.06382978723404255,94
Ross,sadness -> fear -> sadness,2,0.02127659574468085,94
Ross,fear -> sadness -> sadness,1,0.010638297872340425,94
