Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Rachel,sadness -> fear -> neutral,6,0.05172413793103448,116
Rachel,sadness -> disgust -> anger,2,0.017241379310344827,116
Rachel,sadness -> neutral -> anger,3,0.02586206896551724,116
Rachel,sadness -> joy -> joy,1,0.008620689655172414,116
Rachel,sadness -> sadness -> sadness,26,0.22413793103448276,116
Rachel,sadness -> sadness -> neutral,3,0.02586206896551724,116
Rachel,sadness -> neutral -> neutral,13,0.11206896551724138,116
Rachel,sadness -> anger -> anger,5,0.04310344827586207,116
Rachel,sadness -> neutral -> surprise,4,0.034482758620689655,116
Rachel,sadness -> surprise -> surprise,3,0.02586206896551724,116
Rachel,sadness -> anger -> joy,3,0.02586206896551724,116
Rachel,sadness -> surprise -> anger,2,0.017241379310344827,116
Rachel,sadness -> sadness -> surprise,4,0.034482758620689655,116
Rachel,sadness -> neutral -> sadness,5,0.04310344827586207,116
Rachel,sadness -> disgust -> disgust,1,0.008620689655172414,116
Rachel,sadness -> joy -> fear,1,0.008620689655172414,116
Rachel,sadness -> surprise -> neutral,6,0.05172413793103448,116
Rachel,sadness -> sadness -> fear,3,0.02586206896551724,116
Rachel,sadness -> fear -> sadness,2,0.017241379310344827,116
Rachel,sadness -> joy -> neutral,2,0.017241379310344827,116
Rachel,sadness -> surprise -> sadness,3,0.02586206896551724,116
Rachel,sadness -> disgust -> surprise,1,0.008620689655172414,116
Rachel,sadness -> anger -> neutral,3,0.02586206896551724,116
Rachel,sadness -> neutral -> joy,5,0.04310344827586207,116
Rachel,sadness -> sadness -> anger,2,0.017241379310344827,116
Rachel,sadness -> sadness -> disgust,1,0.008620689655172414,116
Rachel,sadness -> anger -> sadness,1,0.008620689655172414,116
Rachel,sadness -> disgust -> sadness,1,0.008620689655172414,116
Rachel,sadness -> joy -> sadness,1,0.008620689655172414,116
Rachel,sadness -> neutral -> fear,1,0.008620689655172414,116
Rachel,sadness -> joy -> anger,1,0.008620689655172414,116
Rachel,sadness -> surprise -> joy,1,0.008620689655172414,116
Monica,sadness -> neutral -> sadness,3,0.061224489795918366,49
Monica,sadness -> neutral -> neutral,8,0.16326530612244897,49
Monica,sadness -> anger -> anger,2,0.04081632653061224,49
Monica,sadness -> sadness -> anger,2,0.04081632653061224,49
Monica,sadness -> disgust -> surprise,1,0.02040816326530612,49
Monica,sadness -> surprise -> sadness,1,0.02040816326530612,49
Monica,sadness -> anger -> fear,1,0.02040816326530612,49
Monica,sadness -> surprise -> surprise,1,0.02040816326530612,49
Monica,sadness -> sadness -> sadness,8,0.16326530612244897,49
Monica,sadness -> joy -> joy,3,0.061224489795918366,49
Monica,sadness -> neutral -> surprise,1,0.02040816326530612,49
Monica,sadness -> joy -> neutral,3,0.061224489795918366,49
Monica,sadness -> neutral -> anger,1,0.02040816326530612,49
Monica,sadness -> surprise -> neutral,3,0.061224489795918366,49
Monica,sadness -> anger -> joy,1,0.02040816326530612,49
Monica,sadness -> anger -> disgust,1,0.02040816326530612,49
Monica,sadness -> neutral -> joy,1,0.02040816326530612,49
Monica,sadness -> sadness -> disgust,2,0.04081632653061224,49
Monica,sadness -> disgust -> joy,1,0.02040816326530612,49
Monica,sadness -> surprise -> joy,1,0.02040816326530612,49
Monica,sadness -> fear -> anger,1,0.02040816326530612,49
Monica,sadness -> sadness -> neutral,1,0.02040816326530612,49
Monica,sadness -> sadness -> joy,1,0.02040816326530612,49
Monica,sadness -> joy -> sadness,1,0.02040816326530612,49
Chandler,sadness -> sadness -> sadness,4,0.08,50
Chandler,sadness -> sadness -> surprise,1,0.02,50
Chandler,sadness -> surprise -> anger,1,0.02,50
Chandler,sadness -> neutral -> neutral,12,0.24,50
Chandler,sadness -> neutral -> disgust,1,0.02,50
Chandler,sadness -> sadness -> neutral,4,0.08,50
Chandler,sadness -> neutral -> anger,3,0.06,50
Chandler,sadness -> anger -> joy,1,0.02,50
Chandler,sadness -> neutral -> joy,4,0.08,50
Chandler,sadness -> anger -> neutral,3,0.06,50
Chandler,sadness -> anger -> anger,2,0.04,50
Chandler,sadness -> fear -> sadness,1,0.02,50
Chandler,sadness -> surprise -> joy,1,0.02,50
Chandler,sadness -> fear -> fear,1,0.02,50
Chandler,sadness -> anger -> sadness,2,0.04,50
Chandler,sadness -> surprise -> sadness,1,0.02,50
Chandler,sadness -> joy -> disgust,1,0.02,50
Chandler,sadness -> surprise -> neutral,1,0.02,50
Chandler,sadness -> sadness -> joy,1,0.02,50
Chandler,sadness -> joy -> neutral,1,0.02,50
Chandler,sadness -> neutral -> sadness,1,0.02,50
Chandler,sadness -> anger -> surprise,1,0.02,50
Chandler,sadness -> neutral -> surprise,1,0.02,50
Chandler,sadness -> disgust -> disgust,1,0.02,50
other,sadness -> sadness -> sadness,14,0.1728395061728395,81
other,sadness -> sadness -> neutral,7,0.08641975308641975,81
other,sadness -> neutral -> neutral,20,0.24691358024691357,81
other,sadness -> sadness -> joy,2,0.024691358024691357,81
other,sadness -> joy -> joy,1,0.012345679012345678,81
other,sadness -> sadness -> surprise,1,0.012345679012345678,81
other,sadness -> surprise -> surprise,1,0.012345679012345678,81
other,sadness -> surprise -> neutral,2,0.024691358024691357,81
other,sadness -> neutral -> joy,2,0.024691358024691357,81
other,sadness -> joy -> sadness,2,0.024691358024691357,81
other,sadness -> joy -> neutral,4,0.04938271604938271,81
other,sadness -> fear -> surprise,1,0.012345679012345678,81
other,sadness -> sadness -> anger,2,0.024691358024691357,81
other,sadness -> anger -> sadness,2,0.024691358024691357,81
other,sadness -> sadness -> disgust,1,0.012345679012345678,81
other,sadness -> joy -> surprise,3,0.037037037037037035,81
other,sadness -> surprise -> joy,4,0.04938271604938271,81
other,sadness -> anger -> neutral,1,0.012345679012345678,81
other,sadness -> anger -> joy,1,0.012345679012345678,81
other,sadness -> anger -> surprise,1,0.012345679012345678,81
other,sadness -> sadness -> fear,2,0.024691358024691357,81
other,sadness -> fear -> sadness,1,0.012345679012345678,81
other,sadness -> anger -> anger,1,0.012345679012345678,81
other,sadness -> neutral -> sadness,3,0.037037037037037035,81
other,sadness -> neutral -> anger,1,0.012345679012345678,81
other,sadness -> neutral -> surprise,1,0.012345679012345678,81
Joey,sadness -> neutral -> neutral,12,0.16901408450704225,71
Joey,sadness -> joy -> surprise,2,0.028169014084507043,71
Joey,sadness -> fear -> joy,1,0.014084507042253521,71
Joey,sadness -> sadness -> neutral,8,0.11267605633802817,71
Joey,sadness -> neutral -> anger,6,0.08450704225352113,71
Joey,sadness -> neutral -> surprise,4,0.056338028169014086,71
Joey,sadness -> sadness -> joy,4,0.056338028169014086,71
Joey,sadness -> joy -> joy,4,0.056338028169014086,71
Joey,sadness -> neutral -> sadness,2,0.028169014084507043,71
Joey,sadness -> surprise -> joy,1,0.014084507042253521,71
Joey,sadness -> anger -> sadness,4,0.056338028169014086,71
Joey,sadness -> sadness -> sadness,10,0.14084507042253522,71
Joey,sadness -> neutral -> joy,1,0.014084507042253521,71
Joey,sadness -> sadness -> anger,2,0.028169014084507043,71
Joey,sadness -> surprise -> neutral,2,0.028169014084507043,71
Joey,sadness -> anger -> anger,1,0.014084507042253521,71
Joey,sadness -> surprise -> anger,2,0.028169014084507043,71
Joey,sadness -> anger -> neutral,1,0.014084507042253521,71
Joey,sadness -> joy -> neutral,1,0.014084507042253521,71
Joey,sadness -> disgust -> anger,1,0.014084507042253521,71
Joey,sadness -> joy -> anger,1,0.014084507042253521,71
Joey,sadness -> surprise -> sadness,1,0.014084507042253521,71
Phoebe,sadness -> joy -> neutral,4,0.047619047619047616,84
Phoebe,sadness -> anger -> neutral,5,0.05952380952380952,84
Phoebe,sadness -> sadness -> sadness,13,0.15476190476190477,84
Phoebe,sadness -> anger -> anger,5,0.05952380952380952,84
Phoebe,sadness -> neutral -> surprise,5,0.05952380952380952,84
Phoebe,sadness -> neutral -> anger,5,0.05952380952380952,84
Phoebe,sadness -> sadness -> neutral,7,0.08333333333333333,84
Phoebe,sadness -> joy -> joy,1,0.011904761904761904,84
Phoebe,sadness -> anger -> surprise,1,0.011904761904761904,84
Phoebe,sadness -> neutral -> neutral,14,0.16666666666666666,84
Phoebe,sadness -> fear -> anger,1,0.011904761904761904,84
Phoebe,sadness -> neutral -> sadness,4,0.047619047619047616,84
Phoebe,sadness -> sadness -> joy,4,0.047619047619047616,84
Phoebe,sadness -> joy -> sadness,3,0.03571428571428571,84
Phoebe,sadness -> surprise -> disgust,1,0.011904761904761904,84
Phoebe,sadness -> neutral -> disgust,1,0.011904761904761904,84
Phoebe,sadness -> sadness -> anger,2,0.023809523809523808,84
Phoebe,sadness -> anger -> joy,1,0.011904761904761904,84
Phoebe,sadness -> neutral -> fear,1,0.011904761904761904,84
Phoebe,sadness -> joy -> anger,1,0.011904761904761904,84
Phoebe,sadness -> surprise -> surprise,1,0.011904761904761904,84
Phoebe,sadness -> neutral -> joy,1,0.011904761904761904,84
Phoebe,sadness -> surprise -> neutral,1,0.011904761904761904,84
Phoebe,sadness -> disgust -> sadness,1,0.011904761904761904,84
Phoebe,sadness -> anger -> sadness,1,0.011904761904761904,84
Ross,sadness -> joy -> sadness,2,0.021505376344086023,93
Ross,sadness -> joy -> joy,3,0.03225806451612903,93
Ross,sadness -> fear -> neutral,2,0.021505376344086023,93
Ross,sadness -> neutral -> neutral,22,0.23655913978494625,93
Ross,sadness -> fear -> surprise,1,0.010752688172043012,93
Ross,sadness -> joy -> neutral,7,0.07526881720430108,93
Ross,sadness -> neutral -> surprise,3,0.03225806451612903,93
Ross,sadness -> sadness -> joy,4,0.043010752688172046,93
Ross,sadness -> joy -> surprise,1,0.010752688172043012,93
Ross,sadness -> fear -> sadness,2,0.021505376344086023,93
Ross,sadness -> sadness -> sadness,9,0.0967741935483871,93
Ross,sadness -> neutral -> sadness,4,0.043010752688172046,93
