Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Rachel,neutral,51,116,0.4396551724137931
Rachel,joy,15,116,0.12931034482758622
Rachel,fear,13,116,0.11206896551724138
Rachel,sadness,116,116,1.0
Rachel,anger,22,116,0.1896551724137931
Rachel,disgust,6,116,0.05172413793103448
Rachel,surprise,24,116,0.20689655172413793
Monica,neutral,21,49,0.42857142857142855
Monica,joy,12,49,0.24489795918367346
Monica,fear,2,49,0.04081632653061224
Monica,sadness,49,49,1.0
Monica,anger,9,49,0.1836734693877551
Monica,disgust,5,49,0.10204081632653061
Monica,surprise,8,49,0.16326530612244897
Chandler,neutral,31,50,0.62
Chandler,joy,9,50,0.18
Chandler,fear,2,50,0.04
Chandler,sadness,50,50,1.0
Chandler,anger,13,50,0.26
Chandler,disgust,3,50,0.06
Chandler,surprise,7,50,0.14
other,neutral,41,81,0.5061728395061729
other,joy,19,81,0.2345679012345679
other,fear,4,81,0.04938271604938271
other,sadness,81,81,1.0
other,anger,9,81,0.1111111111111111
other,disgust,1,81,0.012345679012345678
other,surprise,14,81,0.1728395061728395
Joey,neutral,37,71,0.5211267605633803
Joey,joy,15,71,0.2112676056338028
Joey,fear,1,71,0.014084507042253521
Joey,sadness,71,71,1.0
Joey,anger,18,71,0.2535211267605634
Joey,disgust,1,71,0.014084507042253521
Joey,surprise,12,71,0.16901408450704225
Phoebe,neutral,48,84,0.5714285714285714
Phoebe,joy,15,84,0.17857142857142858
Phoebe,fear,2,84,0.023809523809523808
Phoebe,sadness,84,84,1.0
Phoebe,anger,22,84,0.2619047619047619
Phoebe,disgust,3,84,0.03571428571428571
Phoebe,surprise,9,84,0.10714285714285714
Ross,neutral,54,93,0.5806451612903226
Ross,joy,21,93,0.22580645161290322
Ross,fear,8,93,0.08602150537634409
Ross,sadness,93,93,1.0
Ross,anger,11,93,0.11827956989247312
Ross,disgust,3,93,0.03225806451612903
Ross,surprise,14,93,0.15053763440860216
