Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,neutral,18,26,0.6923076923076923
Chandler,joy,4,26,0.15384615384615385
Chandler,fear,4,26,0.15384615384615385
Chandler,sadness,3,26,0.11538461538461539
Chandler,anger,5,26,0.19230769230769232
Chandler,disgust,26,26,1.0
Chandler,surprise,8,26,0.3076923076923077
Phoebe,neutral,10,26,0.38461538461538464
Phoebe,joy,5,26,0.19230769230769232
Phoebe,fear,0,26,0.0
Phoebe,sadness,5,26,0.19230769230769232
Phoebe,anger,11,26,0.4230769230769231
Phoebe,disgust,26,26,1.0
Phoebe,surprise,11,26,0.4230769230769231
Ross,neutral,12,14,0.8571428571428571
Ross,joy,4,14,0.2857142857142857
Ross,fear,1,14,0.07142857142857142
Ross,sadness,2,14,0.14285714285714285
Ross,anger,1,14,0.07142857142857142
Ross,disgust,14,14,1.0
Ross,surprise,4,14,0.2857142857142857
other,neutral,14,21,0.6666666666666666
other,joy,6,21,0.2857142857142857
other,fear,2,21,0.09523809523809523
other,sadness,1,21,0.047619047619047616
other,anger,8,21,0.38095238095238093
other,disgust,21,21,1.0
other,surprise,6,21,0.2857142857142857
Joey,neutral,15,20,0.75
Joey,joy,6,20,0.3
Joey,fear,2,20,0.1
Joey,sadness,1,20,0.05
Joey,anger,5,20,0.25
Joey,disgust,20,20,1.0
Joey,surprise,7,20,0.35
Rachel,neutral,14,20,0.7
Rachel,joy,8,20,0.4
Rachel,fear,1,20,0.05
Rachel,sadness,7,20,0.35
Rachel,anger,7,20,0.35
Rachel,disgust,20,20,1.0
Rachel,surprise,5,20,0.25
Monica,neutral,15,27,0.5555555555555556
Monica,joy,11,27,0.4074074074074074
Monica,fear,1,27,0.037037037037037035
Monica,sadness,4,27,0.14814814814814814
Monica,anger,12,27,0.4444444444444444
Monica,disgust,27,27,1.0
Monica,surprise,7,27,0.25925925925925924
