Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,joy -> surprise -> disgust -> neutral,1,0.01020408163265306,98
Chandler,joy -> joy -> neutral -> joy,4,0.04081632653061224,98
Chandler,joy -> neutral -> joy -> surprise,1,0.01020408163265306,98
Chandler,joy -> surprise -> sadness -> sadness,1,0.01020408163265306,98
Chandler,joy -> neutral -> neutral -> joy,5,0.05102040816326531,98
Chandler,joy -> joy -> neutral -> surprise,2,0.02040816326530612,98
Chandler,joy -> neutral -> surprise -> neutral,3,0.030612244897959183,98
Chandler,joy -> joy -> neutral -> neutral,4,0.04081632653061224,98
Chandler,joy -> neutral -> joy -> neutral,4,0.04081632653061224,98
Chandler,joy -> joy -> disgust -> surprise,1,0.01020408163265306,98
Chandler,joy -> disgust -> surprise -> neutral,1,0.01020408163265306,98
Chandler,joy -> neutral -> neutral -> neutral,9,0.09183673469387756,98
Chandler,joy -> neutral -> sadness -> sadness,2,0.02040816326530612,98
Chandler,joy -> neutral -> neutral -> sadness,1,0.01020408163265306,98
Chandler,joy -> surprise -> surprise -> joy,1,0.01020408163265306,98
Chandler,joy -> surprise -> neutral -> neutral,4,0.04081632653061224,98
Chandler,joy -> neutral -> fear -> neutral,1,0.01020408163265306,98
Chandler,joy -> joy -> anger -> fear,1,0.01020408163265306,98
Chandler,joy -> fear -> joy -> neutral,1,0.01020408163265306,98
Chandler,joy -> neutral -> surprise -> joy,2,0.02040816326530612,98
Chandler,joy -> surprise -> surprise -> surprise,1,0.01020408163265306,98
Chandler,joy -> anger -> neutral -> joy,1,0.01020408163265306,98
Chandler,joy -> neutral -> neutral -> surprise,3,0.030612244897959183,98
Chandler,joy -> sadness -> neutral -> joy,1,0.01020408163265306,98
Chandler,joy -> anger -> surprise -> sadness,1,0.01020408163265306,98
Chandler,joy -> neutral -> surprise -> sadness,1,0.01020408163265306,98
Chandler,joy -> disgust -> joy -> neutral,1,0.01020408163265306,98
Chandler,joy -> neutral -> disgust -> disgust,1,0.01020408163265306,98
Chandler,joy -> joy -> joy -> neutral,2,0.02040816326530612,98
Chandler,joy -> neutral -> joy -> anger,1,0.01020408163265306,98
Chandler,joy -> anger -> joy -> neutral,1,0.01020408163265306,98
Chandler,joy -> joy -> anger -> neutral,1,0.01020408163265306,98
Chandler,joy -> joy -> fear -> neutral,1,0.01020408163265306,98
Chandler,joy -> fear -> neutral -> surprise,1,0.01020408163265306,98
Chandler,joy -> fear -> anger -> joy,1,0.01020408163265306,98
Chandler,joy -> neutral -> joy -> joy,3,0.030612244897959183,98
Chandler,joy -> joy -> joy -> joy,1,0.01020408163265306,98
Chandler,joy -> neutral -> surprise -> disgust,1,0.01020408163265306,98
Chandler,joy -> sadness -> surprise -> joy,1,0.01020408163265306,98
Chandler,joy -> joy -> joy -> anger,2,0.02040816326530612,98
Chandler,joy -> joy -> anger -> joy,2,0.02040816326530612,98
Chandler,joy -> anger -> joy -> joy,2,0.02040816326530612,98
Chandler,joy -> joy -> fear -> fear,1,0.01020408163265306,98
Chandler,joy -> fear -> fear -> neutral,1,0.01020408163265306,98
Chandler,joy -> joy -> joy -> sadness,2,0.02040816326530612,98
Chandler,joy -> joy -> sadness -> neutral,1,0.01020408163265306,98
Chandler,joy -> joy -> sadness -> sadness,1,0.01020408163265306,98
Chandler,joy -> surprise -> surprise -> neutral,1,0.01020408163265306,98
Chandler,joy -> joy -> anger -> surprise,1,0.01020408163265306,98
Chandler,joy -> anger -> surprise -> joy,1,0.01020408163265306,98
Chandler,joy -> disgust -> neutral -> anger,1,0.01020408163265306,98
Chandler,joy -> neutral -> surprise -> surprise,1,0.01020408163265306,98
Chandler,joy -> surprise -> anger -> anger,1,0.01020408163265306,98
Chandler,joy -> joy -> anger -> anger,1,0.01020408163265306,98
Chandler,joy -> anger -> anger -> anger,1,0.01020408163265306,98
Chandler,joy -> sadness -> neutral -> anger,1,0.01020408163265306,98
Chandler,joy -> fear -> fear -> fear,1,0.01020408163265306,98
Chandler,joy -> surprise -> sadness -> anger,1,0.01020408163265306,98
Chandler,joy -> surprise -> neutral -> anger,1,0.01020408163265306,98
Chandler,joy -> sadness -> anger -> anger,1,0.01020408163265306,98
Rachel,joy -> joy -> neutral -> neutral,8,0.06060606060606061,132
Rachel,joy -> surprise -> joy -> neutral,2,0.015151515151515152,132
Rachel,joy -> joy -> sadness -> joy,1,0.007575757575757576,132
Rachel,joy -> sadness -> joy -> joy,1,0.007575757575757576,132
Rachel,joy -> neutral -> joy -> joy,3,0.022727272727272728,132
Rachel,joy -> joy -> neutral -> anger,1,0.007575757575757576,132
Rachel,joy -> neutral -> anger -> anger,1,0.007575757575757576,132
Rachel,joy -> neutral -> joy -> surprise,2,0.015151515151515152,132
Rachel,joy -> surprise -> surprise -> anger,1,0.007575757575757576,132
Rachel,joy -> neutral -> neutral -> neutral,15,0.11363636363636363,132
Rachel,joy -> anger -> disgust -> neutral,1,0.007575757575757576,132
Rachel,joy -> joy -> surprise -> sadness,1,0.007575757575757576,132
Rachel,joy -> surprise -> sadness -> neutral,1,0.007575757575757576,132
Rachel,joy -> sadness -> neutral -> neutral,1,0.007575757575757576,132
Rachel,joy -> neutral -> surprise -> surprise,2,0.015151515151515152,132
Rachel,joy -> surprise -> anger -> surprise,1,0.007575757575757576,132
Rachel,joy -> sadness -> neutral -> surprise,2,0.015151515151515152,132
Rachel,joy -> disgust -> disgust -> neutral,1,0.007575757575757576,132
Rachel,joy -> joy -> joy -> neutral,8,0.06060606060606061,132
Rachel,joy -> neutral -> surprise -> neutral,3,0.022727272727272728,132
Rachel,joy -> neutral -> sadness -> anger,1,0.007575757575757576,132
Rachel,joy -> neutral -> neutral -> joy,7,0.05303030303030303,132
Rachel,joy -> joy -> sadness -> neutral,1,0.007575757575757576,132
Rachel,joy -> joy -> surprise -> neutral,4,0.030303030303030304,132
Rachel,joy -> surprise -> neutral -> neutral,3,0.022727272727272728,132
Rachel,joy -> neutral -> joy -> neutral,6,0.045454545454545456,132
Rachel,joy -> neutral -> neutral -> surprise,2,0.015151515151515152,132
Rachel,joy -> joy -> disgust -> neutral,1,0.007575757575757576,132
Rachel,joy -> disgust -> neutral -> surprise,1,0.007575757575757576,132
Rachel,joy -> joy -> fear -> anger,1,0.007575757575757576,132
Rachel,joy -> fear -> anger -> sadness,1,0.007575757575757576,132
Rachel,joy -> joy -> neutral -> fear,1,0.007575757575757576,132
Rachel,joy -> neutral -> fear -> surprise,1,0.007575757575757576,132
Rachel,joy -> joy -> joy -> joy,12,0.09090909090909091,132
Rachel,joy -> joy -> neutral -> joy,1,0.007575757575757576,132
Rachel,joy -> joy -> joy -> anger,1,0.007575757575757576,132
Rachel,joy -> joy -> anger -> neutral,1,0.007575757575757576,132
Rachel,joy -> anger -> neutral -> neutral,1,0.007575757575757576,132
Rachel,joy -> neutral -> neutral -> disgust,1,0.007575757575757576,132
Rachel,joy -> surprise -> surprise -> surprise,3,0.022727272727272728,132
Rachel,joy -> neutral -> joy -> disgust,1,0.007575757575757576,132
Rachel,joy -> disgust -> anger -> surprise,1,0.007575757575757576,132
Rachel,joy -> anger -> surprise -> disgust,1,0.007575757575757576,132
Rachel,joy -> surprise -> surprise -> neutral,1,0.007575757575757576,132
Rachel,joy -> anger -> anger -> anger,2,0.015151515151515152,132
Rachel,joy -> sadness -> sadness -> surprise,1,0.007575757575757576,132
Rachel,joy -> neutral -> sadness -> sadness,1,0.007575757575757576,132
Rachel,joy -> sadness -> neutral -> sadness,1,0.007575757575757576,132
Rachel,joy -> surprise -> surprise -> fear,1,0.007575757575757576,132
Rachel,joy -> fear -> neutral -> sadness,2,0.015151515151515152,132
Rachel,joy -> joy -> surprise -> fear,1,0.007575757575757576,132
Rachel,joy -> neutral -> sadness -> neutral,2,0.015151515151515152,132
Rachel,joy -> surprise -> neutral -> surprise,1,0.007575757575757576,132
Rachel,joy -> neutral -> joy -> fear,1,0.007575757575757576,132
Rachel,joy -> neutral -> sadness -> joy,1,0.007575757575757576,132
Rachel,joy -> anger -> neutral -> joy,1,0.007575757575757576,132
Rachel,joy -> joy -> anger -> joy,1,0.007575757575757576,132
Rachel,joy -> neutral -> neutral -> sadness,1,0.007575757575757576,132
Rachel,joy -> fear -> neutral -> surprise,1,0.007575757575757576,132
Rachel,joy -> disgust -> anger -> anger,1,0.007575757575757576,132
Rachel,joy -> joy -> neutral -> surprise,1,0.007575757575757576,132
Rachel,joy -> neutral -> sadness -> surprise,1,0.007575757575757576,132
Rachel,joy -> surprise -> neutral -> joy,1,0.007575757575757576,132
Ross,joy -> neutral -> neutral -> neutral,16,0.12121212121212122,132
