Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,neutral,71,98,0.7244897959183674
Chandler,joy,98,98,1.0
Chandler,fear,9,98,0.09183673469387756
Chandler,sadness,15,98,0.15306122448979592
Chandler,anger,23,98,0.23469387755102042
Chandler,disgust,7,98,0.07142857142857142
Chandler,surprise,33,98,0.336734693877551
Rachel,neutral,100,132,0.7575757575757576
Rachel,joy,132,132,1.0
Rachel,fear,10,132,0.07575757575757576
Rachel,sadness,20,132,0.15151515151515152
Rachel,anger,18,132,0.13636363636363635
Rachel,disgust,9,132,0.06818181818181818
Rachel,surprise,40,132,0.30303030303030304
Ross,neutral,99,132,0.75
Ross,joy,132,132,1.0
Ross,fear,7,132,0.05303030303030303
Ross,sadness,15,132,0.11363636363636363
Ross,anger,19,132,0.14393939393939395
Ross,disgust,3,132,0.022727272727272728
Ross,surprise,33,132,0.25
Joey,neutral,99,135,0.7333333333333333
Joey,joy,135,135,1.0
Joey,fear,10,135,0.07407407407407407
Joey,sadness,12,135,0.08888888888888889
Joey,anger,18,135,0.13333333333333333
Joey,disgust,4,135,0.02962962962962963
Joey,surprise,40,135,0.2962962962962963
other,neutral,106,148,0.7162162162162162
other,joy,148,148,1.0
other,fear,8,148,0.05405405405405406
other,sadness,15,148,0.10135135135135136
other,anger,14,148,0.0945945945945946
other,disgust,8,148,0.05405405405405406
other,surprise,41,148,0.27702702702702703
Phoebe,neutral,74,113,0.6548672566371682
Phoebe,joy,113,113,1.0
Phoebe,fear,4,113,0.035398230088495575
Phoebe,sadness,17,113,0.1504424778761062
Phoebe,anger,19,113,0.168141592920354
Phoebe,disgust,9,113,0.07964601769911504
Phoebe,surprise,28,113,0.24778761061946902
Monica,neutral,74,109,0.6788990825688074
Monica,joy,109,109,1.0
Monica,fear,7,109,0.06422018348623854
Monica,sadness,15,109,0.13761467889908258
Monica,anger,23,109,0.21100917431192662
Monica,disgust,7,109,0.06422018348623854
Monica,surprise,38,109,0.3486238532110092
