Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Joey,neutral,44,65,0.676923076923077
Joey,joy,18,65,0.27692307692307694
Joey,fear,7,65,0.1076923076923077
Joey,sadness,16,65,0.24615384615384617
Joey,anger,65,65,1.0
Joey,disgust,3,65,0.046153846153846156
Joey,surprise,9,65,0.13846153846153847
Phoebe,neutral,44,76,0.5789473684210527
Phoebe,joy,20,76,0.2631578947368421
Phoebe,fear,3,76,0.039473684210526314
Phoebe,sadness,15,76,0.19736842105263158
Phoebe,anger,76,76,1.0
Phoebe,disgust,10,76,0.13157894736842105
Phoebe,surprise,28,76,0.3684210526315789
Ross,neutral,52,82,0.6341463414634146
Ross,joy,19,82,0.23170731707317074
Ross,fear,0,82,0.0
Ross,sadness,25,82,0.3048780487804878
Ross,anger,82,82,1.0
Ross,disgust,5,82,0.06097560975609756
Ross,surprise,14,82,0.17073170731707318
Monica,neutral,36,58,0.6206896551724138
Monica,joy,14,58,0.2413793103448276
Monica,fear,2,58,0.034482758620689655
Monica,sadness,12,58,0.20689655172413793
Monica,anger,58,58,1.0
Monica,disgust,10,58,0.1724137931034483
Monica,surprise,16,58,0.27586206896551724
other,neutral,36,62,0.5806451612903226
other,joy,17,62,0.27419354838709675
other,fear,7,62,0.11290322580645161
other,sadness,13,62,0.20967741935483872
other,anger,62,62,1.0
other,disgust,9,62,0.14516129032258066
other,surprise,14,62,0.22580645161290322
Rachel,neutral,41,65,0.6307692307692307
Rachel,joy,16,65,0.24615384615384617
Rachel,fear,1,65,0.015384615384615385
Rachel,sadness,18,65,0.27692307692307694
Rachel,anger,65,65,1.0
Rachel,disgust,11,65,0.16923076923076924
Rachel,surprise,10,65,0.15384615384615385
Chandler,neutral,37,52,0.7115384615384616
Chandler,joy,14,52,0.2692307692307692
Chandler,fear,7,52,0.1346153846153846
Chandler,sadness,11,52,0.21153846153846154
Chandler,anger,52,52,1.0
Chandler,disgust,9,52,0.17307692307692307
Chandler,surprise,13,52,0.25
