Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Ross,neutral,11,14,0.7857142857142857
Ross,joy,6,14,0.42857142857142855
Ross,fear,14,14,1.0
Ross,sadness,4,14,0.2857142857142857
Ross,anger,2,14,0.14285714285714285
Ross,disgust,0,14,0.0
Ross,surprise,3,14,0.21428571428571427
Joey,neutral,8,11,0.7272727272727273
Joey,joy,9,11,0.8181818181818182
Joey,fear,11,11,1.0
Joey,sadness,3,11,0.2727272727272727
Joey,anger,5,11,0.45454545454545453
Joey,disgust,0,11,0.0
Joey,surprise,3,11,0.2727272727272727
other,neutral,9,13,0.6923076923076923
other,joy,9,13,0.6923076923076923
other,fear,13,13,1.0
other,sadness,4,13,0.3076923076923077
other,anger,6,13,0.46153846153846156
other,disgust,0,13,0.0
other,surprise,2,13,0.15384615384615385
Rachel,neutral,10,14,0.7142857142857143
Rachel,joy,5,14,0.35714285714285715
Rachel,fear,14,14,1.0
Rachel,sadness,7,14,0.5
Rachel,anger,6,14,0.42857142857142855
Rachel,disgust,2,14,0.14285714285714285
Rachel,surprise,8,14,0.5714285714285714
Monica,neutral,8,10,0.8
Monica,joy,3,10,0.3
Monica,fear,10,10,1.0
Monica,sadness,1,10,0.1
Monica,anger,8,10,0.8
Monica,disgust,0,10,0.0
Monica,surprise,1,10,0.1
Chandler,neutral,15,18,0.8333333333333334
Chandler,joy,5,18,0.2777777777777778
Chandler,fear,18,18,1.0
Chandler,sadness,2,18,0.1111111111111111
Chandler,anger,4,18,0.2222222222222222
Chandler,disgust,1,18,0.05555555555555555
Chandler,surprise,8,18,0.4444444444444444
Phoebe,neutral,9,14,0.6428571428571429
Phoebe,joy,3,14,0.21428571428571427
Phoebe,fear,14,14,1.0
Phoebe,sadness,5,14,0.35714285714285715
Phoebe,anger,5,14,0.35714285714285715
Phoebe,disgust,0,14,0.0
Phoebe,surprise,6,14,0.42857142857142855
