Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,neutral,191,191,1.0
Chandler,joy,53,191,0.2774869109947644
Chandler,fear,33,191,0.17277486910994763
Chandler,sadness,37,191,0.193717277486911
Chandler,anger,56,191,0.2931937172774869
Chandler,disgust,19,191,0.09947643979057591
Chandler,surprise,55,191,0.2879581151832461
other,neutral,312,312,1.0
other,joy,112,312,0.358974358974359
other,fear,11,312,0.035256410256410256
other,sadness,51,312,0.16346153846153846
other,anger,58,312,0.1858974358974359
other,disgust,20,312,0.0641025641025641
other,surprise,70,312,0.22435897435897437
Monica,neutral,152,152,1.0
Monica,joy,69,152,0.45394736842105265
Monica,fear,9,152,0.05921052631578947
Monica,sadness,23,152,0.1513157894736842
Monica,anger,46,152,0.3026315789473684
Monica,disgust,14,152,0.09210526315789473
Monica,surprise,54,152,0.35526315789473684
Phoebe,neutral,183,183,1.0
Phoebe,joy,71,183,0.3879781420765027
Phoebe,fear,17,183,0.09289617486338798
Phoebe,sadness,45,183,0.2459016393442623
Phoebe,anger,51,183,0.2786885245901639
Phoebe,disgust,12,183,0.06557377049180328
Phoebe,surprise,41,183,0.22404371584699453
Rachel,neutral,198,198,1.0
Rachel,joy,95,198,0.4797979797979798
Rachel,fear,9,198,0.045454545454545456
Rachel,sadness,49,198,0.2474747474747475
Rachel,anger,48,198,0.24242424242424243
Rachel,disgust,16,198,0.08080808080808081
Rachel,surprise,63,198,0.3181818181818182
Ross,neutral,276,276,1.0
Ross,joy,111,276,0.40217391304347827
Ross,fear,29,276,0.10507246376811594
Ross,sadness,75,276,0.2717391304347826
Ross,anger,73,276,0.2644927536231884
Ross,disgust,12,276,0.043478260869565216
Ross,surprise,60,276,0.21739130434782608
Joey,neutral,281,281,1.0
Joey,joy,98,281,0.3487544483985765
Joey,fear,16,281,0.05693950177935943
Joey,sadness,43,281,0.15302491103202848
Joey,anger,72,281,0.25622775800711745
Joey,disgust,9,281,0.03202846975088968
Joey,surprise,93,281,0.3309608540925267
