Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Phoebe,neutral,33,49,0.673469387755102
Phoebe,joy,9,49,0.1836734693877551
Phoebe,fear,7,49,0.14285714285714285
Phoebe,sadness,49,49,1.0
Phoebe,anger,17,49,0.3469387755102041
Phoebe,disgust,2,49,0.04081632653061224
Phoebe,surprise,15,49,0.30612244897959184
Ross,neutral,35,50,0.7
Ross,joy,14,50,0.28
Ross,fear,5,50,0.1
Ross,sadness,50,50,1.0
Ross,anger,22,50,0.44
Ross,disgust,6,50,0.12
Ross,surprise,10,50,0.2
Chandler,neutral,23,29,0.7931034482758621
Chandler,joy,10,29,0.3448275862068966
Chandler,fear,0,29,0.0
Chandler,sadness,29,29,1.0
Chandler,anger,13,29,0.4482758620689655
Chandler,disgust,3,29,0.10344827586206896
Chandler,surprise,11,29,0.3793103448275862
other,neutral,40,51,0.7843137254901961
other,joy,19,51,0.37254901960784315
other,fear,6,51,0.11764705882352941
other,sadness,51,51,1.0
other,anger,18,51,0.35294117647058826
other,disgust,1,51,0.0196078431372549
other,surprise,9,51,0.17647058823529413
Joey,neutral,23,38,0.6052631578947368
Joey,joy,10,38,0.2631578947368421
Joey,fear,5,38,0.13157894736842105
Joey,sadness,38,38,1.0
Joey,anger,21,38,0.5526315789473685
Joey,disgust,0,38,0.0
Joey,surprise,8,38,0.21052631578947367
Monica,neutral,28,44,0.6363636363636364
Monica,joy,17,44,0.38636363636363635
Monica,fear,4,44,0.09090909090909091
Monica,sadness,44,44,1.0
Monica,anger,16,44,0.36363636363636365
Monica,disgust,3,44,0.06818181818181818
Monica,surprise,19,44,0.4318181818181818
Rachel,neutral,38,56,0.6785714285714286
Rachel,joy,10,56,0.17857142857142858
Rachel,fear,8,56,0.14285714285714285
Rachel,sadness,56,56,1.0
Rachel,anger,16,56,0.2857142857142857
Rachel,disgust,3,56,0.05357142857142857
Rachel,surprise,13,56,0.23214285714285715
