Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,neutral,40,49,0.8163265306122449
Chandler,joy,21,49,0.42857142857142855
Chandler,fear,9,49,0.1836734693877551
Chandler,sadness,12,49,0.24489795918367346
Chandler,anger,15,49,0.30612244897959184
Chandler,disgust,4,49,0.08163265306122448
Chandler,surprise,49,49,1.0
Phoebe,neutral,38,54,0.7037037037037037
Phoebe,joy,21,54,0.3888888888888889
Phoebe,fear,6,54,0.1111111111111111
Phoebe,sadness,10,54,0.18518518518518517
Phoebe,anger,22,54,0.4074074074074074
Phoebe,disgust,4,54,0.07407407407407407
Phoebe,surprise,54,54,1.0
Joey,neutral,61,70,0.8714285714285714
Joey,joy,25,70,0.35714285714285715
Joey,fear,4,70,0.05714285714285714
Joey,sadness,7,70,0.1
Joey,anger,13,70,0.18571428571428572
Joey,disgust,6,70,0.08571428571428572
Joey,surprise,70,70,1.0
other,neutral,41,57,0.7192982456140351
other,joy,24,57,0.42105263157894735
other,fear,0,57,0.0
other,sadness,11,57,0.19298245614035087
other,anger,10,57,0.17543859649122806
other,disgust,1,57,0.017543859649122806
other,surprise,57,57,1.0
Ross,neutral,45,55,0.8181818181818182
Ross,joy,18,55,0.32727272727272727
Ross,fear,3,55,0.05454545454545454
Ross,sadness,12,55,0.21818181818181817
Ross,anger,16,55,0.2909090909090909
Ross,disgust,2,55,0.03636363636363636
Ross,surprise,55,55,1.0
Rachel,neutral,55,64,0.859375
Rachel,joy,29,64,0.453125
Rachel,fear,7,64,0.109375
Rachel,sadness,18,64,0.28125
Rachel,anger,13,64,0.203125
Rachel,disgust,4,64,0.0625
Rachel,surprise,64,64,1.0
Monica,neutral,35,47,0.7446808510638298
Monica,joy,18,47,0.3829787234042553
Monica,fear,1,47,0.02127659574468085
Monica,sadness,7,47,0.14893617021276595
Monica,anger,15,47,0.3191489361702128
Monica,disgust,9,47,0.19148936170212766
Monica,surprise,47,47,1.0
