character,center_emotion,ngram,count,ratio
Chandler,anger,anger → anger → anger,4,0.26666666666666666
Chandler,anger,neutral → neutral → anger,2,0.13333333333333333
Chandler,anger,neutral → anger → anger,2,0.13333333333333333
Chandler,anger,surprise → sadness → anger,1,0.06666666666666667
Chandler,anger,neutral → surprise → anger,1,0.06666666666666667
Chandler,anger,surprise → anger → anger,1,0.06666666666666667
Chandler,anger,surprise → neutral → anger,1,0.06666666666666667
Chandler,anger,joy → sadness → anger,1,0.06666666666666667
Chandler,anger,disgust → anger → anger,1,0.06666666666666667
Chandler,anger,disgust → disgust → anger,1,0.06666666666666667
Chandler,disgust,neutral → surprise → disgust,1,0.2
Chandler,disgust,anger → neutral → disgust,1,0.2
Chandler,disgust,anger → anger → disgust,1,0.2
Chandler,disgust,neutral → sadness → disgust,1,0.2
Chandler,disgust,sadness → disgust → disgust,1,0.2
Chandler,fear,neutral → neutral → fear,4,0.5714285714285714
Chandler,fear,fear → neutral → fear,2,0.2857142857142857
Chandler,fear,surprise → surprise → fear,1,0.14285714285714285
Chandler,joy,neutral → neutral → joy,5,0.7142857142857143
Chandler,joy,joy → neutral → joy,1,0.14285714285714285
Chandler,joy,neutral → surprise → joy,1,0.14285714285714285
Chandler,neutral,neutral → neutral → neutral,7,0.5
Chandler,neutral,anger → neutral → neutral,2,0.14285714285714285
Chandler,neutral,sadness → sadness → neutral,1,0.07142857142857142
Chandler,neutral,anger → anger → neutral,1,0.07142857142857142
Chandler,neutral,fear → anger → neutral,1,0.07142857142857142
Chandler,neutral,neutral → sadness → neutral,1,0.07142857142857142
Chandler,neutral,surprise → neutral → neutral,1,0.07142857142857142
Chandler,sadness,surprise → surprise → sadness,3,0.3
Chandler,sadness,joy → neutral → sadness,2,0.2
Chandler,sadness,neutral → sadness → sadness,1,0.1
Chandler,sadness,sadness → sadness → sadness,1,0.1
Chandler,sadness,surprise → sadness → sadness,1,0.1
Chandler,sadness,anger → sadness → sadness,1,0.1
Chandler,sadness,sadness → neutral → sadness,1,0.1
Chandler,surprise,neutral → neutral → surprise,5,0.45454545454545453
Chandler,surprise,neutral → surprise → surprise,1,0.09090909090909091
Chandler,surprise,anger → anger → surprise,1,0.09090909090909091
Chandler,surprise,neutral → joy → surprise,1,0.09090909090909091
Chandler,surprise,sadness → anger → surprise,1,0.09090909090909091
Chandler,surprise,anger → surprise → surprise,1,0.09090909090909091
Chandler,surprise,surprise → surprise → surprise,1,0.09090909090909091
Joey,anger,anger → anger → anger,2,0.25
Joey,anger,neutral → fear → anger,1,0.125
Joey,anger,joy → anger → anger,1,0.125
Joey,anger,neutral → surprise → anger,1,0.125
Joey,anger,sadness → joy → anger,1,0.125
Joey,anger,neutral → neutral → anger,1,0.125
Joey,anger,anger → neutral → anger,1,0.125
Joey,disgust,neutral → sadness → disgust,1,0.25
Joey,disgust,anger → anger → disgust,1,0.25
Joey,disgust,neutral → neutral → disgust,1,0.25
Joey,disgust,surprise → fear → disgust,1,0.25
Joey,fear,neutral → neutral → fear,2,0.6666666666666666
Joey,fear,neutral → joy → fear,1,0.3333333333333333
Joey,joy,neutral → neutral → joy,5,0.3333333333333333
Joey,joy,joy → joy → joy,4,0.26666666666666666
Joey,joy,neutral → joy → joy,2,0.13333333333333333
Joey,joy,anger → joy → joy,1,0.06666666666666667
Joey,joy,neutral → sadness → joy,1,0.06666666666666667
Joey,joy,surprise → joy → joy,1,0.06666666666666667
Joey,joy,joy → surprise → joy,1,0.06666666666666667
Joey,neutral,neutral → neutral → neutral,6,0.5454545454545454
Joey,neutral,surprise → neutral → neutral,2,0.18181818181818182
Joey,neutral,fear → anger → neutral,1,0.09090909090909091
Joey,neutral,fear → neutral → neutral,1,0.09090909090909091
Joey,neutral,neutral → anger → neutral,1,0.09090909090909091
Joey,sadness,neutral → neutral → sadness,5,0.45454545454545453
Joey,sadness,sadness → sadness → sadness,2,0.18181818181818182
Joey,sadness,disgust → anger → sadness,1,0.09090909090909091
Joey,sadness,joy → anger → sadness,1,0.09090909090909091
Joey,sadness,anger → anger → sadness,1,0.09090909090909091
Joey,sadness,sadness → surprise → sadness,1,0.09090909090909091
Joey,surprise,disgust → neutral → surprise,1,0.14285714285714285
Joey,surprise,joy → surprise → surprise,1,0.14285714285714285
Joey,surprise,neutral → neutral → surprise,1,0.14285714285714285
Joey,surprise,anger → anger → surprise,1,0.14285714285714285
Joey,surprise,neutral → surprise → surprise,1,0.14285714285714285
Joey,surprise,neutral → anger → surprise,1,0.14285714285714285
Joey,surprise,neutral → joy → surprise,1,0.14285714285714285
Monica,anger,anger → anger → anger,13,0.52
Monica,anger,neutral → neutral → anger,3,0.12
Monica,anger,neutral → disgust → anger,2,0.08
Monica,anger,surprise → anger → anger,2,0.08
Monica,anger,neutral → anger → anger,1,0.04
Monica,anger,surprise → neutral → anger,1,0.04
Monica,anger,anger → disgust → anger,1,0.04
