Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Monica,joy,3,45,0.06666666666666667
Monica,neutral,7,45,0.15555555555555556
Monica,disgust,45,45,1.0
Monica,sadness,7,45,0.15555555555555556
Monica,anger,4,45,0.08888888888888889
Monica,surprise,10,45,0.2222222222222222
Monica,fear,2,45,0.044444444444444446
Chandler,joy,2,45,0.044444444444444446
Chandler,neutral,18,45,0.4
Chandler,disgust,45,45,1.0
Chandler,sadness,2,45,0.044444444444444446
Chandler,anger,9,45,0.2
Chandler,surprise,6,45,0.13333333333333333
Chandler,fear,1,45,0.022222222222222223
Joey,joy,6,62,0.0967741935483871
Joey,neutral,22,62,0.3548387096774194
Joey,disgust,62,62,1.0
Joey,sadness,4,62,0.06451612903225806
Joey,anger,11,62,0.1774193548387097
Joey,surprise,10,62,0.16129032258064516
Joey,fear,1,62,0.016129032258064516
Phoebe,joy,4,50,0.08
Phoebe,neutral,21,50,0.42
Phoebe,disgust,50,50,1.0
Phoebe,sadness,1,50,0.02
Phoebe,anger,11,50,0.22
Phoebe,surprise,7,50,0.14
Phoebe,fear,0,50,0.0
other,joy,4,50,0.08
other,neutral,21,50,0.42
other,disgust,50,50,1.0
other,sadness,5,50,0.1
other,anger,7,50,0.14
other,surprise,6,50,0.12
other,fear,1,50,0.02
Ross,joy,4,27,0.14814814814814814
Ross,neutral,10,27,0.37037037037037035
Ross,disgust,27,27,1.0
Ross,sadness,5,27,0.18518518518518517
Ross,anger,3,27,0.1111111111111111
Ross,surprise,3,27,0.1111111111111111
Ross,fear,0,27,0.0
Rachel,joy,3,37,0.08108108108108109
Rachel,neutral,10,37,0.2702702702702703
Rachel,disgust,37,37,1.0
Rachel,sadness,6,37,0.16216216216216217
Rachel,anger,5,37,0.13513513513513514
Rachel,surprise,3,37,0.08108108108108109
Rachel,fear,3,37,0.08108108108108109
