Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,joy,8,68,0.11764705882352941
Chandler,neutral,30,68,0.4411764705882353
Chandler,disgust,1,68,0.014705882352941176
Chandler,sadness,4,68,0.058823529411764705
Chandler,surprise,10,68,0.14705882352941177
Chandler,anger,5,68,0.07352941176470588
Chandler,fear,68,68,1.0
Rachel,joy,7,55,0.12727272727272726
Rachel,neutral,23,55,0.41818181818181815
Rachel,disgust,3,55,0.05454545454545454
Rachel,sadness,6,55,0.10909090909090909
Rachel,surprise,6,55,0.10909090909090909
Rachel,anger,6,55,0.10909090909090909
Rachel,fear,55,55,1.0
Joey,joy,8,46,0.17391304347826086
Joey,neutral,16,46,0.34782608695652173
Joey,disgust,1,46,0.021739130434782608
Joey,sadness,0,46,0.0
Joey,surprise,7,46,0.15217391304347827
Joey,anger,6,46,0.13043478260869565
Joey,fear,46,46,1.0
Ross,joy,6,47,0.1276595744680851
Ross,neutral,22,47,0.46808510638297873
Ross,disgust,0,47,0.0
Ross,sadness,6,47,0.1276595744680851
Ross,surprise,6,47,0.1276595744680851
Ross,anger,3,47,0.06382978723404255
Ross,fear,47,47,1.0
other,joy,6,42,0.14285714285714285
other,neutral,16,42,0.38095238095238093
other,disgust,1,42,0.023809523809523808
other,sadness,3,42,0.07142857142857142
other,surprise,7,42,0.16666666666666666
other,anger,4,42,0.09523809523809523
other,fear,42,42,1.0
Phoebe,joy,3,32,0.09375
Phoebe,neutral,15,32,0.46875
Phoebe,disgust,0,32,0.0
Phoebe,sadness,1,32,0.03125
Phoebe,surprise,2,32,0.0625
Phoebe,anger,6,32,0.1875
Phoebe,fear,32,32,1.0
Monica,joy,4,31,0.12903225806451613
Monica,neutral,13,31,0.41935483870967744
Monica,disgust,2,31,0.06451612903225806
Monica,sadness,0,31,0.0
Monica,surprise,2,31,0.06451612903225806
Monica,anger,6,31,0.1935483870967742
Monica,fear,31,31,1.0
