Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Joey,sadness -> surprise,16,0.13114754098360656,122
Joey,sadness -> neutral,36,0.29508196721311475,122
Joey,sadness -> joy,18,0.14754098360655737,122
Joey,sadness -> anger,17,0.13934426229508196,122
Joey,sadness -> disgust,1,0.00819672131147541,122
Joey,sadness -> sadness,34,0.2786885245901639,122
Chandler,sadness -> surprise,18,0.1836734693877551,98
Chandler,sadness -> neutral,40,0.40816326530612246,98
Chandler,sadness -> sadness,15,0.15306122448979592,98
Chandler,sadness -> joy,4,0.04081632653061224,98
Chandler,sadness -> disgust,5,0.05102040816326531,98
Chandler,sadness -> anger,12,0.12244897959183673,98
Chandler,sadness -> fear,4,0.04081632653061224,98
Rachel,sadness -> neutral,38,0.2676056338028169,142
Rachel,sadness -> sadness,53,0.3732394366197183,142
Rachel,sadness -> joy,11,0.07746478873239436,142
Rachel,sadness -> surprise,20,0.14084507042253522,142
Rachel,sadness -> anger,10,0.07042253521126761,142
Rachel,sadness -> disgust,4,0.028169014084507043,142
Rachel,sadness -> fear,6,0.04225352112676056,142
Ross,sadness -> surprise,15,0.10869565217391304,138
Ross,sadness -> anger,15,0.10869565217391304,138
Ross,sadness -> neutral,49,0.35507246376811596,138
Ross,sadness -> sadness,32,0.2318840579710145,138
Ross,sadness -> fear,6,0.043478260869565216,138
Ross,sadness -> joy,15,0.10869565217391304,138
Ross,sadness -> disgust,6,0.043478260869565216,138
other,sadness -> neutral,65,0.436241610738255,149
other,sadness -> joy,16,0.10738255033557047,149
other,sadness -> sadness,38,0.2550335570469799,149
other,sadness -> surprise,13,0.087248322147651,149
other,sadness -> anger,13,0.087248322147651,149
other,sadness -> disgust,1,0.006711409395973154,149
other,sadness -> fear,3,0.020134228187919462,149
Monica,sadness -> joy,16,0.14678899082568808,109
Monica,sadness -> neutral,39,0.3577981651376147,109
Monica,sadness -> surprise,18,0.1651376146788991,109
Monica,sadness -> sadness,26,0.23853211009174313,109
Monica,sadness -> anger,7,0.06422018348623854,109
Monica,sadness -> disgust,3,0.027522935779816515,109
Phoebe,sadness -> neutral,44,0.34375,128
Phoebe,sadness -> joy,15,0.1171875,128
Phoebe,sadness -> sadness,34,0.265625,128
Phoebe,sadness -> anger,16,0.125,128
Phoebe,sadness -> surprise,14,0.109375,128
Phoebe,sadness -> disgust,4,0.03125,128
Phoebe,sadness -> fear,1,0.0078125,128
