Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,neutral -> surprise,77,0.4117647058823529,187
Chandler,sadness -> surprise,18,0.0962566844919786,187
Chandler,surprise -> surprise,28,0.1497326203208556,187
Chandler,anger -> surprise,20,0.10695187165775401,187
Chandler,joy -> surprise,29,0.15508021390374332,187
Chandler,disgust -> surprise,6,0.03208556149732621,187
Chandler,fear -> surprise,9,0.0481283422459893,187
Joey,sadness -> surprise,16,0.06837606837606838,234
Joey,joy -> surprise,24,0.10256410256410256,234
Joey,disgust -> surprise,10,0.042735042735042736,234
Joey,neutral -> surprise,110,0.4700854700854701,234
Joey,surprise -> surprise,41,0.1752136752136752,234
Joey,anger -> surprise,26,0.1111111111111111,234
Joey,fear -> surprise,7,0.029914529914529916,234
Phoebe,surprise -> surprise,32,0.16666666666666666,192
Phoebe,neutral -> surprise,82,0.4270833333333333,192
Phoebe,joy -> surprise,29,0.15104166666666666,192
Phoebe,anger -> surprise,22,0.11458333333333333,192
Phoebe,fear -> surprise,6,0.03125,192
Phoebe,disgust -> surprise,7,0.036458333333333336,192
Phoebe,sadness -> surprise,14,0.07291666666666667,192
Rachel,joy -> surprise,45,0.18,250
Rachel,neutral -> surprise,123,0.492,250
Rachel,fear -> surprise,5,0.02,250
Rachel,surprise -> surprise,33,0.132,250
Rachel,anger -> surprise,21,0.084,250
Rachel,sadness -> surprise,20,0.08,250
Rachel,disgust -> surprise,3,0.012,250
other,neutral -> surprise,101,0.463302752293578,218
other,anger -> surprise,19,0.0871559633027523,218
other,disgust -> surprise,6,0.027522935779816515,218
other,joy -> surprise,37,0.16972477064220184,218
other,surprise -> surprise,36,0.1651376146788991,218
other,fear -> surprise,6,0.027522935779816515,218
other,sadness -> surprise,13,0.05963302752293578,218
Ross,sadness -> surprise,15,0.08196721311475409,183
Ross,anger -> surprise,13,0.07103825136612021,183
Ross,surprise -> surprise,40,0.2185792349726776,183
Ross,neutral -> surprise,83,0.453551912568306,183
Ross,joy -> surprise,27,0.14754098360655737,183
Ross,disgust -> surprise,3,0.01639344262295082,183
Ross,fear -> surprise,2,0.01092896174863388,183
Monica,disgust -> surprise,10,0.04739336492890995,211
Monica,neutral -> surprise,94,0.44549763033175355,211
Monica,joy -> surprise,35,0.16587677725118483,211
Monica,surprise -> surprise,32,0.15165876777251186,211
Monica,sadness -> surprise,18,0.08530805687203792,211
Monica,anger -> surprise,16,0.07582938388625593,211
Monica,fear -> surprise,6,0.02843601895734597,211
