Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
other,joy,42,254,0.16535433070866143
other,neutral,128,254,0.5039370078740157
other,sadness,17,254,0.06692913385826772
other,disgust,4,254,0.015748031496062992
other,surprise,254,254,1.0
other,anger,20,254,0.07874015748031496
other,fear,7,254,0.027559055118110236
Rachel,joy,28,177,0.15819209039548024
Rachel,neutral,67,177,0.3785310734463277
Rachel,sadness,18,177,0.1016949152542373
Rachel,disgust,5,177,0.02824858757062147
Rachel,surprise,177,177,1.0
Rachel,anger,20,177,0.11299435028248588
Rachel,fear,6,177,0.03389830508474576
Monica,joy,27,187,0.1443850267379679
Monica,neutral,72,187,0.3850267379679144
Monica,sadness,10,187,0.053475935828877004
Monica,disgust,7,187,0.0374331550802139
Monica,surprise,187,187,1.0
Monica,anger,37,187,0.19786096256684493
Monica,fear,2,187,0.0106951871657754
Chandler,joy,27,200,0.135
Chandler,neutral,85,200,0.425
Chandler,sadness,17,200,0.085
Chandler,disgust,11,200,0.055
Chandler,surprise,200,200,1.0
Chandler,anger,22,200,0.11
Chandler,fear,10,200,0.05
Phoebe,joy,29,217,0.1336405529953917
Phoebe,neutral,97,217,0.4470046082949309
Phoebe,sadness,24,217,0.11059907834101383
Phoebe,disgust,4,217,0.018433179723502304
Phoebe,surprise,217,217,1.0
Phoebe,anger,29,217,0.1336405529953917
Phoebe,fear,2,217,0.009216589861751152
Ross,joy,34,214,0.1588785046728972
Ross,neutral,98,214,0.45794392523364486
Ross,sadness,14,214,0.06542056074766354
Ross,disgust,5,214,0.02336448598130841
Ross,surprise,214,214,1.0
Ross,anger,17,214,0.0794392523364486
Ross,fear,6,214,0.028037383177570093
Joey,joy,36,228,0.15789473684210525
Joey,neutral,104,228,0.45614035087719296
Joey,sadness,9,228,0.039473684210526314
Joey,disgust,4,228,0.017543859649122806
Joey,surprise,228,228,1.0
Joey,anger,27,228,0.11842105263157894
Joey,fear,7,228,0.03070175438596491
