Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,surprise,36,160,0.225
Chandler,disgust,11,160,0.06875
Chandler,sadness,20,160,0.125
Chandler,fear,12,160,0.075
Chandler,neutral,97,160,0.60625
Chandler,anger,160,160,1.0
Chandler,joy,21,160,0.13125
Joey,surprise,53,215,0.24651162790697675
Joey,disgust,20,215,0.09302325581395349
Joey,sadness,17,215,0.07906976744186046
Joey,fear,13,215,0.06046511627906977
Joey,neutral,118,215,0.5488372093023256
Joey,anger,215,215,1.0
Joey,joy,29,215,0.13488372093023257
Ross,surprise,42,231,0.18181818181818182
Ross,disgust,9,231,0.03896103896103896
Ross,sadness,27,231,0.11688311688311688
Ross,fear,10,231,0.04329004329004329
Ross,neutral,116,231,0.5021645021645021
Ross,anger,231,231,1.0
Ross,joy,40,231,0.17316017316017315
Phoebe,surprise,50,184,0.2717391304347826
Phoebe,disgust,11,184,0.059782608695652176
Phoebe,sadness,19,184,0.10326086956521739
Phoebe,fear,14,184,0.07608695652173914
Phoebe,neutral,79,184,0.42934782608695654
Phoebe,anger,184,184,1.0
Phoebe,joy,32,184,0.17391304347826086
other,surprise,39,191,0.20418848167539266
other,disgust,16,191,0.08376963350785341
other,sadness,21,191,0.1099476439790576
other,fear,11,191,0.05759162303664921
other,neutral,97,191,0.5078534031413613
other,anger,191,191,1.0
other,joy,31,191,0.16230366492146597
Monica,surprise,48,191,0.2513089005235602
Monica,disgust,14,191,0.07329842931937172
Monica,sadness,21,191,0.1099476439790576
Monica,fear,9,191,0.04712041884816754
Monica,neutral,84,191,0.4397905759162304
Monica,anger,191,191,1.0
Monica,joy,30,191,0.15706806282722513
Rachel,surprise,30,179,0.16759776536312848
Rachel,disgust,10,179,0.055865921787709494
Rachel,sadness,24,179,0.1340782122905028
Rachel,fear,10,179,0.055865921787709494
Rachel,neutral,93,179,0.5195530726256983
Rachel,anger,179,179,1.0
Rachel,joy,17,179,0.09497206703910614
