Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Monica,surprise,11,46,0.2391304347826087
Monica,disgust,46,46,1.0
Monica,sadness,4,46,0.08695652173913043
Monica,fear,1,46,0.021739130434782608
Monica,neutral,25,46,0.5434782608695652
Monica,anger,13,46,0.2826086956521739
Monica,joy,14,46,0.30434782608695654
Chandler,surprise,5,42,0.11904761904761904
Chandler,disgust,42,42,1.0
Chandler,sadness,4,42,0.09523809523809523
Chandler,fear,4,42,0.09523809523809523
Chandler,neutral,28,42,0.6666666666666666
Chandler,anger,10,42,0.23809523809523808
Chandler,joy,6,42,0.14285714285714285
Joey,surprise,20,49,0.40816326530612246
Joey,disgust,49,49,1.0
Joey,sadness,2,49,0.04081632653061224
Joey,fear,5,49,0.10204081632653061
Joey,neutral,27,49,0.5510204081632653
Joey,anger,9,49,0.1836734693877551
Joey,joy,11,49,0.22448979591836735
Rachel,surprise,9,37,0.24324324324324326
Rachel,disgust,37,37,1.0
Rachel,sadness,6,37,0.16216216216216217
Rachel,fear,2,37,0.05405405405405406
Rachel,neutral,18,37,0.4864864864864865
Rachel,anger,8,37,0.21621621621621623
Rachel,joy,9,37,0.24324324324324326
Ross,surprise,9,29,0.3103448275862069
Ross,disgust,29,29,1.0
Ross,sadness,5,29,0.1724137931034483
Ross,fear,4,29,0.13793103448275862
Ross,neutral,18,29,0.6206896551724138
Ross,anger,6,29,0.20689655172413793
Ross,joy,9,29,0.3103448275862069
Phoebe,surprise,10,54,0.18518518518518517
Phoebe,disgust,54,54,1.0
Phoebe,sadness,8,54,0.14814814814814814
Phoebe,fear,1,54,0.018518518518518517
Phoebe,neutral,34,54,0.6296296296296297
Phoebe,anger,9,54,0.16666666666666666
Phoebe,joy,8,54,0.14814814814814814
other,surprise,9,45,0.2
other,disgust,45,45,1.0
other,sadness,5,45,0.1111111111111111
other,fear,3,45,0.06666666666666667
other,neutral,27,45,0.6
other,anger,11,45,0.24444444444444444
other,joy,12,45,0.26666666666666666
