Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,surprise,18,48,0.375
Chandler,disgust,48,48,1.0
Chandler,sadness,11,48,0.22916666666666666
Chandler,fear,4,48,0.08333333333333333
Chandler,neutral,26,48,0.5416666666666666
Chandler,anger,10,48,0.20833333333333334
Chandler,joy,7,48,0.14583333333333334
Ross,surprise,10,38,0.2631578947368421
Ross,disgust,38,38,1.0
Ross,sadness,11,38,0.2894736842105263
Ross,fear,1,38,0.02631578947368421
Ross,neutral,24,38,0.631578947368421
Ross,anger,11,38,0.2894736842105263
Ross,joy,9,38,0.23684210526315788
Phoebe,surprise,11,38,0.2894736842105263
Phoebe,disgust,38,38,1.0
Phoebe,sadness,4,38,0.10526315789473684
Phoebe,fear,0,38,0.0
Phoebe,neutral,23,38,0.6052631578947368
Phoebe,anger,5,38,0.13157894736842105
Phoebe,joy,6,38,0.15789473684210525
other,surprise,4,29,0.13793103448275862
other,disgust,29,29,1.0
other,sadness,4,29,0.13793103448275862
other,fear,2,29,0.06896551724137931
other,neutral,18,29,0.6206896551724138
other,anger,8,29,0.27586206896551724
other,joy,6,29,0.20689655172413793
Joey,surprise,8,39,0.20512820512820512
Joey,disgust,39,39,1.0
Joey,sadness,3,39,0.07692307692307693
Joey,fear,4,39,0.10256410256410256
Joey,neutral,19,39,0.48717948717948717
Joey,anger,13,39,0.3333333333333333
Joey,joy,9,39,0.23076923076923078
Rachel,surprise,8,40,0.2
Rachel,disgust,40,40,1.0
Rachel,sadness,5,40,0.125
Rachel,fear,1,40,0.025
Rachel,neutral,25,40,0.625
Rachel,anger,10,40,0.25
Rachel,joy,8,40,0.2
Monica,surprise,15,57,0.2631578947368421
Monica,disgust,57,57,1.0
Monica,sadness,7,57,0.12280701754385964
Monica,fear,2,57,0.03508771929824561
Monica,neutral,29,57,0.5087719298245614
Monica,anger,12,57,0.21052631578947367
Monica,joy,10,57,0.17543859649122806
