Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,neutral -> fear -> neutral,10,0.17543859649122806,57
Chandler,neutral -> fear -> fear,5,0.08771929824561403,57
Chandler,anger -> fear -> fear,1,0.017543859649122806,57
Chandler,fear -> fear -> fear,2,0.03508771929824561,57
Chandler,fear -> fear -> surprise,1,0.017543859649122806,57
Chandler,joy -> fear -> joy,4,0.07017543859649122,57
Chandler,surprise -> fear -> fear,2,0.03508771929824561,57
Chandler,fear -> fear -> neutral,3,0.05263157894736842,57
Chandler,fear -> fear -> disgust,1,0.017543859649122806,57
Chandler,fear -> fear -> anger,1,0.017543859649122806,57
Chandler,surprise -> fear -> surprise,4,0.07017543859649122,57
Chandler,anger -> fear -> neutral,1,0.017543859649122806,57
Chandler,neutral -> fear -> anger,2,0.03508771929824561,57
Chandler,joy -> fear -> neutral,2,0.03508771929824561,57
Chandler,surprise -> fear -> anger,1,0.017543859649122806,57
Chandler,disgust -> fear -> anger,1,0.017543859649122806,57
Chandler,neutral -> fear -> joy,3,0.05263157894736842,57
Chandler,anger -> fear -> surprise,1,0.017543859649122806,57
Chandler,sadness -> fear -> surprise,1,0.017543859649122806,57
Chandler,sadness -> fear -> fear,2,0.03508771929824561,57
Chandler,neutral -> fear -> surprise,4,0.07017543859649122,57
Chandler,neutral -> fear -> sadness,2,0.03508771929824561,57
Chandler,surprise -> fear -> joy,2,0.03508771929824561,57
Chandler,sadness -> fear -> neutral,1,0.017543859649122806,57
Rachel,surprise -> fear -> neutral,3,0.057692307692307696,52
Rachel,neutral -> fear -> neutral,9,0.17307692307692307,52
Rachel,neutral -> fear -> joy,2,0.038461538461538464,52
Rachel,neutral -> fear -> surprise,4,0.07692307692307693,52
Rachel,joy -> fear -> joy,2,0.038461538461538464,52
Rachel,joy -> fear -> fear,1,0.019230769230769232,52
Rachel,fear -> fear -> neutral,2,0.038461538461538464,52
Rachel,sadness -> fear -> fear,1,0.019230769230769232,52
Rachel,anger -> fear -> neutral,4,0.07692307692307693,52
Rachel,disgust -> fear -> anger,1,0.019230769230769232,52
Rachel,neutral -> fear -> sadness,2,0.038461538461538464,52
Rachel,sadness -> fear -> neutral,4,0.07692307692307693,52
Rachel,neutral -> fear -> anger,3,0.057692307692307696,52
Rachel,surprise -> fear -> surprise,2,0.038461538461538464,52
Rachel,sadness -> fear -> sadness,1,0.019230769230769232,52
Rachel,disgust -> fear -> joy,1,0.019230769230769232,52
Rachel,anger -> fear -> anger,2,0.038461538461538464,52
Rachel,fear -> fear -> sadness,1,0.019230769230769232,52
Rachel,surprise -> fear -> fear,1,0.019230769230769232,52
Rachel,joy -> fear -> neutral,3,0.057692307692307696,52
Rachel,neutral -> fear -> disgust,1,0.019230769230769232,52
Rachel,disgust -> fear -> fear,1,0.019230769230769232,52
Rachel,fear -> fear -> surprise,1,0.019230769230769232,52
Joey,neutral -> fear -> neutral,10,0.24390243902439024,41
Joey,surprise -> fear -> disgust,1,0.024390243902439025,41
Joey,joy -> fear -> neutral,5,0.12195121951219512,41
Joey,neutral -> fear -> fear,3,0.07317073170731707,41
Joey,fear -> fear -> sadness,3,0.07317073170731707,41
Joey,anger -> fear -> joy,1,0.024390243902439025,41
Joey,joy -> fear -> surprise,1,0.024390243902439025,41
Joey,surprise -> fear -> anger,1,0.024390243902439025,41
Joey,surprise -> fear -> neutral,2,0.04878048780487805,41
Joey,fear -> fear -> fear,1,0.024390243902439025,41
Joey,fear -> fear -> neutral,1,0.024390243902439025,41
Joey,neutral -> fear -> joy,1,0.024390243902439025,41
Joey,anger -> fear -> anger,2,0.04878048780487805,41
Joey,disgust -> fear -> anger,1,0.024390243902439025,41
Joey,neutral -> fear -> anger,1,0.024390243902439025,41
Joey,fear -> fear -> anger,1,0.024390243902439025,41
Joey,joy -> fear -> joy,1,0.024390243902439025,41
Joey,anger -> fear -> surprise,1,0.024390243902439025,41
Joey,surprise -> fear -> fear,1,0.024390243902439025,41
Joey,anger -> fear -> neutral,1,0.024390243902439025,41
Joey,neutral -> fear -> disgust,1,0.024390243902439025,41
Joey,anger -> fear -> disgust,1,0.024390243902439025,41
other,joy -> fear -> joy,2,0.05555555555555555,36
other,joy -> fear -> sadness,1,0.027777777777777776,36
other,anger -> fear -> fear,1,0.027777777777777776,36
other,fear -> fear -> neutral,2,0.05555555555555555,36
other,neutral -> fear -> fear,1,0.027777777777777776,36
other,disgust -> fear -> anger,1,0.027777777777777776,36
other,surprise -> fear -> surprise,2,0.05555555555555555,36
other,neutral -> fear -> joy,3,0.08333333333333333,36
other,fear -> fear -> fear,1,0.027777777777777776,36
other,neutral -> fear -> neutral,5,0.1388888888888889,36
other,surprise -> fear -> sadness,1,0.027777777777777776,36
other,neutral -> fear -> surprise,1,0.027777777777777776,36
other,anger -> fear -> anger,2,0.05555555555555555,36
other,neutral -> fear -> sadness,2,0.05555555555555555,36
other,surprise -> fear -> neutral,1,0.027777777777777776,36
other,surprise -> fear -> anger,1,0.027777777777777776,36
other,joy -> fear -> neutral,2,0.05555555555555555,36
other,joy -> fear -> fear,1,0.027777777777777776,36
other,fear -> fear -> surprise,1,0.027777777777777776,36
other,anger -> fear -> neutral,1,0.027777777777777776,36
other,sadness -> fear -> sadness,1,0.027777777777777776,36
other,sadness -> fear -> joy,1,0.027777777777777776,36
other,fear -> fear -> disgust,1,0.027777777777777776,36
other,sadness -> fear -> anger,1,0.027777777777777776,36
Ross,anger -> fear -> neutral,1,0.023255813953488372,43
Ross,neutral -> fear -> neutral,10,0.23255813953488372,43
Ross,joy -> fear -> neutral,3,0.06976744186046512,43
Ross,neutral -> fear -> surprise,2,0.046511627906976744,43
Ross,joy -> fear -> joy,1,0.023255813953488372,43
Ross,sadness -> fear -> neutral,3,0.06976744186046512,43
Ross,joy -> fear -> sadness,1,0.023255813953488372,43
Ross,sadness -> fear -> surprise,1,0.023255813953488372,43
Ross,fear -> fear -> anger,1,0.023255813953488372,43
Ross,neutral -> fear -> anger,3,0.06976744186046512,43
Ross,anger -> fear -> anger,1,0.023255813953488372,43
Ross,anger -> fear -> surprise,1,0.023255813953488372,43
Ross,surprise -> fear -> sadness,3,0.06976744186046512,43
Ross,sadness -> fear -> sadness,2,0.046511627906976744,43
Ross,neutral -> fear -> joy,2,0.046511627906976744,43
Ross,neutral -> fear -> fear,1,0.023255813953488372,43
Ross,fear -> fear -> fear,1,0.023255813953488372,43
Ross,fear -> fear -> joy,1,0.023255813953488372,43
Ross,fear -> fear -> neutral,1,0.023255813953488372,43
Ross,neutral -> fear -> disgust,2,0.046511627906976744,43
Ross,neutral -> fear -> sadness,1,0.023255813953488372,43
Ross,surprise -> fear -> disgust,1,0.023255813953488372,43
Phoebe,neutral -> fear -> neutral,5,0.16129032258064516,31
Phoebe,neutral -> fear -> joy,2,0.06451612903225806,31
Phoebe,sadness -> fear -> anger,1,0.03225806451612903,31
Phoebe,anger -> fear -> neutral,1,0.03225806451612903,31
Phoebe,neutral -> fear -> disgust,1,0.03225806451612903,31
Phoebe,anger -> fear -> anger,4,0.12903225806451613,31
Phoebe,neutral -> fear -> surprise,1,0.03225806451612903,31
Phoebe,surprise -> fear -> surprise,2,0.06451612903225806,31
Phoebe,joy -> fear -> joy,2,0.06451612903225806,31
Phoebe,neutral -> fear -> fear,3,0.0967741935483871,31
Phoebe,neutral -> fear -> sadness,2,0.06451612903225806,31
Phoebe,neutral -> fear -> anger,1,0.03225806451612903,31
Phoebe,fear -> fear -> fear,2,0.06451612903225806,31
Phoebe,fear -> fear -> neutral,2,0.06451612903225806,31
Phoebe,anger -> fear -> fear,1,0.03225806451612903,31
Phoebe,fear -> fear -> joy,1,0.03225806451612903,31
Monica,disgust -> fear -> neutral,2,0.06896551724137931,29
Monica,neutral -> fear -> joy,1,0.034482758620689655,29
Monica,neutral -> fear -> neutral,4,0.13793103448275862,29
Monica,surprise -> fear -> neutral,1,0.034482758620689655,29
Monica,joy -> fear -> joy,1,0.034482758620689655,29
Monica,anger -> fear -> anger,2,0.06896551724137931,29
Monica,surprise -> fear -> joy,1,0.034482758620689655,29
Monica,anger -> fear -> sadness,1,0.034482758620689655,29
Monica,neutral -> fear -> anger,1,0.034482758620689655,29
Monica,anger -> fear -> neutral,2,0.06896551724137931,29
Monica,fear -> fear -> surprise,1,0.034482758620689655,29
Monica,joy -> fear -> neutral,1,0.034482758620689655,29
Monica,joy -> fear -> surprise,1,0.034482758620689655,29
Monica,neutral -> fear -> surprise,5,0.1724137931034483,29
Monica,neutral -> fear -> fear,1,0.034482758620689655,29
Monica,fear -> fear -> fear,2,0.06896551724137931,29
Monica,fear -> fear -> neutral,1,0.034482758620689655,29
Monica,neutral -> fear -> sadness,1,0.034482758620689655,29
