Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
other,fear -> neutral -> surprise,2,0.03773584905660377,53
other,fear -> joy -> joy,2,0.03773584905660377,53
other,fear -> neutral -> neutral,9,0.16981132075471697,53
other,fear -> fear -> neutral,2,0.03773584905660377,53
other,fear -> neutral -> joy,7,0.1320754716981132,53
other,fear -> sadness -> sadness,2,0.03773584905660377,53
other,fear -> neutral -> disgust,1,0.018867924528301886,53
other,fear -> anger -> sadness,1,0.018867924528301886,53
other,fear -> joy -> fear,4,0.07547169811320754,53
other,fear -> surprise -> surprise,1,0.018867924528301886,53
other,fear -> joy -> surprise,1,0.018867924528301886,53
other,fear -> neutral -> sadness,1,0.018867924528301886,53
other,fear -> fear -> fear,1,0.018867924528301886,53
other,fear -> neutral -> fear,2,0.03773584905660377,53
other,fear -> anger -> fear,1,0.018867924528301886,53
other,fear -> surprise -> joy,1,0.018867924528301886,53
other,fear -> anger -> anger,1,0.018867924528301886,53
other,fear -> disgust -> anger,1,0.018867924528301886,53
other,fear -> joy -> neutral,1,0.018867924528301886,53
other,fear -> anger -> neutral,2,0.03773584905660377,53
other,fear -> joy -> anger,1,0.018867924528301886,53
other,fear -> anger -> disgust,1,0.018867924528301886,53
other,fear -> surprise -> anger,2,0.03773584905660377,53
other,fear -> fear -> surprise,1,0.018867924528301886,53
other,fear -> fear -> disgust,1,0.018867924528301886,53
other,fear -> disgust -> surprise,1,0.018867924528301886,53
other,fear -> neutral -> anger,1,0.018867924528301886,53
other,fear -> surprise -> neutral,1,0.018867924528301886,53
other,fear -> sadness -> neutral,1,0.018867924528301886,53
Joey,fear -> neutral -> neutral,10,0.2,50
Joey,fear -> neutral -> surprise,4,0.08,50
Joey,fear -> joy -> neutral,3,0.06,50
Joey,fear -> fear -> sadness,3,0.06,50
Joey,fear -> sadness -> joy,2,0.04,50
Joey,fear -> neutral -> disgust,2,0.04,50
Joey,fear -> joy -> joy,2,0.04,50
Joey,fear -> surprise -> anger,2,0.04,50
Joey,fear -> joy -> fear,1,0.02,50
Joey,fear -> anger -> fear,1,0.02,50
Joey,fear -> anger -> joy,2,0.04,50
Joey,fear -> fear -> fear,1,0.02,50
Joey,fear -> fear -> neutral,1,0.02,50
Joey,fear -> anger -> anger,3,0.06,50
Joey,fear -> surprise -> joy,1,0.02,50
Joey,fear -> neutral -> anger,1,0.02,50
Joey,fear -> neutral -> joy,2,0.04,50
Joey,fear -> neutral -> fear,2,0.04,50
Joey,fear -> fear -> anger,1,0.02,50
Joey,fear -> surprise -> neutral,2,0.04,50
Joey,fear -> neutral -> sadness,1,0.02,50
Joey,fear -> joy -> anger,1,0.02,50
Joey,fear -> disgust -> fear,1,0.02,50
Joey,fear -> surprise -> surprise,1,0.02,50
Chandler,fear -> disgust -> anger,1,0.022727272727272728,44
Chandler,fear -> neutral -> surprise,2,0.045454545454545456,44
Chandler,fear -> joy -> surprise,2,0.045454545454545456,44
Chandler,fear -> neutral -> anger,3,0.06818181818181818,44
Chandler,fear -> fear -> fear,2,0.045454545454545456,44
Chandler,fear -> fear -> surprise,1,0.022727272727272728,44
Chandler,fear -> fear -> neutral,3,0.06818181818181818,44
Chandler,fear -> fear -> disgust,1,0.022727272727272728,44
Chandler,fear -> disgust -> disgust,3,0.06818181818181818,44
Chandler,fear -> fear -> anger,1,0.022727272727272728,44
Chandler,fear -> anger -> surprise,1,0.022727272727272728,44
Chandler,fear -> joy -> neutral,2,0.045454545454545456,44
Chandler,fear -> surprise -> fear,2,0.045454545454545456,44
Chandler,fear -> anger -> neutral,3,0.06818181818181818,44
Chandler,fear -> surprise -> neutral,3,0.06818181818181818,44
Chandler,fear -> anger -> joy,1,0.022727272727272728,44
Chandler,fear -> neutral -> joy,2,0.045454545454545456,44
Chandler,fear -> neutral -> neutral,4,0.09090909090909091,44
Chandler,fear -> joy -> sadness,1,0.022727272727272728,44
