Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Monica,neutral -> neutral -> joy,55,0.21235521235521235,259
Monica,joy -> neutral -> joy,35,0.13513513513513514,259
Monica,disgust -> neutral -> joy,1,0.003861003861003861,259
Monica,neutral -> surprise -> joy,9,0.03474903474903475,259
Monica,neutral -> fear -> joy,1,0.003861003861003861,259
Monica,sadness -> joy -> joy,4,0.015444015444015444,259
Monica,joy -> joy -> joy,29,0.11196911196911197,259
Monica,neutral -> anger -> joy,7,0.02702702702702703,259
Monica,anger -> joy -> joy,6,0.023166023166023165,259
Monica,neutral -> joy -> joy,31,0.11969111969111969,259
Monica,surprise -> joy -> joy,12,0.04633204633204633,259
Monica,joy -> surprise -> joy,7,0.02702702702702703,259
Monica,joy -> anger -> joy,5,0.019305019305019305,259
Monica,sadness -> sadness -> joy,4,0.015444015444015444,259
Monica,anger -> neutral -> joy,6,0.023166023166023165,259
Monica,neutral -> disgust -> joy,3,0.011583011583011582,259
Monica,joy -> fear -> joy,1,0.003861003861003861,259
Monica,anger -> anger -> joy,4,0.015444015444015444,259
Monica,joy -> disgust -> joy,2,0.007722007722007722,259
Monica,surprise -> fear -> joy,1,0.003861003861003861,259
Monica,sadness -> surprise -> joy,3,0.011583011583011582,259
Monica,neutral -> sadness -> joy,2,0.007722007722007722,259
Monica,surprise -> neutral -> joy,12,0.04633204633204633,259
Monica,joy -> sadness -> joy,1,0.003861003861003861,259
Monica,surprise -> surprise -> joy,7,0.02702702702702703,259
Monica,sadness -> neutral -> joy,3,0.011583011583011582,259
Monica,anger -> sadness -> joy,1,0.003861003861003861,259
Monica,surprise -> anger -> joy,2,0.007722007722007722,259
Monica,fear -> surprise -> joy,1,0.003861003861003861,259
Monica,disgust -> sadness -> joy,1,0.003861003861003861,259
Monica,sadness -> disgust -> joy,1,0.003861003861003861,259
Monica,anger -> surprise -> joy,2,0.007722007722007722,259
Ross,neutral -> neutral -> joy,61,0.21785714285714286,280
Ross,joy -> joy -> joy,43,0.15357142857142858,280
Ross,anger -> neutral -> joy,6,0.02142857142857143,280
Ross,neutral -> joy -> joy,29,0.10357142857142858,280
Ross,neutral -> anger -> joy,11,0.039285714285714285,280
Ross,anger -> joy -> joy,7,0.025,280
Ross,joy -> neutral -> joy,16,0.05714285714285714,280
Ross,surprise -> neutral -> joy,16,0.05714285714285714,280
Ross,anger -> anger -> joy,6,0.02142857142857143,280
Ross,surprise -> joy -> joy,7,0.025,280
Ross,sadness -> sadness -> joy,4,0.014285714285714285,280
Ross,disgust -> sadness -> joy,2,0.007142857142857143,280
Ross,joy -> fear -> joy,1,0.0035714285714285713,280
Ross,neutral -> sadness -> joy,4,0.014285714285714285,280
Ross,surprise -> anger -> joy,1,0.0035714285714285713,280
Ross,surprise -> surprise -> joy,5,0.017857142857142856,280
Ross,joy -> surprise -> joy,4,0.014285714285714285,280
Ross,disgust -> neutral -> joy,2,0.007142857142857143,280
Ross,joy -> sadness -> joy,4,0.014285714285714285,280
Ross,neutral -> surprise -> joy,14,0.05,280
Ross,sadness -> joy -> joy,2,0.007142857142857143,280
Ross,disgust -> joy -> joy,2,0.007142857142857143,280
Ross,fear -> neutral -> joy,3,0.010714285714285714,280
Ross,joy -> anger -> joy,3,0.010714285714285714,280
Ross,neutral -> fear -> joy,2,0.007142857142857143,280
Ross,surprise -> sadness -> joy,2,0.007142857142857143,280
Ross,fear -> joy -> joy,2,0.007142857142857143,280
Ross,sadness -> neutral -> joy,7,0.025,280
Ross,fear -> fear -> joy,1,0.0035714285714285713,280
