Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,surprise,41,184,0.22282608695652173
Chandler,disgust,5,184,0.02717391304347826
Chandler,sadness,13,184,0.07065217391304347
Chandler,fear,10,184,0.05434782608695652
Chandler,neutral,122,184,0.6630434782608695
Chandler,anger,27,184,0.14673913043478262
Chandler,joy,184,184,1.0
Ross,surprise,51,260,0.19615384615384615
Ross,disgust,9,260,0.03461538461538462
Ross,sadness,22,260,0.08461538461538462
Ross,fear,8,260,0.03076923076923077
Ross,neutral,153,260,0.5884615384615385
Ross,anger,39,260,0.15
Ross,joy,260,260,1.0
Rachel,surprise,43,271,0.15867158671586715
Rachel,disgust,8,271,0.02952029520295203
Rachel,sadness,15,271,0.055350553505535055
Rachel,fear,9,271,0.033210332103321034
Rachel,neutral,195,271,0.7195571955719557
Rachel,anger,17,271,0.06273062730627306
Rachel,joy,271,271,1.0
Joey,surprise,50,269,0.18587360594795538
Joey,disgust,12,269,0.04460966542750929
Joey,sadness,24,269,0.08921933085501858
Joey,fear,13,269,0.048327137546468404
Joey,neutral,167,269,0.620817843866171
Joey,anger,29,269,0.10780669144981413
Joey,joy,269,269,1.0
other,surprise,67,303,0.22112211221122113
other,disgust,11,303,0.036303630363036306
other,sadness,26,303,0.0858085808580858
other,fear,14,303,0.0462046204620462
other,neutral,166,303,0.5478547854785478
other,anger,38,303,0.1254125412541254
other,joy,303,303,1.0
Phoebe,surprise,47,237,0.19831223628691982
Phoebe,disgust,9,237,0.0379746835443038
Phoebe,sadness,24,237,0.10126582278481013
Phoebe,fear,1,237,0.004219409282700422
Phoebe,neutral,148,237,0.6244725738396625
Phoebe,anger,30,237,0.12658227848101267
Phoebe,joy,237,237,1.0
Monica,surprise,50,260,0.19230769230769232
Monica,disgust,12,260,0.046153846153846156
Monica,sadness,23,260,0.08846153846153847
Monica,fear,10,260,0.038461538461538464
Monica,neutral,157,260,0.6038461538461538
Monica,anger,42,260,0.16153846153846155
Monica,joy,260,260,1.0
