Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
other,surprise,154,844,0.18246445497630331
other,disgust,25,844,0.02962085308056872
other,sadness,84,844,0.0995260663507109
other,fear,25,844,0.02962085308056872
other,neutral,844,844,1.0
other,anger,98,844,0.11611374407582939
other,joy,222,844,0.26303317535545023
Chandler,surprise,137,635,0.215748031496063
Chandler,disgust,28,635,0.04409448818897638
Chandler,sadness,56,635,0.08818897637795275
Chandler,fear,29,635,0.04566929133858268
Chandler,neutral,635,635,1.0
Chandler,anger,111,635,0.17480314960629922
Chandler,joy,152,635,0.23937007874015748
Rachel,surprise,172,761,0.22601839684625494
Rachel,disgust,24,761,0.03153745072273324
Rachel,sadness,83,761,0.10906701708278581
Rachel,fear,40,761,0.052562417871222074
Rachel,neutral,761,761,1.0
Rachel,anger,112,761,0.1471747700394218
Rachel,joy,218,761,0.2864651773981603
Joey,surprise,156,799,0.19524405506883605
Joey,disgust,28,799,0.03504380475594493
Joey,sadness,69,799,0.08635794743429287
Joey,fear,34,799,0.0425531914893617
Joey,neutral,799,799,1.0
Joey,anger,110,799,0.1376720901126408
Joey,joy,184,799,0.23028785982478098
Monica,surprise,144,652,0.22085889570552147
Monica,disgust,32,652,0.049079754601226995
Monica,sadness,60,652,0.09202453987730061
Monica,fear,22,652,0.03374233128834356
Monica,neutral,652,652,1.0
Monica,anger,108,652,0.1656441717791411
Monica,joy,172,652,0.26380368098159507
Phoebe,surprise,129,606,0.21287128712871287
Phoebe,disgust,30,606,0.04950495049504951
Phoebe,sadness,84,606,0.13861386138613863
Phoebe,fear,18,606,0.0297029702970297
Phoebe,neutral,606,606,1.0
Phoebe,anger,97,606,0.16006600660066006
Phoebe,joy,165,606,0.2722772277227723
Ross,surprise,134,750,0.17866666666666667
Ross,disgust,26,750,0.034666666666666665
Ross,sadness,90,750,0.12
Ross,fear,32,750,0.042666666666666665
Ross,neutral,750,750,1.0
Ross,anger,112,750,0.14933333333333335
Ross,joy,187,750,0.24933333333333332
