Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
other,neutral -> neutral -> neutral,321,0.3719582850521437,863
other,neutral -> neutral -> surprise,76,0.0880648899188876,863
other,neutral -> neutral -> fear,11,0.012746234067207415,863
other,neutral -> neutral -> joy,67,0.0776361529548088,863
other,neutral -> surprise -> neutral,48,0.055619930475086905,863
other,neutral -> sadness -> surprise,8,0.009269988412514484,863
other,neutral -> sadness -> neutral,15,0.01738122827346466,863
other,neutral -> joy -> anger,12,0.013904982618771726,863
other,neutral -> neutral -> sadness,24,0.027809965237543453,863
other,neutral -> anger -> surprise,7,0.008111239860950173,863
other,neutral -> neutral -> disgust,9,0.010428736964078795,863
other,neutral -> disgust -> neutral,6,0.006952491309385863,863
other,neutral -> joy -> neutral,48,0.055619930475086905,863
other,neutral -> fear -> fear,1,0.0011587485515643105,863
other,neutral -> joy -> joy,39,0.04519119351100811,863
other,neutral -> anger -> neutral,23,0.026651216685979143,863
other,neutral -> anger -> anger,11,0.012746234067207415,863
other,neutral -> neutral -> anger,33,0.038238702201622246,863
other,neutral -> surprise -> joy,13,0.015063731170336037,863
other,neutral -> surprise -> surprise,12,0.013904982618771726,863
other,neutral -> anger -> sadness,9,0.010428736964078795,863
other,neutral -> joy -> fear,2,0.002317497103128621,863
other,neutral -> joy -> surprise,11,0.012746234067207415,863
other,neutral -> joy -> disgust,4,0.004634994206257242,863
other,neutral -> joy -> sadness,2,0.002317497103128621,863
other,neutral -> sadness -> disgust,1,0.0011587485515643105,863
other,neutral -> anger -> joy,4,0.004634994206257242,863
other,neutral -> surprise -> anger,7,0.008111239860950173,863
other,neutral -> fear -> joy,3,0.0034762456546929316,863
other,neutral -> surprise -> sadness,6,0.006952491309385863,863
other,neutral -> fear -> neutral,5,0.005793742757821553,863
other,neutral -> sadness -> joy,6,0.006952491309385863,863
other,neutral -> disgust -> surprise,1,0.0011587485515643105,863
other,neutral -> sadness -> sadness,3,0.0034762456546929316,863
other,neutral -> fear -> surprise,1,0.0011587485515643105,863
other,neutral -> fear -> sadness,2,0.002317497103128621,863
other,neutral -> disgust -> anger,3,0.0034762456546929316,863
other,neutral -> sadness -> anger,3,0.0034762456546929316,863
other,neutral -> disgust -> disgust,1,0.0011587485515643105,863
other,neutral -> surprise -> fear,1,0.0011587485515643105,863
other,neutral -> disgust -> sadness,1,0.0011587485515643105,863
other,neutral -> anger -> disgust,1,0.0011587485515643105,863
other,neutral -> anger -> fear,1,0.0011587485515643105,863
other,neutral -> sadness -> fear,1,0.0011587485515643105,863
Chandler,neutral -> neutral -> neutral,228,0.35023041474654376,651
Chandler,neutral -> surprise -> neutral,38,0.05837173579109063,651
Chandler,neutral -> fear -> neutral,10,0.015360983102918587,651
Chandler,neutral -> joy -> sadness,4,0.006144393241167435,651
Chandler,neutral -> disgust -> sadness,4,0.006144393241167435,651
Chandler,neutral -> joy -> neutral,35,0.053763440860215055,651
Chandler,neutral -> neutral -> anger,30,0.04608294930875576,651
Chandler,neutral -> surprise -> anger,10,0.015360983102918587,651
Chandler,neutral -> sadness -> sadness,7,0.010752688172043012,651
Chandler,neutral -> neutral -> disgust,11,0.016897081413210446,651
Chandler,neutral -> surprise -> fear,1,0.0015360983102918587,651
Chandler,neutral -> joy -> surprise,10,0.015360983102918587,651
Chandler,neutral -> surprise -> joy,8,0.01228878648233487,651
Chandler,neutral -> neutral -> surprise,37,0.05683563748079877,651
Chandler,neutral -> joy -> joy,26,0.039938556067588324,651
Chandler,neutral -> neutral -> joy,51,0.07834101382488479,651
Chandler,neutral -> anger -> neutral,21,0.03225806451612903,651
Chandler,neutral -> sadness -> surprise,4,0.006144393241167435,651
Chandler,neutral -> fear -> fear,5,0.007680491551459293,651
Chandler,neutral -> sadness -> joy,2,0.0030721966205837174,651
Chandler,neutral -> surprise -> surprise,10,0.015360983102918587,651
Chandler,neutral -> surprise -> sadness,2,0.0030721966205837174,651
Chandler,neutral -> disgust -> neutral,4,0.006144393241167435,651
Chandler,neutral -> disgust -> anger,1,0.0015360983102918587,651
Chandler,neutral -> anger -> fear,3,0.004608294930875576,651
Chandler,neutral -> disgust -> surprise,4,0.006144393241167435,651
Chandler,neutral -> neutral -> sadness,14,0.021505376344086023,651
Chandler,neutral -> joy -> fear,3,0.004608294930875576,651
Chandler,neutral -> anger -> anger,9,0.013824884792626729,651
Chandler,neutral -> disgust -> joy,2,0.0030721966205837174,651
Chandler,neutral -> sadness -> neutral,11,0.016897081413210446,651
Chandler,neutral -> anger -> surprise,4,0.006144393241167435,651
Chandler,neutral -> sadness -> anger,5,0.007680491551459293,651
Chandler,neutral -> anger -> sadness,4,0.006144393241167435,651
Chandler,neutral -> joy -> anger,5,0.007680491551459293,651
Chandler,neutral -> fear -> anger,2,0.0030721966205837174,651
Chandler,neutral -> anger -> joy,3,0.004608294930875576,651
Chandler,neutral -> joy -> disgust,2,0.0030721966205837174,651
Chandler,neutral -> neutral -> fear,5,0.007680491551459293,651
Chandler,neutral -> fear -> joy,3,0.004608294930875576,651
Chandler,neutral -> anger -> disgust,4,0.006144393241167435,651
Chandler,neutral -> fear -> surprise,4,0.006144393241167435,651
Chandler,neutral -> sadness -> fear,1,0.0015360983102918587,651
Chandler,neutral -> fear -> sadness,2,0.0030721966205837174,651
Chandler,neutral -> surprise -> disgust,1,0.0015360983102918587,651
Chandler,neutral -> disgust -> disgust,1,0.0015360983102918587,651
Joey,neutral -> neutral -> neutral,314,0.39397741530740277,797
