Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,neutral -> joy -> sadness,4,0.041237113402061855,97
Chandler,neutral -> disgust -> sadness,4,0.041237113402061855,97
Chandler,neutral -> sadness -> sadness,7,0.07216494845360824,97
Chandler,sadness -> sadness -> sadness,4,0.041237113402061855,97
Chandler,neutral -> surprise -> sadness,2,0.020618556701030927,97
Chandler,anger -> disgust -> sadness,1,0.010309278350515464,97
Chandler,anger -> neutral -> sadness,4,0.041237113402061855,97
Chandler,neutral -> neutral -> sadness,14,0.14432989690721648,97
Chandler,anger -> anger -> sadness,3,0.030927835051546393,97
Chandler,sadness -> neutral -> sadness,6,0.061855670103092786,97
Chandler,neutral -> anger -> sadness,4,0.041237113402061855,97
Chandler,anger -> sadness -> sadness,5,0.05154639175257732,97
Chandler,joy -> neutral -> sadness,6,0.061855670103092786,97
Chandler,joy -> joy -> sadness,6,0.061855670103092786,97
Chandler,surprise -> neutral -> sadness,2,0.020618556701030927,97
Chandler,surprise -> anger -> sadness,1,0.010309278350515464,97
Chandler,anger -> surprise -> sadness,2,0.020618556701030927,97
Chandler,joy -> sadness -> sadness,4,0.041237113402061855,97
Chandler,disgust -> neutral -> sadness,1,0.010309278350515464,97
Chandler,sadness -> surprise -> sadness,2,0.020618556701030927,97
Chandler,surprise -> disgust -> sadness,1,0.010309278350515464,97
Chandler,fear -> joy -> sadness,1,0.010309278350515464,97
Chandler,neutral -> fear -> sadness,2,0.020618556701030927,97
Chandler,anger -> joy -> sadness,1,0.010309278350515464,97
Chandler,joy -> anger -> sadness,3,0.030927835051546393,97
Chandler,surprise -> surprise -> sadness,2,0.020618556701030927,97
Chandler,surprise -> sadness -> sadness,1,0.010309278350515464,97
Chandler,joy -> surprise -> sadness,1,0.010309278350515464,97
Chandler,sadness -> anger -> sadness,2,0.020618556701030927,97
Chandler,fear -> neutral -> sadness,1,0.010309278350515464,97
Phoebe,neutral -> surprise -> sadness,7,0.056,125
Phoebe,joy -> joy -> sadness,4,0.032,125
Phoebe,neutral -> sadness -> sadness,11,0.088,125
Phoebe,sadness -> sadness -> sadness,15,0.12,125
Phoebe,sadness -> neutral -> sadness,5,0.04,125
Phoebe,surprise -> sadness -> sadness,7,0.056,125
Phoebe,neutral -> neutral -> sadness,18,0.144,125
Phoebe,joy -> neutral -> sadness,3,0.024,125
Phoebe,neutral -> joy -> sadness,3,0.024,125
Phoebe,joy -> sadness -> sadness,3,0.024,125
Phoebe,surprise -> joy -> sadness,3,0.024,125
Phoebe,neutral -> anger -> sadness,5,0.04,125
Phoebe,sadness -> surprise -> sadness,4,0.032,125
Phoebe,anger -> neutral -> sadness,3,0.024,125
Phoebe,anger -> anger -> sadness,5,0.04,125
Phoebe,surprise -> neutral -> sadness,3,0.024,125
Phoebe,anger -> joy -> sadness,1,0.008,125
Phoebe,anger -> surprise -> sadness,4,0.032,125
Phoebe,sadness -> anger -> sadness,1,0.008,125
Phoebe,fear -> surprise -> sadness,1,0.008,125
Phoebe,sadness -> disgust -> sadness,1,0.008,125
Phoebe,anger -> sadness -> sadness,2,0.016,125
Phoebe,neutral -> fear -> sadness,2,0.016,125
Phoebe,joy -> anger -> sadness,2,0.016,125
Phoebe,sadness -> joy -> sadness,4,0.032,125
Phoebe,surprise -> surprise -> sadness,2,0.016,125
Phoebe,fear -> neutral -> sadness,2,0.016,125
Phoebe,disgust -> anger -> sadness,2,0.016,125
Phoebe,surprise -> anger -> sadness,2,0.016,125
Rachel,joy -> joy -> sadness,2,0.014705882352941176,136
Rachel,neutral -> joy -> sadness,4,0.029411764705882353,136
Rachel,neutral -> sadness -> sadness,14,0.10294117647058823,136
Rachel,joy -> sadness -> sadness,4,0.029411764705882353,136
Rachel,sadness -> sadness -> sadness,22,0.16176470588235295,136
Rachel,surprise -> sadness -> sadness,4,0.029411764705882353,136
Rachel,fear -> neutral -> sadness,2,0.014705882352941176,136
Rachel,surprise -> neutral -> sadness,8,0.058823529411764705,136
Rachel,sadness -> surprise -> sadness,5,0.03676470588235294,136
Rachel,neutral -> surprise -> sadness,8,0.058823529411764705,136
Rachel,neutral -> neutral -> sadness,19,0.13970588235294118,136
Rachel,neutral -> anger -> sadness,6,0.04411764705882353,136
Rachel,anger -> neutral -> sadness,5,0.03676470588235294,136
Rachel,joy -> neutral -> sadness,5,0.03676470588235294,136
Rachel,anger -> anger -> sadness,3,0.022058823529411766,136
Rachel,neutral -> fear -> sadness,2,0.014705882352941176,136
Rachel,surprise -> anger -> sadness,1,0.007352941176470588,136
Rachel,surprise -> joy -> sadness,1,0.007352941176470588,136
Rachel,sadness -> neutral -> sadness,5,0.03676470588235294,136
Rachel,joy -> anger -> sadness,1,0.007352941176470588,136
Rachel,surprise -> surprise -> sadness,1,0.007352941176470588,136
Rachel,sadness -> fear -> sadness,1,0.007352941176470588,136
Rachel,fear -> sadness -> sadness,2,0.014705882352941176,136
Rachel,disgust -> anger -> sadness,1,0.007352941176470588,136
Rachel,fear -> fear -> sadness,1,0.007352941176470588,136
Rachel,sadness -> anger -> sadness,3,0.022058823529411766,136
Rachel,sadness -> disgust -> sadness,1,0.007352941176470588,136
Rachel,anger -> sadness -> sadness,2,0.014705882352941176,136
Rachel,anger -> surprise -> sadness,1,0.007352941176470588,136
Rachel,surprise -> disgust -> sadness,1,0.007352941176470588,136
Rachel,sadness -> joy -> sadness,1,0.007352941176470588,136
