Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Joey,joy,35,169,0.20710059171597633
Joey,neutral,110,169,0.650887573964497
Joey,disgust,20,169,0.11834319526627218
Joey,sadness,28,169,0.16568047337278108
Joey,surprise,48,169,0.28402366863905326
Joey,anger,169,169,1.0
Joey,fear,20,169,0.11834319526627218
Chandler,joy,38,135,0.2814814814814815
Chandler,neutral,91,135,0.674074074074074
Chandler,disgust,17,135,0.1259259259259259
Chandler,sadness,27,135,0.2
Chandler,surprise,50,135,0.37037037037037035
Chandler,anger,135,135,1.0
Chandler,fear,12,135,0.08888888888888889
Phoebe,joy,42,175,0.24
Phoebe,neutral,107,175,0.6114285714285714
Phoebe,disgust,17,175,0.09714285714285714
Phoebe,sadness,34,175,0.19428571428571428
Phoebe,surprise,58,175,0.3314285714285714
Phoebe,anger,175,175,1.0
Phoebe,fear,11,175,0.06285714285714286
Ross,joy,46,193,0.23834196891191708
Ross,neutral,120,193,0.6217616580310881
Ross,disgust,10,193,0.05181347150259067
Ross,sadness,26,193,0.13471502590673576
Ross,surprise,44,193,0.22797927461139897
Ross,anger,193,193,1.0
Ross,fear,8,193,0.04145077720207254
Monica,joy,35,187,0.18716577540106952
Monica,neutral,122,187,0.6524064171122995
Monica,disgust,15,187,0.08021390374331551
Monica,sadness,23,187,0.12299465240641712
Monica,surprise,62,187,0.3315508021390374
Monica,anger,187,187,1.0
Monica,fear,14,187,0.0748663101604278
other,joy,28,160,0.175
other,neutral,99,160,0.61875
other,disgust,18,160,0.1125
other,sadness,33,160,0.20625
other,surprise,45,160,0.28125
other,anger,160,160,1.0
other,fear,14,160,0.0875
Rachel,joy,32,180,0.17777777777777778
Rachel,neutral,114,180,0.6333333333333333
Rachel,disgust,16,180,0.08888888888888889
Rachel,sadness,31,180,0.17222222222222222
Rachel,surprise,48,180,0.26666666666666666
Rachel,anger,180,180,1.0
Rachel,fear,18,180,0.1
