Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,disgust -> sadness -> neutral -> neutral,1,0.02702702702702703,37
Chandler,disgust -> surprise -> disgust -> neutral,1,0.02702702702702703,37
Chandler,disgust -> fear -> neutral -> surprise,1,0.02702702702702703,37
Chandler,disgust -> neutral -> anger -> neutral,1,0.02702702702702703,37
Chandler,disgust -> sadness -> neutral -> disgust,1,0.02702702702702703,37
Chandler,disgust -> neutral -> disgust -> neutral,1,0.02702702702702703,37
Chandler,disgust -> anger -> neutral -> sadness,1,0.02702702702702703,37
Chandler,disgust -> neutral -> neutral -> neutral,3,0.08108108108108109,37
Chandler,disgust -> neutral -> surprise -> neutral,1,0.02702702702702703,37
Chandler,disgust -> disgust -> neutral -> disgust,1,0.02702702702702703,37
Chandler,disgust -> neutral -> joy -> anger,1,0.02702702702702703,37
Chandler,disgust -> sadness -> neutral -> surprise,1,0.02702702702702703,37
Chandler,disgust -> joy -> joy -> neutral,1,0.02702702702702703,37
Chandler,disgust -> disgust -> disgust -> disgust,1,0.02702702702702703,37
Chandler,disgust -> sadness -> disgust -> disgust,1,0.02702702702702703,37
Chandler,disgust -> surprise -> neutral -> surprise,1,0.02702702702702703,37
Chandler,disgust -> disgust -> anger -> neutral,3,0.08108108108108109,37
Chandler,disgust -> anger -> neutral -> neutral,4,0.10810810810810811,37
Chandler,disgust -> disgust -> neutral -> sadness,1,0.02702702702702703,37
Chandler,disgust -> sadness -> anger -> neutral,1,0.02702702702702703,37
Chandler,disgust -> surprise -> neutral -> joy,2,0.05405405405405406,37
Chandler,disgust -> neutral -> disgust -> surprise,1,0.02702702702702703,37
Chandler,disgust -> disgust -> neutral -> neutral,1,0.02702702702702703,37
Chandler,disgust -> joy -> anger -> anger,1,0.02702702702702703,37
Chandler,disgust -> joy -> neutral -> anger,1,0.02702702702702703,37
Chandler,disgust -> neutral -> neutral -> sadness,1,0.02702702702702703,37
Chandler,disgust -> joy -> surprise -> neutral,1,0.02702702702702703,37
Chandler,disgust -> disgust -> joy -> joy,1,0.02702702702702703,37
Chandler,disgust -> surprise -> disgust -> anger,1,0.02702702702702703,37
Joey,disgust -> neutral -> fear -> neutral,1,0.024390243902439025,41
Joey,disgust -> neutral -> surprise -> neutral,3,0.07317073170731707,41
Joey,disgust -> neutral -> neutral -> neutral,4,0.0975609756097561,41
Joey,disgust -> neutral -> disgust -> surprise,1,0.024390243902439025,41
Joey,disgust -> sadness -> anger -> fear,1,0.024390243902439025,41
Joey,disgust -> sadness -> joy -> joy,2,0.04878048780487805,41
Joey,disgust -> sadness -> anger -> surprise,1,0.024390243902439025,41
Joey,disgust -> disgust -> disgust -> anger,1,0.024390243902439025,41
Joey,disgust -> disgust -> anger -> anger,3,0.07317073170731707,41
Joey,disgust -> anger -> anger -> joy,1,0.024390243902439025,41
Joey,disgust -> surprise -> neutral -> surprise,1,0.024390243902439025,41
Joey,disgust -> surprise -> sadness -> surprise,1,0.024390243902439025,41
Joey,disgust -> surprise -> neutral -> neutral,3,0.07317073170731707,41
Joey,disgust -> surprise -> disgust -> fear,1,0.024390243902439025,41
Joey,disgust -> neutral -> disgust -> neutral,2,0.04878048780487805,41
Joey,disgust -> anger -> anger -> neutral,2,0.04878048780487805,41
Joey,disgust -> joy -> anger -> fear,1,0.024390243902439025,41
Joey,disgust -> anger -> disgust -> fear,1,0.024390243902439025,41
Joey,disgust -> fear -> neutral -> disgust,1,0.024390243902439025,41
Joey,disgust -> surprise -> surprise -> joy,1,0.024390243902439025,41
Joey,disgust -> anger -> disgust -> neutral,1,0.024390243902439025,41
Joey,disgust -> fear -> anger -> anger,1,0.024390243902439025,41
Joey,disgust -> anger -> anger -> anger,2,0.04878048780487805,41
Joey,disgust -> disgust -> sadness -> neutral,1,0.024390243902439025,41
Joey,disgust -> anger -> sadness -> surprise,1,0.024390243902439025,41
Joey,disgust -> neutral -> neutral -> joy,1,0.024390243902439025,41
Joey,disgust -> sadness -> anger -> neutral,1,0.024390243902439025,41
Joey,disgust -> neutral -> neutral -> surprise,1,0.024390243902439025,41
Phoebe,disgust -> surprise -> neutral -> neutral,1,0.03571428571428571,28
Phoebe,disgust -> neutral -> neutral -> disgust,1,0.03571428571428571,28
Phoebe,disgust -> neutral -> neutral -> neutral,4,0.14285714285714285,28
Phoebe,disgust -> disgust -> disgust -> disgust,2,0.07142857142857142,28
Phoebe,disgust -> surprise -> anger -> anger,1,0.03571428571428571,28
Phoebe,disgust -> neutral -> joy -> surprise,1,0.03571428571428571,28
Phoebe,disgust -> neutral -> neutral -> anger,1,0.03571428571428571,28
Phoebe,disgust -> neutral -> surprise -> anger,1,0.03571428571428571,28
Phoebe,disgust -> surprise -> disgust -> anger,1,0.03571428571428571,28
Phoebe,disgust -> anger -> disgust -> disgust,1,0.03571428571428571,28
Phoebe,disgust -> neutral -> surprise -> joy,1,0.03571428571428571,28
Phoebe,disgust -> neutral -> neutral -> fear,1,0.03571428571428571,28
Phoebe,disgust -> neutral -> anger -> fear,1,0.03571428571428571,28
Phoebe,disgust -> sadness -> neutral -> neutral,1,0.03571428571428571,28
Phoebe,disgust -> anger -> neutral -> anger,1,0.03571428571428571,28
Phoebe,disgust -> joy -> fear -> joy,1,0.03571428571428571,28
Phoebe,disgust -> disgust -> anger -> sadness,1,0.03571428571428571,28
Phoebe,disgust -> sadness -> neutral -> surprise,1,0.03571428571428571,28
Phoebe,disgust -> neutral -> fear -> fear,1,0.03571428571428571,28
Phoebe,disgust -> neutral -> surprise -> surprise,1,0.03571428571428571,28
Phoebe,disgust -> surprise -> neutral -> anger,2,0.07142857142857142,28
Phoebe,disgust -> surprise -> sadness -> neutral,1,0.03571428571428571,28
Phoebe,disgust -> anger -> joy -> anger,1,0.03571428571428571,28
Rachel,disgust -> anger -> anger -> anger,2,0.06451612903225806,31
Rachel,disgust -> joy -> surprise -> neutral,1,0.03225806451612903,31
Rachel,disgust -> neutral -> neutral -> disgust,1,0.03225806451612903,31
Rachel,disgust -> surprise -> neutral -> neutral,1,0.03225806451612903,31
Rachel,disgust -> neutral -> neutral -> anger,1,0.03225806451612903,31
Rachel,disgust -> neutral -> surprise -> fear,1,0.03225806451612903,31
Rachel,disgust -> disgust -> disgust -> neutral,1,0.03225806451612903,31
Rachel,disgust -> surprise -> anger -> joy,1,0.03225806451612903,31
Rachel,disgust -> neutral -> neutral -> surprise,1,0.03225806451612903,31
Rachel,disgust -> surprise -> surprise -> anger,1,0.03225806451612903,31
Rachel,disgust -> surprise -> anger -> neutral,1,0.03225806451612903,31
Rachel,disgust -> neutral -> joy -> neutral,1,0.03225806451612903,31
Rachel,disgust -> anger -> disgust -> anger,1,0.03225806451612903,31
Rachel,disgust -> surprise -> neutral -> sadness,2,0.06451612903225806,31
Rachel,disgust -> neutral -> sadness -> surprise,1,0.03225806451612903,31
Rachel,disgust -> neutral -> anger -> neutral,3,0.0967741935483871,31
Rachel,disgust -> neutral -> neutral -> fear,1,0.03225806451612903,31
Rachel,disgust -> neutral -> neutral -> neutral,1,0.03225806451612903,31
Rachel,disgust -> sadness -> sadness -> joy,1,0.03225806451612903,31
Rachel,disgust -> sadness -> neutral -> neutral,1,0.03225806451612903,31
Rachel,disgust -> sadness -> neutral -> joy,1,0.03225806451612903,31
Rachel,disgust -> disgust -> disgust -> surprise,1,0.03225806451612903,31
Rachel,disgust -> neutral -> surprise -> surprise,1,0.03225806451612903,31
Rachel,disgust -> joy -> surprise -> surprise,1,0.03225806451612903,31
Rachel,disgust -> joy -> surprise -> anger,1,0.03225806451612903,31
Rachel,disgust -> anger -> anger -> neutral,1,0.03225806451612903,31
Rachel,disgust -> surprise -> neutral -> anger,1,0.03225806451612903,31
other,disgust -> fear -> anger -> sadness,1,0.034482758620689655,29
other,disgust -> neutral -> anger -> anger,1,0.034482758620689655,29
other,disgust -> joy -> neutral -> neutral,4,0.13793103448275862,29
other,disgust -> joy -> anger -> neutral,1,0.034482758620689655,29
other,disgust -> neutral -> joy -> joy,1,0.034482758620689655,29
other,disgust -> neutral -> anger -> joy,1,0.034482758620689655,29
other,disgust -> neutral -> neutral -> disgust,1,0.034482758620689655,29
other,disgust -> neutral -> neutral -> joy,2,0.06896551724137931,29
other,disgust -> disgust -> neutral -> neutral,1,0.034482758620689655,29
other,disgust -> disgust -> disgust -> neutral,1,0.034482758620689655,29
other,disgust -> anger -> neutral -> anger,1,0.034482758620689655,29
other,disgust -> fear -> joy -> fear,1,0.034482758620689655,29
other,disgust -> anger -> neutral -> neutral,2,0.06896551724137931,29
other,disgust -> anger -> anger -> neutral,1,0.034482758620689655,29
other,disgust -> disgust -> sadness -> joy,1,0.034482758620689655,29
other,disgust -> anger -> anger -> sadness,1,0.034482758620689655,29
other,disgust -> anger -> anger -> surprise,1,0.034482758620689655,29
other,disgust -> sadness -> fear -> sadness,1,0.034482758620689655,29
other,disgust -> anger -> fear -> anger,1,0.034482758620689655,29
other,disgust -> disgust -> anger -> surprise,1,0.034482758620689655,29
other,disgust -> sadness -> neutral -> fear,1,0.034482758620689655,29
