Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,joy,11,37,0.2972972972972973
Chandler,neutral,29,37,0.7837837837837838
Chandler,anger,8,37,0.21621621621621623
Chandler,disgust,4,37,0.10810810810810811
Chandler,sadness,3,37,0.08108108108108109
Chandler,surprise,17,37,0.4594594594594595
Chandler,fear,37,37,1.0
Joey,joy,17,45,0.37777777777777777
Joey,neutral,29,45,0.6444444444444445
Joey,anger,16,45,0.35555555555555557
Joey,disgust,3,45,0.06666666666666667
Joey,sadness,8,45,0.17777777777777778
Joey,surprise,17,45,0.37777777777777777
Joey,fear,45,45,1.0
Rachel,joy,12,43,0.27906976744186046
Rachel,neutral,32,43,0.7441860465116279
Rachel,anger,15,43,0.3488372093023256
Rachel,disgust,3,43,0.06976744186046512
Rachel,sadness,6,43,0.13953488372093023
Rachel,surprise,12,43,0.27906976744186046
Rachel,fear,43,43,1.0
Ross,joy,15,40,0.375
Ross,neutral,29,40,0.725
Ross,anger,12,40,0.3
Ross,disgust,3,40,0.075
Ross,sadness,8,40,0.2
Ross,surprise,12,40,0.3
Ross,fear,40,40,1.0
other,joy,18,44,0.4090909090909091
other,neutral,29,44,0.6590909090909091
other,anger,13,44,0.29545454545454547
other,disgust,4,44,0.09090909090909091
other,sadness,15,44,0.3409090909090909
other,surprise,7,44,0.1590909090909091
other,fear,44,44,1.0
Monica,joy,7,22,0.3181818181818182
Monica,neutral,13,22,0.5909090909090909
Monica,anger,8,22,0.36363636363636365
Monica,disgust,3,22,0.13636363636363635
Monica,sadness,2,22,0.09090909090909091
Monica,surprise,11,22,0.5
Monica,fear,22,22,1.0
Phoebe,joy,8,34,0.23529411764705882
Phoebe,neutral,23,34,0.6764705882352942
Phoebe,anger,13,34,0.38235294117647056
Phoebe,disgust,2,34,0.058823529411764705
Phoebe,sadness,5,34,0.14705882352941177
Phoebe,surprise,9,34,0.2647058823529412
Phoebe,fear,34,34,1.0
