Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Monica,joy,228,228,1.0
Monica,neutral,170,228,0.7456140350877193
Monica,sadness,29,228,0.12719298245614036
Monica,disgust,17,228,0.07456140350877193
Monica,anger,39,228,0.17105263157894737
Monica,surprise,72,228,0.3157894736842105
Monica,fear,7,228,0.03070175438596491
Ross,joy,246,246,1.0
Ross,neutral,189,246,0.7682926829268293
Ross,sadness,39,246,0.15853658536585366
Ross,disgust,12,246,0.04878048780487805
Ross,anger,47,246,0.1910569105691057
Ross,surprise,64,246,0.2601626016260163
Ross,fear,17,246,0.06910569105691057
Rachel,joy,219,219,1.0
Rachel,neutral,164,219,0.7488584474885844
Rachel,sadness,32,219,0.1461187214611872
Rachel,disgust,10,219,0.045662100456621
Rachel,anger,34,219,0.1552511415525114
Rachel,surprise,67,219,0.3059360730593607
Rachel,fear,8,219,0.0365296803652968
Joey,joy,208,208,1.0
Joey,neutral,150,208,0.7211538461538461
Joey,sadness,24,208,0.11538461538461539
Joey,disgust,7,208,0.03365384615384615
Joey,anger,40,208,0.19230769230769232
Joey,surprise,41,208,0.1971153846153846
Joey,fear,19,208,0.09134615384615384
other,joy,284,284,1.0
other,neutral,212,284,0.7464788732394366
other,sadness,38,284,0.13380281690140844
other,disgust,11,284,0.03873239436619718
other,anger,44,284,0.15492957746478872
other,surprise,69,284,0.24295774647887325
other,fear,20,284,0.07042253521126761
Phoebe,joy,189,189,1.0
Phoebe,neutral,143,189,0.7566137566137566
Phoebe,sadness,23,189,0.12169312169312169
Phoebe,disgust,5,189,0.026455026455026454
Phoebe,anger,30,189,0.15873015873015872
Phoebe,surprise,58,189,0.30687830687830686
Phoebe,fear,11,189,0.0582010582010582
Chandler,joy,185,185,1.0
Chandler,neutral,154,185,0.8324324324324325
Chandler,sadness,16,185,0.08648648648648649
Chandler,disgust,10,185,0.05405405405405406
Chandler,anger,33,185,0.1783783783783784
Chandler,surprise,56,185,0.3027027027027027
Chandler,fear,13,185,0.07027027027027027
