Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,joy -> sadness -> surprise -> neutral,2,0.011111111111111112,180
Chandler,joy -> surprise -> joy -> neutral,3,0.016666666666666666,180
Chandler,joy -> neutral -> neutral -> anger,4,0.022222222222222223,180
Chandler,joy -> neutral -> surprise -> anger,2,0.011111111111111112,180
Chandler,joy -> neutral -> neutral -> neutral,24,0.13333333333333333,180
Chandler,joy -> neutral -> neutral -> disgust,3,0.016666666666666666,180
Chandler,joy -> neutral -> joy -> surprise,2,0.011111111111111112,180
Chandler,joy -> neutral -> neutral -> surprise,7,0.03888888888888889,180
Chandler,joy -> anger -> neutral -> anger,1,0.005555555555555556,180
Chandler,joy -> joy -> joy -> joy,4,0.022222222222222223,180
Chandler,joy -> joy -> neutral -> fear,1,0.005555555555555556,180
Chandler,joy -> joy -> disgust -> anger,1,0.005555555555555556,180
Chandler,joy -> fear -> joy -> surprise,1,0.005555555555555556,180
Chandler,joy -> surprise -> disgust -> surprise,1,0.005555555555555556,180
Chandler,joy -> joy -> neutral -> neutral,14,0.07777777777777778,180
Chandler,joy -> neutral -> surprise -> neutral,2,0.011111111111111112,180
Chandler,joy -> neutral -> joy -> neutral,5,0.027777777777777776,180
Chandler,joy -> surprise -> neutral -> neutral,7,0.03888888888888889,180
Chandler,joy -> surprise -> joy -> surprise,2,0.011111111111111112,180
Chandler,joy -> disgust -> neutral -> disgust,1,0.005555555555555556,180
Chandler,joy -> neutral -> neutral -> joy,5,0.027777777777777776,180
Chandler,joy -> surprise -> surprise -> neutral,3,0.016666666666666666,180
Chandler,joy -> fear -> joy -> neutral,1,0.005555555555555556,180
Chandler,joy -> fear -> surprise -> fear,1,0.005555555555555556,180
Chandler,joy -> neutral -> anger -> neutral,2,0.011111111111111112,180
Chandler,joy -> neutral -> fear -> neutral,2,0.011111111111111112,180
Chandler,joy -> anger -> neutral -> joy,2,0.011111111111111112,180
