Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,neutral -> neutral -> neutral -> neutral,121,0.218018018018018,555
Chandler,neutral -> neutral -> surprise -> neutral,18,0.032432432432432434,555
Chandler,surprise -> neutral -> neutral -> neutral,26,0.04684684684684685,555
Chandler,neutral -> neutral -> fear -> neutral,7,0.012612612612612612,555
Chandler,fear -> neutral -> surprise -> neutral,4,0.007207207207207207,555
Chandler,joy -> sadness -> surprise -> neutral,2,0.0036036036036036037,555
Chandler,disgust -> sadness -> neutral -> neutral,1,0.0018018018018018018,555
Chandler,neutral -> neutral -> joy -> neutral,18,0.032432432432432434,555
Chandler,joy -> surprise -> joy -> neutral,3,0.005405405405405406,555
Chandler,neutral -> anger -> joy -> neutral,5,0.009009009009009009,555
Chandler,joy -> neutral -> neutral -> neutral,24,0.043243243243243246,555
Chandler,anger -> neutral -> joy -> neutral,4,0.007207207207207207,555
Chandler,disgust -> surprise -> disgust -> neutral,1,0.0018018018018018018,555
Chandler,anger -> joy -> neutral -> neutral,5,0.009009009009009009,555
Chandler,anger -> anger -> surprise -> neutral,3,0.005405405405405406,555
Chandler,anger -> anger -> neutral -> neutral,6,0.010810810810810811,555
Chandler,neutral -> surprise -> neutral -> neutral,15,0.02702702702702703,555
Chandler,disgust -> neutral -> anger -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> neutral -> surprise -> neutral,7,0.012612612612612612,555
Chandler,neutral -> joy -> neutral -> neutral,20,0.036036036036036036,555
Chandler,neutral -> joy -> joy -> neutral,7,0.012612612612612612,555
Chandler,surprise -> joy -> anger -> neutral,2,0.0036036036036036037,555
Chandler,anger -> neutral -> neutral -> neutral,16,0.02882882882882883,555
Chandler,sadness -> neutral -> disgust -> neutral,1,0.0018018018018018018,555
Chandler,disgust -> neutral -> disgust -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> fear -> fear -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> neutral -> anger -> neutral,6,0.010810810810810811,555
Chandler,surprise -> disgust -> surprise -> neutral,1,0.0018018018018018018,555
Chandler,anger -> surprise -> disgust -> neutral,1,0.0018018018018018018,555
Chandler,disgust -> neutral -> neutral -> neutral,3,0.005405405405405406,555
Chandler,joy -> joy -> neutral -> neutral,14,0.025225225225225224,555
Chandler,surprise -> anger -> neutral -> neutral,6,0.010810810810810811,555
Chandler,joy -> neutral -> surprise -> neutral,2,0.0036036036036036037,555
Chandler,joy -> neutral -> joy -> neutral,5,0.009009009009009009,555
Chandler,joy -> surprise -> neutral -> neutral,7,0.012612612612612612,555
Chandler,disgust -> neutral -> surprise -> neutral,1,0.0018018018018018018,555
Chandler,neutral -> neutral -> sadness -> neutral,5,0.009009009009009009,555
Chandler,sadness -> neutral -> neutral -> neutral,5,0.009009009009009009,555
Chandler,neutral -> surprise -> surprise -> neutral,4,0.007207207207207207,555
Chandler,neutral -> anger -> neutral -> neutral,10,0.018018018018018018,555
Chandler,anger -> surprise -> neutral -> neutral,3,0.005405405405405406,555
Chandler,neutral -> neutral -> disgust -> neutral,2,0.0036036036036036037,555
Chandler,joy -> surprise -> surprise -> neutral,3,0.005405405405405406,555
Chandler,joy -> fear -> joy -> neutral,1,0.0018018018018018018,555
Chandler,sadness -> sadness -> neutral -> neutral,5,0.009009009009009009,555
Chandler,surprise -> neutral -> joy -> neutral,2,0.0036036036036036037,555
Chandler,neutral -> anger -> fear -> neutral,1,0.0018018018018018018,555
Chandler,sadness -> sadness -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> surprise -> disgust -> neutral,2,0.0036036036036036037,555
Chandler,joy -> neutral -> anger -> neutral,2,0.0036036036036036037,555
Chandler,anger -> neutral -> anger -> neutral,4,0.007207207207207207,555
Chandler,sadness -> fear -> anger -> neutral,2,0.0036036036036036037,555
Chandler,joy -> neutral -> fear -> neutral,2,0.0036036036036036037,555
Chandler,sadness -> surprise -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> sadness -> neutral -> neutral,2,0.0036036036036036037,555
Chandler,neutral -> surprise -> sadness -> neutral,3,0.005405405405405406,555
Chandler,neutral -> sadness -> neutral -> neutral,5,0.009009009009009009,555
Chandler,surprise -> sadness -> surprise -> neutral,1,0.0018018018018018018,555
Chandler,neutral -> neutral -> anger -> neutral,6,0.010810810810810811,555
Chandler,anger -> joy -> anger -> neutral,2,0.0036036036036036037,555
Chandler,neutral -> joy -> surprise -> neutral,3,0.005405405405405406,555
Chandler,disgust -> joy -> joy -> neutral,1,0.0018018018018018018,555
Chandler,sadness -> surprise -> anger -> neutral,2,0.0036036036036036037,555
Chandler,neutral -> disgust -> surprise -> neutral,2,0.0036036036036036037,555
Chandler,joy -> surprise -> anger -> neutral,1,0.0018018018018018018,555
Chandler,anger -> anger -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,joy -> surprise -> disgust -> neutral,1,0.0018018018018018018,555
Chandler,neutral -> surprise -> joy -> neutral,3,0.005405405405405406,555
Chandler,joy -> disgust -> neutral -> neutral,1,0.0018018018018018018,555
Chandler,joy -> joy -> joy -> neutral,2,0.0036036036036036037,555
Chandler,joy -> joy -> anger -> neutral,2,0.0036036036036036037,555
Chandler,neutral -> anger -> surprise -> neutral,2,0.0036036036036036037,555
Chandler,surprise -> surprise -> neutral -> neutral,3,0.005405405405405406,555
Chandler,surprise -> fear -> surprise -> neutral,2,0.0036036036036036037,555
Chandler,neutral -> sadness -> anger -> neutral,1,0.0018018018018018018,555
Chandler,fear -> neutral -> neutral -> neutral,3,0.005405405405405406,555
Chandler,disgust -> disgust -> anger -> neutral,3,0.005405405405405406,555
Chandler,disgust -> anger -> neutral -> neutral,4,0.007207207207207207,555
Chandler,surprise -> joy -> surprise -> neutral,2,0.0036036036036036037,555
Chandler,surprise -> fear -> anger -> neutral,1,0.0018018018018018018,555
Chandler,fear -> anger -> neutral -> neutral,1,0.0018018018018018018,555
Chandler,anger -> joy -> joy -> neutral,1,0.0018018018018018018,555
Chandler,neutral -> joy -> anger -> neutral,2,0.0036036036036036037,555
Chandler,fear -> joy -> neutral -> neutral,3,0.005405405405405406,555
Chandler,fear -> anger -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,fear -> anger -> joy -> neutral,1,0.0018018018018018018,555
Chandler,sadness -> sadness -> anger -> neutral,1,0.0018018018018018018,555
Chandler,sadness -> anger -> neutral -> neutral,2,0.0036036036036036037,555
Chandler,sadness -> sadness -> surprise -> neutral,2,0.0036036036036036037,555
Chandler,neutral -> surprise -> anger -> neutral,4,0.007207207207207207,555
Chandler,neutral -> anger -> anger -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> joy -> joy -> neutral,1,0.0018018018018018018,555
Chandler,sadness -> surprise -> neutral -> neutral,1,0.0018018018018018018,555
Chandler,fear -> surprise -> neutral -> neutral,1,0.0018018018018018018,555
Chandler,fear -> joy -> fear -> neutral,1,0.0018018018018018018,555
Chandler,joy -> joy -> sadness -> neutral,2,0.0036036036036036037,555
Chandler,fear -> fear -> fear -> neutral,1,0.0018018018018018018,555
Chandler,neutral -> disgust -> neutral -> neutral,2,0.0036036036036036037,555
Chandler,surprise -> sadness -> anger -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> anger -> anger -> neutral,1,0.0018018018018018018,555
Chandler,neutral -> fear -> neutral -> neutral,2,0.0036036036036036037,555
Chandler,joy -> anger -> neutral -> neutral,2,0.0036036036036036037,555
Chandler,joy -> joy -> surprise -> neutral,3,0.005405405405405406,555
Chandler,disgust -> sadness -> anger -> neutral,1,0.0018018018018018018,555
Chandler,sadness -> joy -> joy -> neutral,1,0.0018018018018018018,555
Chandler,sadness -> neutral -> surprise -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> anger -> disgust -> neutral,1,0.0018018018018018018,555
Chandler,anger -> fear -> surprise -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> joy -> neutral -> neutral,1,0.0018018018018018018,555
Chandler,neutral -> fear -> fear -> neutral,1,0.0018018018018018018,555
Chandler,neutral -> sadness -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,neutral -> anger -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,anger -> sadness -> neutral -> neutral,1,0.0018018018018018018,555
Chandler,fear -> fear -> neutral -> neutral,1,0.0018018018018018018,555
Chandler,anger -> anger -> anger -> neutral,4,0.007207207207207207,555
Chandler,surprise -> neutral -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,neutral -> surprise -> disgust -> neutral,1,0.0018018018018018018,555
Chandler,disgust -> disgust -> neutral -> neutral,1,0.0018018018018018018,555
Chandler,joy -> sadness -> neutral -> neutral,1,0.0018018018018018018,555
Chandler,sadness -> neutral -> joy -> neutral,2,0.0036036036036036037,555
Chandler,surprise -> surprise -> joy -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> disgust -> neutral -> neutral,1,0.0018018018018018018,555
Chandler,joy -> neutral -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,anger -> anger -> joy -> neutral,2,0.0036036036036036037,555
Chandler,neutral -> joy -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> sadness -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,anger -> surprise -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,neutral -> anger -> disgust -> neutral,1,0.0018018018018018018,555
Chandler,anger -> disgust -> neutral -> neutral,1,0.0018018018018018018,555
Chandler,joy -> disgust -> surprise -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> surprise -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,sadness -> joy -> anger -> neutral,1,0.0018018018018018018,555
Chandler,sadness -> neutral -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,fear -> neutral -> sadness -> neutral,1,0.0018018018018018018,555
Chandler,disgust -> joy -> surprise -> neutral,1,0.0018018018018018018,555
Chandler,fear -> neutral -> fear -> neutral,1,0.0018018018018018018,555
Chandler,surprise -> surprise -> surprise -> neutral,1,0.0018018018018018018,555
other,neutral -> surprise -> neutral -> neutral,31,0.04183535762483131,741
other,neutral -> neutral -> neutral -> neutral,194,0.26180836707152494,741
other,joy -> neutral -> surprise -> neutral,7,0.009446693657219974,741
other,neutral -> neutral -> surprise -> neutral,18,0.024291497975708502,741
other,sadness -> anger -> sadness -> neutral,1,0.001349527665317139,741
other,sadness -> neutral -> sadness -> neutral,2,0.002699055330634278,741
other,neutral -> sadness -> neutral -> neutral,15,0.020242914979757085,741
other,sadness -> neutral -> neutral -> neutral,13,0.017543859649122806,741
other,joy -> joy -> neutral -> neutral,26,0.03508771929824561,741
other,surprise -> neutral -> surprise -> neutral,12,0.016194331983805668,741
other,joy -> neutral -> neutral -> neutral,32,0.043184885290148446,741
other,neutral -> joy -> neutral -> neutral,38,0.05128205128205128,741
other,anger -> fear -> neutral -> neutral,1,0.001349527665317139,741
other,neutral -> fear -> neutral -> neutral,6,0.008097165991902834,741
other,anger -> anger -> joy -> neutral,2,0.002699055330634278,741
other,anger -> joy -> neutral -> neutral,2,0.002699055330634278,741
other,neutral -> neutral -> disgust -> neutral,3,0.004048582995951417,741
other,neutral -> disgust -> neutral -> neutral,2,0.002699055330634278,741
other,sadness -> surprise -> neutral -> neutral,3,0.004048582995951417,741
other,surprise -> neutral -> neutral -> neutral,23,0.0310391363022942,741
other,neutral -> neutral -> joy -> neutral,24,0.032388663967611336,741
other,anger -> fear -> fear -> neutral,1,0.001349527665317139,741
other,anger -> sadness -> joy -> neutral,1,0.001349527665317139,741
other,sadness -> joy -> neutral -> neutral,4,0.005398110661268556,741
other,joy -> joy -> joy -> neutral,9,0.012145748987854251,741
other,neutral -> joy -> surprise -> neutral,10,0.01349527665317139,741
other,neutral -> joy -> joy -> neutral,12,0.016194331983805668,741
other,neutral -> surprise -> surprise -> neutral,7,0.009446693657219974,741
other,neutral -> neutral -> anger -> neutral,10,0.01349527665317139,741
other,fear -> anger -> sadness -> neutral,1,0.001349527665317139,741
other,anger -> sadness -> neutral -> neutral,3,0.004048582995951417,741
other,joy -> neutral -> joy -> neutral,8,0.010796221322537112,741
other,surprise -> joy -> neutral -> neutral,9,0.012145748987854251,741
other,joy -> joy -> disgust -> neutral,1,0.001349527665317139,741
other,joy -> disgust -> neutral -> neutral,2,0.002699055330634278,741
other,joy -> anger -> joy -> neutral,1,0.001349527665317139,741
other,surprise -> surprise -> neutral -> neutral,6,0.008097165991902834,741
other,surprise -> sadness -> surprise -> neutral,1,0.001349527665317139,741
other,neutral -> sadness -> sadness -> neutral,4,0.005398110661268556,741
