Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,joy,206,598,0.34448160535117056
Chandler,neutral,598,598,1.0
Chandler,sadness,73,598,0.12207357859531773
Chandler,disgust,42,598,0.07023411371237458
Chandler,surprise,185,598,0.3093645484949833
Chandler,anger,136,598,0.22742474916387959
Chandler,fear,33,598,0.05518394648829431
other,joy,314,871,0.3605051664753157
other,neutral,871,871,1.0
other,sadness,127,871,0.14580941446613088
other,disgust,42,871,0.04822043628013777
other,surprise,255,871,0.2927669345579793
other,anger,144,871,0.1653272101033295
other,fear,48,871,0.05510907003444317
Joey,joy,216,703,0.30725462304409673
Joey,neutral,703,703,1.0
Joey,sadness,72,703,0.10241820768136557
Joey,disgust,41,703,0.05832147937411095
Joey,surprise,203,703,0.2887624466571835
Joey,anger,147,703,0.20910384068278806
Joey,fear,44,703,0.06258890469416785
Monica,joy,218,531,0.4105461393596987
Monica,neutral,531,531,1.0
Monica,sadness,81,531,0.15254237288135594
Monica,disgust,33,531,0.062146892655367235
Monica,surprise,146,531,0.2749529190207156
Monica,anger,103,531,0.19397363465160075
Monica,fear,26,531,0.04896421845574388
Phoebe,joy,195,546,0.35714285714285715
Phoebe,neutral,546,546,1.0
Phoebe,sadness,87,546,0.15934065934065933
Phoebe,disgust,45,546,0.08241758241758242
Phoebe,surprise,178,546,0.326007326007326
Phoebe,anger,100,546,0.18315018315018314
Phoebe,fear,45,546,0.08241758241758242
Ross,joy,230,696,0.33045977011494254
Ross,neutral,696,696,1.0
Ross,sadness,115,696,0.16522988505747127
Ross,disgust,26,696,0.03735632183908046
Ross,surprise,191,696,0.2744252873563218
Ross,anger,151,696,0.21695402298850575
Ross,fear,55,696,0.07902298850574713
Rachel,joy,176,540,0.32592592592592595
Rachel,neutral,540,540,1.0
Rachel,sadness,92,540,0.17037037037037037
Rachel,disgust,27,540,0.05
Rachel,surprise,146,540,0.27037037037037037
Rachel,anger,112,540,0.2074074074074074
Rachel,fear,35,540,0.06481481481481481
