Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,joy,190,576,0.3298611111111111
Chandler,neutral,576,576,1.0
Chandler,sadness,71,576,0.1232638888888889
Chandler,anger,129,576,0.22395833333333334
Chandler,disgust,32,576,0.05555555555555555
Chandler,surprise,183,576,0.3177083333333333
Chandler,fear,54,576,0.09375
other,joy,280,822,0.340632603406326
other,neutral,822,822,1.0
other,sadness,109,822,0.13260340632603407
other,anger,137,822,0.16666666666666666
other,disgust,42,822,0.051094890510948905
other,surprise,257,822,0.3126520681265207
other,fear,47,822,0.057177615571776155
Monica,joy,196,554,0.35379061371841153
Monica,neutral,554,554,1.0
Monica,sadness,80,554,0.1444043321299639
Monica,anger,136,554,0.24548736462093862
Monica,disgust,40,554,0.07220216606498195
Monica,surprise,167,554,0.30144404332129965
Monica,fear,32,554,0.05776173285198556
Phoebe,joy,192,563,0.3410301953818828
Phoebe,neutral,563,563,1.0
Phoebe,sadness,114,563,0.2024866785079929
Phoebe,anger,111,563,0.19715808170515098
Phoebe,disgust,46,563,0.08170515097690942
Phoebe,surprise,190,563,0.33747779751332146
Phoebe,fear,39,563,0.06927175843694494
Ross,joy,248,706,0.35127478753541075
Ross,neutral,706,706,1.0
Ross,sadness,112,706,0.15864022662889518
Ross,anger,149,706,0.21104815864022664
Ross,disgust,42,706,0.059490084985835696
Ross,surprise,192,706,0.2719546742209632
Ross,fear,53,706,0.07507082152974505
Rachel,joy,190,582,0.32646048109965636
Rachel,neutral,582,582,1.0
Rachel,sadness,98,582,0.16838487972508592
Rachel,anger,106,582,0.18213058419243985
Rachel,disgust,28,582,0.048109965635738834
Rachel,surprise,177,582,0.30412371134020616
Rachel,fear,37,582,0.06357388316151202
Joey,joy,219,733,0.2987721691678035
Joey,neutral,733,733,1.0
Joey,sadness,85,733,0.11596180081855388
Joey,anger,174,733,0.2373806275579809
Joey,disgust,45,733,0.061391541609822645
Joey,surprise,220,733,0.30013642564802184
Joey,fear,46,733,0.06275579809004093
