Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,joy,26,82,0.3170731707317073
Chandler,neutral,59,82,0.7195121951219512
Chandler,sadness,82,82,1.0
Chandler,disgust,8,82,0.0975609756097561
Chandler,surprise,27,82,0.32926829268292684
Chandler,anger,25,82,0.3048780487804878
Chandler,fear,3,82,0.036585365853658534
Phoebe,joy,29,115,0.25217391304347825
Phoebe,neutral,73,115,0.6347826086956522
Phoebe,sadness,115,115,1.0
Phoebe,disgust,3,115,0.02608695652173913
Phoebe,surprise,38,115,0.33043478260869563
Phoebe,anger,29,115,0.25217391304347825
Phoebe,fear,6,115,0.05217391304347826
Rachel,joy,24,123,0.1951219512195122
Rachel,neutral,84,123,0.6829268292682927
Rachel,sadness,123,123,1.0
Rachel,disgust,5,123,0.04065040650406504
Rachel,surprise,40,123,0.3252032520325203
Rachel,anger,27,123,0.21951219512195122
Rachel,fear,10,123,0.08130081300813008
Joey,joy,22,91,0.24175824175824176
Joey,neutral,57,91,0.6263736263736264
Joey,sadness,91,91,1.0
Joey,disgust,3,91,0.03296703296703297
Joey,surprise,26,91,0.2857142857142857
Joey,anger,30,91,0.32967032967032966
Joey,fear,6,91,0.06593406593406594
Ross,joy,25,101,0.24752475247524752
Ross,neutral,79,101,0.7821782178217822
Ross,sadness,101,101,1.0
Ross,disgust,8,101,0.07920792079207921
Ross,surprise,22,101,0.21782178217821782
Ross,anger,23,101,0.22772277227722773
Ross,fear,13,101,0.12871287128712872
other,joy,33,123,0.2682926829268293
other,neutral,82,123,0.6666666666666666
other,sadness,123,123,1.0
other,disgust,8,123,0.06504065040650407
other,surprise,39,123,0.3170731707317073
other,anger,37,123,0.3008130081300813
other,fear,12,123,0.0975609756097561
Monica,joy,31,102,0.30392156862745096
Monica,neutral,68,102,0.6666666666666666
Monica,sadness,102,102,1.0
Monica,disgust,9,102,0.08823529411764706
Monica,surprise,36,102,0.35294117647058826
Monica,anger,30,102,0.29411764705882354
Monica,fear,5,102,0.049019607843137254
