Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Rachel,joy,34,145,0.23448275862068965
Rachel,neutral,94,145,0.6482758620689655
Rachel,sadness,145,145,1.0
Rachel,disgust,12,145,0.08275862068965517
Rachel,anger,33,145,0.22758620689655173
Rachel,surprise,40,145,0.27586206896551724
Rachel,fear,12,145,0.08275862068965517
Monica,joy,34,91,0.37362637362637363
Monica,neutral,58,91,0.6373626373626373
Monica,sadness,91,91,1.0
Monica,disgust,7,91,0.07692307692307693
Monica,anger,22,91,0.24175824175824176
Monica,surprise,30,91,0.32967032967032966
Monica,fear,3,91,0.03296703296703297
Ross,joy,32,112,0.2857142857142857
Ross,neutral,84,112,0.75
Ross,sadness,112,112,1.0
Ross,disgust,4,112,0.03571428571428571
Ross,anger,21,112,0.1875
Ross,surprise,30,112,0.26785714285714285
Ross,fear,8,112,0.07142857142857142
Chandler,joy,17,74,0.22972972972972974
Chandler,neutral,57,74,0.7702702702702703
Chandler,sadness,74,74,1.0
Chandler,disgust,3,74,0.04054054054054054
Chandler,anger,24,74,0.32432432432432434
Chandler,surprise,25,74,0.33783783783783783
Chandler,fear,7,74,0.0945945945945946
other,joy,35,115,0.30434782608695654
other,neutral,76,115,0.6608695652173913
other,sadness,115,115,1.0
other,disgust,4,115,0.034782608695652174
other,anger,29,115,0.25217391304347825
other,surprise,34,115,0.2956521739130435
other,fear,11,115,0.09565217391304348
Joey,joy,10,81,0.12345679012345678
Joey,neutral,56,81,0.691358024691358
Joey,sadness,81,81,1.0
Joey,disgust,3,81,0.037037037037037035
Joey,anger,23,81,0.2839506172839506
Joey,surprise,17,81,0.20987654320987653
Joey,fear,0,81,0.0
Phoebe,joy,23,85,0.27058823529411763
Phoebe,neutral,58,85,0.6823529411764706
Phoebe,sadness,85,85,1.0
Phoebe,disgust,4,85,0.047058823529411764
Phoebe,anger,22,85,0.25882352941176473
Phoebe,surprise,24,85,0.2823529411764706
Phoebe,fear,4,85,0.047058823529411764
