Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Joey,surprise -> joy -> neutral -> neutral -> anger,1,0.006802721088435374,147
Joey,anger -> joy -> neutral -> surprise -> anger,1,0.006802721088435374,147
Joey,neutral -> surprise -> anger -> anger -> anger,1,0.006802721088435374,147
Joey,neutral -> surprise -> fear -> disgust -> anger,1,0.006802721088435374,147
Joey,anger -> anger -> surprise -> anger -> anger,1,0.006802721088435374,147
Joey,anger -> surprise -> anger -> anger -> anger,1,0.006802721088435374,147
Joey,surprise -> anger -> anger -> anger -> anger,3,0.02040816326530612,147
Joey,neutral -> neutral -> neutral -> anger -> anger,5,0.034013605442176874,147
Joey,neutral -> neutral -> anger -> anger -> anger,2,0.013605442176870748,147
Joey,neutral -> anger -> anger -> anger -> anger,3,0.02040816326530612,147
Joey,surprise -> surprise -> neutral -> neutral -> anger,2,0.013605442176870748,147
Joey,neutral -> neutral -> anger -> surprise -> anger,3,0.02040816326530612,147
Joey,neutral -> neutral -> disgust -> anger -> anger,2,0.013605442176870748,147
Joey,sadness -> sadness -> disgust -> sadness -> anger,1,0.006802721088435374,147
Joey,disgust -> sadness -> anger -> surprise -> anger,1,0.006802721088435374,147
Joey,surprise -> anger -> neutral -> neutral -> anger,1,0.006802721088435374,147
Joey,anger -> disgust -> disgust -> disgust -> anger,1,0.006802721088435374,147
Joey,disgust -> disgust -> disgust -> anger -> anger,1,0.006802721088435374,147
Joey,surprise -> neutral -> fear -> neutral -> anger,1,0.006802721088435374,147
Joey,surprise -> neutral -> neutral -> surprise -> anger,2,0.013605442176870748,147
Joey,neutral -> anger -> neutral -> surprise -> anger,1,0.006802721088435374,147
Joey,anger -> surprise -> surprise -> anger -> anger,1,0.006802721088435374,147
Joey,surprise -> joy -> joy -> neutral -> anger,1,0.006802721088435374,147
Joey,disgust -> surprise -> disgust -> fear -> anger,1,0.006802721088435374,147
Joey,surprise -> sadness -> anger -> fear -> anger,1,0.006802721088435374,147
Joey,neutral -> sadness -> anger -> neutral -> anger,1,0.006802721088435374,147
Joey,neutral -> surprise -> surprise -> sadness -> anger,1,0.006802721088435374,147
Joey,surprise -> sadness -> anger -> anger -> anger,1,0.006802721088435374,147
Joey,sadness -> anger -> anger -> anger -> anger,1,0.006802721088435374,147
Joey,anger -> anger -> anger -> anger -> anger,5,0.034013605442176874,147
Joey,anger -> anger -> anger -> surprise -> anger,1,0.006802721088435374,147
Joey,neutral -> sadness -> neutral -> fear -> anger,1,0.006802721088435374,147
Joey,joy -> joy -> surprise -> anger -> anger,1,0.006802721088435374,147
Joey,surprise -> anger -> anger -> neutral -> anger,2,0.013605442176870748,147
Joey,neutral -> neutral -> neutral -> surprise -> anger,3,0.02040816326530612,147
Joey,neutral -> neutral -> neutral -> joy -> anger,1,0.006802721088435374,147
Joey,neutral -> anger -> neutral -> neutral -> anger,2,0.013605442176870748,147
Joey,surprise -> surprise -> joy -> neutral -> anger,1,0.006802721088435374,147
Joey,anger -> neutral -> anger -> joy -> anger,1,0.006802721088435374,147
Joey,anger -> joy -> anger -> anger -> anger,1,0.006802721088435374,147
Joey,surprise -> neutral -> neutral -> anger -> anger,1,0.006802721088435374,147
Joey,disgust -> surprise -> neutral -> neutral -> anger,1,0.006802721088435374,147
Joey,neutral -> neutral -> joy -> neutral -> anger,1,0.006802721088435374,147
Joey,neutral -> surprise -> anger -> fear -> anger,1,0.006802721088435374,147
Joey,surprise -> anger -> fear -> anger -> anger,1,0.006802721088435374,147
Joey,joy -> neutral -> neutral -> surprise -> anger,1,0.006802721088435374,147
Joey,neutral -> neutral -> surprise -> anger -> anger,3,0.02040816326530612,147
Joey,neutral -> surprise -> joy -> neutral -> anger,1,0.006802721088435374,147
Joey,sadness -> sadness -> neutral -> neutral -> anger,1,0.006802721088435374,147
Joey,neutral -> neutral -> sadness -> neutral -> anger,1,0.006802721088435374,147
Joey,neutral -> neutral -> neutral -> neutral -> anger,7,0.047619047619047616,147
Joey,neutral -> anger -> anger -> neutral -> anger,1,0.006802721088435374,147
Joey,anger -> neutral -> neutral -> anger -> anger,1,0.006802721088435374,147
Joey,neutral -> anger -> neutral -> anger -> anger,2,0.013605442176870748,147
Joey,joy -> joy -> neutral -> joy -> anger,1,0.006802721088435374,147
Joey,neutral -> neutral -> surprise -> fear -> anger,1,0.006802721088435374,147
Joey,anger -> neutral -> neutral -> neutral -> anger,1,0.006802721088435374,147
Joey,neutral -> neutral -> anger -> neutral -> anger,3,0.02040816326530612,147
Joey,joy -> neutral -> fear -> neutral -> anger,1,0.006802721088435374,147
Joey,anger -> anger -> neutral -> disgust -> anger,1,0.006802721088435374,147
Joey,neutral -> disgust -> anger -> neutral -> anger,1,0.006802721088435374,147
Joey,joy -> neutral -> neutral -> neutral -> anger,1,0.006802721088435374,147
Joey,neutral -> neutral -> surprise -> disgust -> anger,1,0.006802721088435374,147
Joey,joy -> neutral -> fear -> anger -> anger,1,0.006802721088435374,147
Joey,neutral -> fear -> anger -> anger -> anger,1,0.006802721088435374,147
Joey,neutral -> surprise -> neutral -> surprise -> anger,2,0.013605442176870748,147
Joey,sadness -> surprise -> neutral -> joy -> anger,1,0.006802721088435374,147
Joey,surprise -> surprise -> joy -> joy -> anger,2,0.013605442176870748,147
Joey,anger -> neutral -> anger -> anger -> anger,2,0.013605442176870748,147
Joey,fear -> neutral -> fear -> fear -> anger,1,0.006802721088435374,147
Joey,surprise -> surprise -> neutral -> surprise -> anger,2,0.013605442176870748,147
Joey,joy -> disgust -> neutral -> neutral -> anger,1,0.006802721088435374,147
Joey,disgust -> disgust -> anger -> anger -> anger,2,0.013605442176870748,147
Joey,sadness -> sadness -> anger -> sadness -> anger,2,0.013605442176870748,147
Joey,neutral -> sadness -> sadness -> sadness -> anger,1,0.006802721088435374,147
Joey,joy -> neutral -> neutral -> anger -> anger,2,0.013605442176870748,147
Joey,disgust -> neutral -> neutral -> neutral -> anger,1,0.006802721088435374,147
Joey,neutral -> neutral -> joy -> anger -> anger,1,0.006802721088435374,147
