Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Joey,anger -> joy -> neutral -> surprise -> anger,1,0.007518796992481203,133
Joey,anger -> anger -> anger -> neutral -> neutral,2,0.015037593984962405,133
Joey,anger -> anger -> neutral -> neutral -> sadness,1,0.007518796992481203,133
Joey,anger -> neutral -> neutral -> sadness -> sadness,1,0.007518796992481203,133
Joey,anger -> neutral -> neutral -> fear -> neutral,1,0.007518796992481203,133
Joey,anger -> anger -> surprise -> anger -> anger,1,0.007518796992481203,133
Joey,anger -> surprise -> anger -> anger -> anger,1,0.007518796992481203,133
Joey,anger -> anger -> anger -> anger -> joy,1,0.007518796992481203,133
Joey,anger -> anger -> anger -> joy -> neutral,1,0.007518796992481203,133
Joey,anger -> surprise -> neutral -> neutral -> fear,1,0.007518796992481203,133
Joey,anger -> surprise -> anger -> neutral -> neutral,1,0.007518796992481203,133
Joey,anger -> neutral -> neutral -> anger -> surprise,1,0.007518796992481203,133
Joey,anger -> surprise -> surprise -> neutral -> neutral,2,0.015037593984962405,133
Joey,anger -> disgust -> disgust -> disgust -> anger,1,0.007518796992481203,133
Joey,anger -> joy -> disgust -> surprise -> neutral,1,0.007518796992481203,133
Joey,anger -> anger -> surprise -> disgust -> neutral,1,0.007518796992481203,133
Joey,anger -> neutral -> sadness -> anger -> neutral,1,0.007518796992481203,133
Joey,anger -> anger -> neutral -> anger -> surprise,1,0.007518796992481203,133
Joey,anger -> surprise -> neutral -> anger -> neutral,1,0.007518796992481203,133
Joey,anger -> anger -> neutral -> anger -> neutral,3,0.022556390977443608,133
Joey,anger -> neutral -> neutral -> joy -> neutral,2,0.015037593984962405,133
Joey,anger -> surprise -> surprise -> anger -> anger,1,0.007518796992481203,133
Joey,anger -> anger -> joy -> joy -> joy,1,0.007518796992481203,133
Joey,anger -> anger -> anger -> joy -> joy,1,0.007518796992481203,133
Joey,anger -> joy -> joy -> joy -> neutral,1,0.007518796992481203,133
Joey,anger -> sadness -> neutral -> surprise -> joy,1,0.007518796992481203,133
Joey,anger -> anger -> fear -> joy -> fear,1,0.007518796992481203,133
Joey,anger -> fear -> joy -> fear -> surprise,1,0.007518796992481203,133
Joey,anger -> fear -> neutral -> neutral -> neutral,2,0.015037593984962405,133
Joey,anger -> neutral -> surprise -> neutral -> neutral,2,0.015037593984962405,133
Joey,anger -> anger -> anger -> anger -> anger,5,0.03759398496240601,133
