Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Joey,joy,38,133,0.2857142857142857
Joey,neutral,101,133,0.7593984962406015
Joey,sadness,30,133,0.22556390977443608
Joey,disgust,12,133,0.09022556390977443
Joey,surprise,42,133,0.3157894736842105
Joey,anger,133,133,1.0
Joey,fear,13,133,0.09774436090225563
Phoebe,joy,40,143,0.27972027972027974
Phoebe,neutral,100,143,0.6993006993006993
Phoebe,sadness,34,143,0.23776223776223776
Phoebe,disgust,10,143,0.06993006993006994
Phoebe,surprise,52,143,0.36363636363636365
Phoebe,anger,143,143,1.0
Phoebe,fear,8,143,0.055944055944055944
Chandler,joy,34,111,0.3063063063063063
Chandler,neutral,87,111,0.7837837837837838
Chandler,sadness,20,111,0.18018018018018017
Chandler,disgust,16,111,0.14414414414414414
Chandler,surprise,33,111,0.2972972972972973
Chandler,anger,111,111,1.0
Chandler,fear,12,111,0.10810810810810811
Ross,joy,42,171,0.24561403508771928
Ross,neutral,125,171,0.7309941520467836
Ross,sadness,40,171,0.23391812865497075
Ross,disgust,9,171,0.05263157894736842
Ross,surprise,49,171,0.28654970760233917
Ross,anger,171,171,1.0
Ross,fear,11,171,0.06432748538011696
Rachel,joy,38,153,0.24836601307189543
Rachel,neutral,118,153,0.7712418300653595
Rachel,sadness,40,153,0.26143790849673204
Rachel,disgust,16,153,0.10457516339869281
Rachel,surprise,43,153,0.28104575163398693
Rachel,anger,153,153,1.0
Rachel,fear,16,153,0.10457516339869281
other,joy,38,137,0.2773722627737226
other,neutral,96,137,0.7007299270072993
other,sadness,35,137,0.25547445255474455
other,disgust,18,137,0.13138686131386862
other,surprise,41,137,0.29927007299270075
other,anger,137,137,1.0
other,fear,15,137,0.10948905109489052
Monica,joy,41,139,0.2949640287769784
Monica,neutral,100,139,0.7194244604316546
Monica,sadness,30,139,0.2158273381294964
Monica,disgust,19,139,0.1366906474820144
Monica,surprise,43,139,0.30935251798561153
Monica,anger,139,139,1.0
Monica,fear,10,139,0.07194244604316546
