Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,surprise -> neutral -> disgust -> sadness -> neutral,1,0.02631578947368421,38
Chandler,neutral -> joy -> disgust -> surprise -> disgust,1,0.02631578947368421,38
Chandler,disgust -> surprise -> disgust -> neutral -> fear,1,0.02631578947368421,38
Chandler,neutral -> anger -> disgust -> sadness -> neutral,1,0.02631578947368421,38
Chandler,sadness -> neutral -> disgust -> neutral -> disgust,1,0.02631578947368421,38
Chandler,disgust -> neutral -> disgust -> neutral -> neutral,1,0.02631578947368421,38
Chandler,fear -> neutral -> disgust -> surprise -> disgust,1,0.02631578947368421,38
Chandler,joy -> joy -> disgust -> anger -> neutral,1,0.02631578947368421,38
Chandler,surprise -> neutral -> disgust -> sadness -> joy,1,0.02631578947368421,38
Chandler,joy -> surprise -> disgust -> surprise -> neutral,1,0.02631578947368421,38
Chandler,anger -> surprise -> disgust -> neutral -> neutral,1,0.02631578947368421,38
Chandler,surprise -> neutral -> disgust -> joy -> anger,1,0.02631578947368421,38
Chandler,neutral -> neutral -> disgust -> neutral -> anger,1,0.02631578947368421,38
Chandler,surprise -> surprise -> disgust -> neutral -> joy,1,0.02631578947368421,38
Chandler,surprise -> neutral -> disgust -> joy -> joy,1,0.02631578947368421,38
Chandler,joy -> surprise -> disgust -> neutral -> neutral,1,0.02631578947368421,38
Chandler,surprise -> surprise -> disgust -> disgust -> disgust,1,0.02631578947368421,38
Chandler,disgust -> disgust -> disgust -> disgust -> neutral,1,0.02631578947368421,38
Chandler,neutral -> sadness -> disgust -> surprise -> neutral,1,0.02631578947368421,38
Chandler,anger -> anger -> disgust -> anger -> anger,1,0.02631578947368421,38
Chandler,neutral -> neutral -> disgust -> surprise -> neutral,1,0.02631578947368421,38
Chandler,surprise -> surprise -> disgust -> neutral -> neutral,1,0.02631578947368421,38
Chandler,neutral -> fear -> disgust -> disgust -> anger,1,0.02631578947368421,38
Chandler,fear -> disgust -> disgust -> anger -> anger,1,0.02631578947368421,38
Chandler,surprise -> surprise -> disgust -> sadness -> anger,1,0.02631578947368421,38
Chandler,surprise -> anger -> disgust -> neutral -> neutral,1,0.02631578947368421,38
Chandler,joy -> sadness -> disgust -> surprise -> neutral,1,0.02631578947368421,38
Chandler,neutral -> neutral -> disgust -> sadness -> disgust,1,0.02631578947368421,38
Chandler,neutral -> surprise -> disgust -> neutral -> disgust,1,0.02631578947368421,38
Chandler,disgust -> neutral -> disgust -> surprise -> neutral,1,0.02631578947368421,38
Chandler,neutral -> disgust -> disgust -> joy -> anger,1,0.02631578947368421,38
Chandler,neutral -> anger -> disgust -> neutral -> anger,1,0.02631578947368421,38
Chandler,anger -> joy -> disgust -> joy -> surprise,1,0.02631578947368421,38
Chandler,anger -> fear -> disgust -> disgust -> joy,1,0.02631578947368421,38
Chandler,disgust -> surprise -> disgust -> anger -> joy,1,0.02631578947368421,38
Chandler,sadness -> neutral -> disgust -> disgust -> anger,1,0.02631578947368421,38
Chandler,neutral -> disgust -> disgust -> anger -> neutral,1,0.02631578947368421,38
