Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,joy,18,45,0.4
Chandler,neutral,37,45,0.8222222222222222
Chandler,disgust,1,45,0.022222222222222223
Chandler,sadness,5,45,0.1111111111111111
Chandler,surprise,20,45,0.4444444444444444
Chandler,anger,14,45,0.3111111111111111
Chandler,fear,45,45,1.0
Joey,joy,15,40,0.375
Joey,neutral,35,40,0.875
Joey,disgust,4,40,0.1
Joey,sadness,3,40,0.075
Joey,surprise,18,40,0.45
Joey,anger,12,40,0.3
Joey,fear,40,40,1.0
Rachel,joy,11,38,0.2894736842105263
Rachel,neutral,34,38,0.8947368421052632
Rachel,disgust,4,38,0.10526315789473684
Rachel,sadness,12,38,0.3157894736842105
Rachel,surprise,20,38,0.5263157894736842
Rachel,anger,10,38,0.2631578947368421
Rachel,fear,38,38,1.0
Ross,joy,14,36,0.3888888888888889
Ross,neutral,32,36,0.8888888888888888
Ross,disgust,2,36,0.05555555555555555
Ross,sadness,6,36,0.16666666666666666
Ross,surprise,12,36,0.3333333333333333
Ross,anger,10,36,0.2777777777777778
Ross,fear,36,36,1.0
other,joy,15,30,0.5
other,neutral,27,30,0.9
other,disgust,3,30,0.1
other,sadness,7,30,0.23333333333333334
other,surprise,10,30,0.3333333333333333
other,anger,5,30,0.16666666666666666
other,fear,30,30,1.0
Monica,joy,9,24,0.375
Monica,neutral,18,24,0.75
Monica,disgust,4,24,0.16666666666666666
Monica,sadness,3,24,0.125
Monica,surprise,10,24,0.4166666666666667
Monica,anger,8,24,0.3333333333333333
Monica,fear,24,24,1.0
Phoebe,joy,9,24,0.375
Phoebe,neutral,20,24,0.8333333333333334
Phoebe,disgust,3,24,0.125
Phoebe,sadness,6,24,0.25
Phoebe,surprise,8,24,0.3333333333333333
Phoebe,anger,8,24,0.3333333333333333
Phoebe,fear,24,24,1.0
