Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,neutral -> neutral -> neutral -> neutral -> surprise,15,0.02835538752362949,529
Chandler,surprise -> neutral -> neutral -> neutral -> neutral,10,0.01890359168241966,529
Chandler,neutral -> neutral -> neutral -> neutral -> fear,3,0.005671077504725898,529
Chandler,disgust -> sadness -> neutral -> neutral -> joy,1,0.001890359168241966,529
Chandler,joy -> neutral -> neutral -> anger -> joy,1,0.001890359168241966,529
Chandler,neutral -> neutral -> neutral -> neutral -> joy,10,0.01890359168241966,529
Chandler,joy -> neutral -> neutral -> neutral -> neutral,9,0.017013232514177693,529
Chandler,joy -> neutral -> neutral -> disgust -> anger,1,0.001890359168241966,529
Chandler,anger -> joy -> neutral -> neutral -> fear,1,0.001890359168241966,529
Chandler,anger -> anger -> neutral -> anger -> anger,1,0.001890359168241966,529
Chandler,anger -> anger -> neutral -> neutral -> fear,1,0.001890359168241966,529
Chandler,joy -> neutral -> neutral -> surprise -> neutral,3,0.005671077504725898,529
Chandler,neutral -> surprise -> neutral -> neutral -> neutral,10,0.01890359168241966,529
Chandler,neutral -> neutral -> neutral -> neutral -> sadness,4,0.007561436672967864,529
Chandler,anger -> anger -> neutral -> neutral -> neutral,3,0.005671077504725898,529
Chandler,neutral -> neutral -> neutral -> joy -> neutral,14,0.026465028355387523,529
Chandler,disgust -> fear -> neutral -> surprise -> joy,1,0.001890359168241966,529
Chandler,neutral -> joy -> neutral -> neutral -> sadness,1,0.001890359168241966,529
Chandler,sadness -> surprise -> neutral -> surprise -> neutral,1,0.001890359168241966,529
Chandler,surprise -> neutral -> neutral -> surprise -> neutral,3,0.005671077504725898,529
Chandler,neutral -> surprise -> neutral -> surprise -> anger,2,0.003780718336483932,529
Chandler,surprise -> neutral -> neutral -> neutral -> joy,6,0.011342155009451797,529
Chandler,neutral -> joy -> neutral -> joy -> joy,3,0.005671077504725898,529
Chandler,joy -> neutral -> neutral -> neutral -> surprise,4,0.007561436672967864,529
Chandler,anger -> neutral -> neutral -> neutral -> neutral,6,0.011342155009451797,529
Chandler,joy -> anger -> neutral -> anger -> neutral,1,0.001890359168241966,529
Chandler,neutral -> neutral -> neutral -> anger -> neutral,10,0.01890359168241966,529
Chandler,neutral -> anger -> neutral -> anger -> anger,2,0.003780718336483932,529
Chandler,neutral -> surprise -> neutral -> surprise -> neutral,4,0.007561436672967864,529
Chandler,surprise -> neutral -> neutral -> neutral -> surprise,4,0.007561436672967864,529
Chandler,joy -> neutral -> neutral -> neutral -> disgust,2,0.003780718336483932,529
Chandler,disgust -> sadness -> neutral -> disgust -> neutral,1,0.001890359168241966,529
Chandler,neutral -> neutral -> neutral -> surprise -> neutral,9,0.017013232514177693,529
Chandler,neutral -> surprise -> neutral -> surprise -> disgust,1,0.001890359168241966,529
Chandler,joy -> joy -> neutral -> fear -> neutral,1,0.001890359168241966,529
Chandler,neutral -> fear -> neutral -> anger -> joy,1,0.001890359168241966,529
Chandler,joy -> neutral -> neutral -> anger -> neutral,1,0.001890359168241966,529
Chandler,neutral -> neutral -> neutral -> neutral -> anger,6,0.011342155009451797,529
Chandler,fear -> joy -> neutral -> surprise -> fear,1,0.001890359168241966,529
Chandler,neutral -> surprise -> neutral -> joy -> joy,1,0.001890359168241966,529
Chandler,neutral -> surprise -> neutral -> joy -> anger,1,0.001890359168241966,529
Chandler,neutral -> neutral -> neutral -> neutral -> neutral,70,0.1323251417769376,529
Chandler,anger -> anger -> neutral -> anger -> neutral,1,0.001890359168241966,529
Chandler,neutral -> anger -> neutral -> anger -> neutral,4,0.007561436672967864,529
Chandler,disgust -> neutral -> neutral -> neutral -> neutral,3,0.005671077504725898,529
Chandler,neutral -> surprise -> neutral -> fear -> neutral,1,0.001890359168241966,529
Chandler,neutral -> fear -> neutral -> anger -> anger,1,0.001890359168241966,529
Chandler,neutral -> joy -> neutral -> surprise -> neutral,3,0.005671077504725898,529
Chandler,neutral -> surprise -> neutral -> joy -> fear,1,0.001890359168241966,529
Chandler,joy -> joy -> neutral -> neutral -> neutral,7,0.013232514177693762,529
Chandler,neutral -> neutral -> neutral -> joy -> joy,5,0.00945179584120983,529
Chandler,surprise -> anger -> neutral -> neutral -> neutral,4,0.007561436672967864,529
Chandler,surprise -> anger -> neutral -> sadness -> neutral,1,0.001890359168241966,529
Chandler,neutral -> sadness -> neutral -> sadness -> surprise,1,0.001890359168241966,529
Chandler,surprise -> surprise -> neutral -> surprise -> fear,1,0.001890359168241966,529
Chandler,neutral -> joy -> neutral -> joy -> neutral,4,0.007561436672967864,529
Chandler,joy -> joy -> neutral -> neutral -> surprise,1,0.001890359168241966,529
Chandler,joy -> surprise -> neutral -> neutral -> neutral,3,0.005671077504725898,529
Chandler,neutral -> joy -> neutral -> joy -> disgust,1,0.001890359168241966,529
Chandler,joy -> disgust -> neutral -> disgust -> surprise,1,0.001890359168241966,529
Chandler,neutral -> sadness -> neutral -> sadness -> sadness,1,0.001890359168241966,529
Chandler,disgust -> disgust -> neutral -> disgust -> disgust,1,0.001890359168241966,529
Chandler,sadness -> neutral -> neutral -> neutral -> neutral,2,0.003780718336483932,529
Chandler,neutral -> surprise -> neutral -> anger -> neutral,2,0.003780718336483932,529
Chandler,neutral -> anger -> neutral -> surprise -> surprise,1,0.001890359168241966,529
Chandler,neutral -> anger -> neutral -> neutral -> surprise,2,0.003780718336483932,529
Chandler,anger -> surprise -> neutral -> neutral -> neutral,2,0.003780718336483932,529
Chandler,surprise -> neutral -> neutral -> neutral -> disgust,2,0.003780718336483932,529
Chandler,neutral -> neutral -> neutral -> surprise -> sadness,3,0.005671077504725898,529
Chandler,joy -> neutral -> neutral -> joy -> disgust,1,0.001890359168241966,529
Chandler,sadness -> sadness -> neutral -> neutral -> fear,1,0.001890359168241966,529
Chandler,joy -> neutral -> neutral -> anger -> fear,1,0.001890359168241966,529
Chandler,neutral -> joy -> neutral -> neutral -> neutral,9,0.017013232514177693,529
Chandler,sadness -> neutral -> neutral -> surprise -> anger,1,0.001890359168241966,529
