Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Monica,joy,25,69,0.36231884057971014
Monica,neutral,51,69,0.7391304347826086
Monica,sadness,69,69,1.0
Monica,disgust,11,69,0.15942028985507245
Monica,surprise,21,69,0.30434782608695654
Monica,anger,26,69,0.37681159420289856
Monica,fear,4,69,0.057971014492753624
Ross,joy,48,105,0.45714285714285713
Ross,neutral,90,105,0.8571428571428571
Ross,sadness,105,105,1.0
Ross,disgust,9,105,0.08571428571428572
Ross,surprise,33,105,0.3142857142857143
Ross,anger,28,105,0.26666666666666666
Ross,fear,13,105,0.12380952380952381
Chandler,joy,17,60,0.2833333333333333
Chandler,neutral,52,60,0.8666666666666667
Chandler,sadness,60,60,1.0
Chandler,disgust,4,60,0.06666666666666667
Chandler,surprise,27,60,0.45
Chandler,anger,25,60,0.4166666666666667
Chandler,fear,5,60,0.08333333333333333
other,joy,39,90,0.43333333333333335
other,neutral,58,90,0.6444444444444445
other,sadness,90,90,1.0
other,disgust,9,90,0.1
other,surprise,39,90,0.43333333333333335
other,anger,31,90,0.34444444444444444
other,fear,14,90,0.15555555555555556
Joey,joy,25,86,0.29069767441860467
Joey,neutral,70,86,0.813953488372093
Joey,sadness,86,86,1.0
Joey,disgust,6,86,0.06976744186046512
Joey,surprise,24,86,0.27906976744186046
Joey,anger,34,86,0.3953488372093023
Joey,fear,3,86,0.03488372093023256
Phoebe,joy,29,98,0.29591836734693877
Phoebe,neutral,76,98,0.7755102040816326
Phoebe,sadness,98,98,1.0
Phoebe,disgust,3,98,0.030612244897959183
Phoebe,surprise,44,98,0.4489795918367347
Phoebe,anger,28,98,0.2857142857142857
Phoebe,fear,8,98,0.08163265306122448
Rachel,joy,36,134,0.26865671641791045
Rachel,neutral,102,134,0.7611940298507462
Rachel,sadness,134,134,1.0
Rachel,disgust,10,134,0.07462686567164178
Rachel,surprise,46,134,0.34328358208955223
Rachel,anger,34,134,0.2537313432835821
Rachel,fear,11,134,0.08208955223880597
