Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,joy,45,122,0.36885245901639346
Chandler,neutral,113,122,0.9262295081967213
Chandler,sadness,23,122,0.1885245901639344
Chandler,anger,31,122,0.2540983606557377
Chandler,disgust,13,122,0.10655737704918032
Chandler,surprise,122,122,1.0
Chandler,fear,14,122,0.11475409836065574
Phoebe,joy,55,139,0.39568345323741005
Phoebe,neutral,113,139,0.8129496402877698
Phoebe,sadness,33,139,0.23741007194244604
Phoebe,anger,38,139,0.2733812949640288
Phoebe,disgust,14,139,0.10071942446043165
Phoebe,surprise,139,139,1.0
Phoebe,fear,16,139,0.11510791366906475
Joey,joy,59,147,0.4013605442176871
Joey,neutral,137,147,0.9319727891156463
Joey,sadness,22,147,0.14965986394557823
Joey,anger,36,147,0.24489795918367346
Joey,disgust,16,147,0.10884353741496598
Joey,surprise,147,147,1.0
Joey,fear,15,147,0.10204081632653061
Ross,joy,53,132,0.4015151515151515
Ross,neutral,116,132,0.8787878787878788
Ross,sadness,26,132,0.19696969696969696
Ross,anger,40,132,0.30303030303030304
Ross,disgust,5,132,0.03787878787878788
Ross,surprise,132,132,1.0
Ross,fear,12,132,0.09090909090909091
Rachel,joy,69,169,0.40828402366863903
Rachel,neutral,148,169,0.8757396449704142
Rachel,sadness,41,169,0.24260355029585798
Rachel,anger,34,169,0.20118343195266272
Rachel,disgust,13,169,0.07692307692307693
Rachel,surprise,169,169,1.0
Rachel,fear,16,169,0.09467455621301775
Monica,joy,65,148,0.4391891891891892
Monica,neutral,121,148,0.8175675675675675
Monica,sadness,33,148,0.22297297297297297
Monica,anger,39,148,0.2635135135135135
Monica,disgust,19,148,0.12837837837837837
Monica,surprise,148,148,1.0
Monica,fear,11,148,0.07432432432432433
other,joy,73,161,0.453416149068323
other,neutral,133,161,0.8260869565217391
other,sadness,29,161,0.18012422360248448
other,anger,41,161,0.2546583850931677
other,disgust,10,161,0.062111801242236024
other,surprise,161,161,1.0
other,fear,14,161,0.08695652173913043
