Speaker,Emotion,Ngrams_with_emotion,Total_Ngrams_for_Speaker,Ratio
Chandler,joy,49,131,0.37404580152671757
Chandler,neutral,117,131,0.8931297709923665
Chandler,sadness,27,131,0.20610687022900764
Chandler,disgust,14,131,0.10687022900763359
Chandler,surprise,131,131,1.0
Chandler,anger,37,131,0.2824427480916031
Chandler,fear,16,131,0.12213740458015267
Joey,joy,52,161,0.32298136645962733
Joey,neutral,153,161,0.9503105590062112
Joey,sadness,24,161,0.14906832298136646
Joey,disgust,20,161,0.12422360248447205
Joey,surprise,161,161,1.0
Joey,anger,49,161,0.30434782608695654
Joey,fear,13,161,0.08074534161490683
Phoebe,joy,54,137,0.39416058394160586
Phoebe,neutral,116,137,0.8467153284671532
Phoebe,sadness,33,137,0.24087591240875914
Phoebe,disgust,16,137,0.11678832116788321
Phoebe,surprise,137,137,1.0
Phoebe,anger,46,137,0.3357664233576642
Phoebe,fear,12,137,0.08759124087591241
Rachel,joy,80,184,0.43478260869565216
Rachel,neutral,157,184,0.8532608695652174
Rachel,sadness,47,184,0.2554347826086957
Rachel,disgust,14,184,0.07608695652173914
Rachel,surprise,184,184,1.0
Rachel,anger,51,184,0.27717391304347827
Rachel,fear,21,184,0.11413043478260869
other,joy,63,136,0.4632352941176471
other,neutral,115,136,0.8455882352941176
other,sadness,25,136,0.18382352941176472
other,disgust,8,136,0.058823529411764705
other,surprise,136,136,1.0
other,anger,37,136,0.27205882352941174
other,fear,9,136,0.0661764705882353
Ross,joy,57,132,0.4318181818181818
Ross,neutral,117,132,0.8863636363636364
Ross,sadness,25,132,0.1893939393939394
Ross,disgust,10,132,0.07575757575757576
Ross,surprise,132,132,1.0
Ross,anger,39,132,0.29545454545454547
Ross,fear,12,132,0.09090909090909091
Monica,joy,67,162,0.41358024691358025
Monica,neutral,138,162,0.8518518518518519
Monica,sadness,41,162,0.25308641975308643
Monica,disgust,21,162,0.12962962962962962
Monica,surprise,162,162,1.0
Monica,anger,48,162,0.2962962962962963
Monica,fear,12,162,0.07407407407407407
