Speaker,Ngram,Count,Ratio_within_target,Total_Ngrams_with_target
Chandler,surprise -> neutral -> neutral -> neutral -> neutral,10,0.06756756756756757,148
Chandler,surprise -> neutral -> disgust -> sadness -> neutral,1,0.006756756756756757,148
Chandler,surprise -> anger -> anger -> anger -> anger,2,0.013513513513513514,148
Chandler,surprise -> neutral -> surprise -> joy -> joy,2,0.013513513513513514,148
Chandler,surprise -> neutral -> surprise -> neutral -> joy,1,0.006756756756756757,148
Chandler,surprise -> neutral -> neutral -> surprise -> neutral,3,0.02027027027027027,148
Chandler,surprise -> neutral -> surprise -> neutral -> neutral,5,0.033783783783783786,148
Chandler,surprise -> neutral -> neutral -> neutral -> joy,6,0.04054054054054054,148
Chandler,surprise -> joy -> anger -> neutral -> sadness,1,0.006756756756756757,148
Chandler,surprise -> neutral -> neutral -> neutral -> surprise,4,0.02702702702702703,148
Chandler,surprise -> fear -> fear -> neutral -> surprise,1,0.006756756756756757,148
Chandler,surprise -> neutral -> disgust -> sadness -> joy,1,0.006756756756756757,148
Chandler,surprise -> neutral -> anger -> neutral -> fear,1,0.006756756756756757,148
Chandler,surprise -> disgust -> surprise -> neutral -> neutral,1,0.006756756756756757,148
Chandler,surprise -> anger -> neutral -> neutral -> neutral,4,0.02702702702702703,148
Chandler,surprise -> anger -> neutral -> sadness -> neutral,1,0.006756756756756757,148
Chandler,surprise -> neutral -> surprise -> joy -> fear,1,0.006756756756756757,148
Chandler,surprise -> surprise -> neutral -> surprise -> fear,1,0.006756756756756757,148
Chandler,surprise -> neutral -> disgust -> joy -> anger,1,0.006756756756756757,148
Chandler,surprise -> neutral -> anger -> neutral -> neutral,3,0.02027027027027027,148
Chandler,surprise -> neutral -> neutral -> neutral -> disgust,2,0.013513513513513514,148
Chandler,surprise -> neutral -> joy -> fear -> joy,1,0.006756756756756757,148
Chandler,surprise -> neutral -> joy -> neutral -> neutral,1,0.006756756756756757,148
Chandler,surprise -> surprise -> disgust -> neutral -> joy,1,0.006756756756756757,148
Chandler,surprise -> disgust -> neutral -> joy -> anger,1,0.006756756756756757,148
Chandler,surprise -> neutral -> neutral -> anger -> anger,2,0.013513513513513514,148
Chandler,surprise -> sadness -> neutral -> neutral -> neutral,1,0.006756756756756757,148
Chandler,surprise -> joy -> joy -> sadness -> surprise,1,0.006756756756756757,148
