Metric,train_loss,train_acc,train_ce_loss,train_kl_loss,train_task_loss,val_loss,val_acc,val_ce_loss,val_kl_loss,val_task_loss,val_ce_loss_t,val_ce_loss_v,val_ce_loss_a,val_kl_loss_t,val_kl_loss_v,val_kl_loss_a,train_ce_loss_t,train_ce_loss_v,train_ce_loss_a,train_kl_loss_t,train_kl_loss_v,train_kl_loss_a,coeff,comb,dataset
199,0.4054,99.78,0.2189,0.1743,0.0122,6.5549,71.53,4.34,0.7697,1.4451,1.8749,1.101,1.9146,0.598,0.3325,0.3045,0.0549,0.263,0.0326,0.053,0.2512,0.0222,coeff_0p5,"comb_1.00,1.00,0.50,0.50,1.00,0.50",IEMO
199,2.411,81.34,1.8516,0.0163,0.5431,3.7015,65.36,2.6402,0.0064,1.0549,1.0744,1.0443,1.0436,0.0015,0.0042,0.0035,0.6008,0.8614,0.8201,0.003,0.0109,0.0093,coeff_0p5,"comb_1.00,1.00,0.50,0.50,1.00,0.50",MELD
199,0.4954,99.62,0.3226,0.1576,0.0152,5.8696,70.73,3.9301,0.5705,1.3689,1.6895,1.122,1.9634,0.3842,0.3108,0.446,0.0658,0.2588,0.031,0.0527,0.231,0.0316,coeff_0p5,"comb_0.50,1.00,1.00,0.50,0.50,0.50",IEMO
199,2.5346,81.21,1.979,0.0124,0.5432,3.6912,65.44,2.624,0.005,1.0622,1.0665,1.0456,1.0452,0.0016,0.0045,0.0038,0.6198,0.8498,0.8193,0.0034,0.0113,0.0101,coeff_0p5,"comb_0.50,1.00,1.00,0.50,0.50,0.50",MELD
199,0.4592,98.49,0.1963,0.2145,0.0484,3.6394,71.04,1.9577,0.548,1.1336,1.3619,1.2,1.3535,0.1659,0.1809,0.4025,0.0796,0.2567,0.0563,0.0385,0.1494,0.0531,coeff_0p5,"comb_0.50,0.50,0.50,1.00,0.50,1.00",IEMO
199,1.6922,81.92,1.1488,0.0198,0.5236,2.6584,65.21,1.5809,0.0082,1.0692,1.0712,1.0455,1.0451,0.0017,0.0045,0.0039,0.6039,0.8613,0.8324,0.0033,0.0113,0.0104,coeff_0p5,"comb_0.50,0.50,0.50,1.00,0.50,1.00",MELD
199,0.3696,99.72,0.1953,0.1597,0.0145,5.3031,71.78,3.3698,0.5612,1.372,1.697,1.1038,1.9695,0.3824,0.2893,0.4508,0.0595,0.2688,0.0312,0.0474,0.24,0.032,coeff_0p5,"comb_0.50,1.00,0.50,0.50,0.50,0.50",IEMO
199,2.1043,81.47,1.5577,0.0129,0.5338,3.1766,65.25,2.1024,0.0052,1.069,1.0687,1.0472,1.0444,0.0017,0.0047,0.004,0.6137,0.8618,0.8199,0.0035,0.0119,0.0104,coeff_0p5,"comb_0.50,1.00,0.50,0.50,0.50,0.50",MELD
199,0.5098,99.69,0.3253,0.1696,0.0148,5.9287,71.04,3.8241,0.7248,1.3799,1.6305,1.1056,1.9032,0.5219,0.3538,0.2869,0.0661,0.2594,0.0328,0.0593,0.2399,0.02,coeff_0p5,"comb_0.50,1.00,1.00,0.50,1.00,0.50",IEMO
199,2.5397,81.06,1.9786,0.0163,0.5449,3.6872,65.48,2.6242,0.0064,1.0567,1.0656,1.0452,1.0462,0.0016,0.0042,0.0035,0.6202,0.8498,0.8188,0.0033,0.0107,0.0093,coeff_0p5,"comb_0.50,1.00,1.00,0.50,1.00,0.50",MELD
199,0.4982,98.9,0.226,0.239,0.0332,5.8145,71.35,3.8636,0.6989,1.252,1.6658,1.1746,1.6105,0.2188,0.2138,0.5324,0.0598,0.255,0.0386,0.0351,0.1779,0.0521,coeff_0p5,"comb_1.00,1.00,0.50,1.00,0.50,1.00",IEMO
199,2.4124,81.33,1.8509,0.0181,0.5434,3.6999,65.48,2.639,0.0073,1.0536,1.0739,1.0461,1.0421,0.0014,0.0041,0.0035,0.6003,0.8601,0.8206,0.0029,0.0105,0.0095,coeff_0p5,"comb_1.00,1.00,0.50,1.00,0.50,1.00",MELD
