accuracy,coeff,comb,dataset
0.7338262476894639,coeff_0p5,"comb_1.00,1.00,0.50,0.50,1.00,0.50",IEMO
0.7356746765249538,coeff_0p5,"comb_0.50,1.00,1.00,0.50,0.50,0.50",IEMO
0.7362908194701171,coeff_0p5,"comb_0.50,0.50,0.50,1.00,0.50,1.00",IEMO
0.7393715341959335,coeff_0p5,"comb_0.50,1.00,0.50,0.50,0.50,0.50",IEMO
0.7362908194701171,coeff_0p5,"comb_0.50,1.00,1.00,0.50,1.00,0.50",IEMO
0.7356746765249538,coeff_0p5,"comb_1.00,1.00,0.50,1.00,0.50,1.00",IEMO
0.7356746765249538,coeff_0p5,"comb_0.50,0.50,1.00,0.50,1.00,0.50",IEMO
0.7362908194701171,coeff_0p5,"comb_1.00,0.50,0.50,0.50,1.00,0.50",IEMO
0.7430683918669131,coeff_0p5,"comb_1.00,0.50,1.00,0.50,1.00,1.00",IEMO
0.7356746765249538,coeff_0p5,"comb_1.00,1.00,0.50,1.00,1.00,1.00",IEMO
0.7375231053604436,coeff_0p5,"comb_1.00,0.50,1.00,1.00,0.50,0.50",IEMO
0.7424522489217499,coeff_0p5,"comb_0.50,1.00,0.50,1.00,1.00,0.50",IEMO
0.738139248305607,coeff_0p5,"comb_1.00,0.50,0.50,0.50,1.00,1.00",IEMO
0.7399876771410967,coeff_0p5,"comb_0.50,1.00,0.50,0.50,1.00,1.00",IEMO
0.7356746765249538,coeff_0p5,"comb_0.50,0.50,0.50,1.00,0.50,0.50",IEMO
0.7387553912507702,coeff_0p5,"comb_0.50,0.50,0.50,1.00,1.00,1.00",IEMO
0.7350585335797906,coeff_0p5,"comb_1.00,0.50,1.00,1.00,1.00,0.50",IEMO
0.738139248305607,coeff_0p5,"comb_1.00,0.50,0.50,1.00,0.50,1.00",IEMO
0.738139248305607,coeff_0p5,"comb_0.50,1.00,0.50,0.50,0.50,1.00",IEMO
0.7356746765249538,coeff_0p5,"comb_0.50,0.50,1.00,1.00,0.50,1.00",IEMO
0.738139248305607,coeff_0p5,"comb_0.50,0.50,1.00,0.50,1.00,1.00",IEMO
0.738139248305607,coeff_0p5,"comb_1.00,0.50,1.00,0.50,0.50,0.50",IEMO
0.7362908194701171,coeff_0p5,"comb_1.00,1.00,1.00,1.00,1.00,0.50",IEMO
0.7369069624152803,coeff_0p5,"comb_1.00,0.50,0.50,0.50,0.50,0.50",IEMO
0.7369069624152803,coeff_0p5,"comb_1.00,1.00,0.50,1.00,1.00,0.50",IEMO
0.7362908194701171,coeff_0p5,"comb_1.00,0.50,0.50,0.50,0.50,1.00",IEMO
0.7387553912507702,coeff_0p5,"comb_0.50,0.50,0.50,1.00,1.00,0.50",IEMO
0.738139248305607,coeff_0p5,"comb_0.50,1.00,0.50,1.00,0.50,0.50",IEMO
0.7387553912507702,coeff_0p5,"comb_1.00,1.00,0.50,0.50,1.00,1.00",IEMO
0.74060382008626,coeff_0p5,"comb_1.00,0.50,0.50,1.00,1.00,1.00",IEMO
0.7418361059765866,coeff_0p5,"comb_1.00,1.00,1.00,0.50,0.50,1.00",IEMO
0.7356746765249538,coeff_0p5,"comb_1.00,0.50,1.00,0.50,1.00,0.50",IEMO
0.7393715341959335,coeff_0p5,"comb_0.50,1.00,1.00,0.50,1.00,1.00",IEMO
0.7350585335797906,coeff_0p5,"comb_1.00,0.50,0.50,1.00,0.50,0.50",IEMO
0.7387553912507702,coeff_0p5,"comb_1.00,0.50,0.50,1.00,1.00,0.50",IEMO
0.7362908194701171,coeff_0p5,"comb_0.50,0.50,1.00,1.00,1.00,0.50",IEMO
0.7369069624152803,coeff_0p5,"comb_0.50,0.50,0.50,0.50,1.00,1.00",IEMO
0.7362908194701171,coeff_0p5,"comb_0.50,0.50,1.00,1.00,0.50,0.50",IEMO
0.7375231053604436,coeff_0p5,"comb_1.00,0.50,1.00,0.50,0.50,1.00",IEMO
0.7387553912507702,coeff_0p5,"comb_0.50,0.50,1.00,1.00,1.00,1.00",IEMO
0.7362908194701171,coeff_0p5,"comb_1.00,1.00,1.00,0.50,0.50,0.50",IEMO
0.7344423906346272,coeff_0p5,"comb_0.50,0.50,0.50,0.50,1.00,0.50",IEMO
0.7369069624152803,coeff_0p5,"comb_0.50,1.00,1.00,1.00,0.50,0.50",IEMO
0.7393715341959335,coeff_0p5,"comb_1.00,1.00,0.50,0.50,0.50,1.00",IEMO
0.7387553912507702,coeff_0p5,"comb_0.50,0.50,0.50,0.50,0.50,0.50",IEMO
0.7387553912507702,coeff_0p5,"comb_0.50,0.50,1.00,0.50,0.50,0.50",IEMO
0.738139248305607,coeff_0p5,"comb_1.00,1.00,1.00,1.00,0.50,0.50",IEMO
