accuracy,coeff,comb,dataset
0.674712643678161,coeff_0p5,"comb_1.00,1.00,0.50,0.50,1.00,0.50",MELD
0.6731800766283524,coeff_0p5,"comb_0.50,1.00,1.00,0.50,0.50,0.50",MELD
0.6735632183908046,coeff_0p5,"comb_0.50,0.50,0.50,1.00,0.50,1.00",MELD
0.6731800766283524,coeff_0p5,"comb_0.50,1.00,0.50,0.50,0.50,0.50",MELD
0.6727969348659004,coeff_0p5,"comb_0.50,1.00,1.00,0.50,1.00,0.50",MELD
0.6743295019157088,coeff_0p5,"comb_1.00,1.00,0.50,1.00,0.50,1.00",MELD
0.6720306513409962,coeff_0p5,"comb_0.50,0.50,1.00,0.50,1.00,0.50",MELD
0.6731800766283524,coeff_0p5,"comb_1.00,0.50,0.50,0.50,1.00,0.50",MELD
0.674712643678161,coeff_0p5,"comb_1.00,0.50,1.00,0.50,1.00,1.00",MELD
0.6743295019157088,coeff_0p5,"comb_1.00,1.00,0.50,1.00,1.00,1.00",MELD
0.6739463601532567,coeff_0p5,"comb_1.00,0.50,1.00,1.00,0.50,0.50",MELD
0.6724137931034483,coeff_0p5,"comb_0.50,1.00,0.50,1.00,1.00,0.50",MELD
0.6735632183908046,coeff_0p5,"comb_1.00,0.50,0.50,0.50,1.00,1.00",MELD
0.6739463601532567,coeff_0p5,"comb_0.50,1.00,0.50,0.50,1.00,1.00",MELD
0.6724137931034483,coeff_0p5,"comb_0.50,0.50,0.50,1.00,0.50,0.50",MELD
0.6743295019157088,coeff_0p5,"comb_0.50,0.50,0.50,1.00,1.00,1.00",MELD
0.6739463601532567,coeff_0p5,"comb_1.00,0.50,1.00,1.00,1.00,0.50",MELD
0.6731800766283524,coeff_0p5,"comb_1.00,0.50,0.50,1.00,0.50,1.00",MELD
0.6727969348659004,coeff_0p5,"comb_0.50,1.00,0.50,0.50,0.50,1.00",MELD
0.6720306513409962,coeff_0p5,"comb_0.50,0.50,1.00,1.00,0.50,1.00",MELD
0.6731800766283524,coeff_0p5,"comb_0.50,0.50,1.00,0.50,1.00,1.00",MELD
0.6735632183908046,coeff_0p5,"comb_1.00,0.50,1.00,0.50,0.50,0.50",MELD
0.6735632183908046,coeff_0p5,"comb_1.00,1.00,1.00,1.00,1.00,0.50",MELD
0.6731800766283524,coeff_0p5,"comb_1.00,0.50,0.50,0.50,0.50,0.50",MELD
0.675095785440613,coeff_0p5,"comb_1.00,1.00,0.50,1.00,1.00,0.50",MELD
0.6731800766283524,coeff_0p5,"comb_1.00,0.50,0.50,0.50,0.50,1.00",MELD
0.6731800766283524,coeff_0p5,"comb_0.50,0.50,0.50,1.00,1.00,0.50",MELD
0.6735632183908046,coeff_0p5,"comb_0.50,1.00,0.50,1.00,0.50,0.50",MELD
0.6743295019157088,coeff_0p5,"comb_1.00,1.00,0.50,0.50,1.00,1.00",MELD
0.6735632183908046,coeff_0p5,"comb_1.00,0.50,0.50,1.00,1.00,1.00",MELD
0.6735632183908046,coeff_0p5,"comb_1.00,1.00,1.00,0.50,0.50,1.00",MELD
0.6739463601532567,coeff_0p5,"comb_1.00,0.50,1.00,0.50,1.00,0.50",MELD
0.6727969348659004,coeff_0p5,"comb_0.50,1.00,1.00,0.50,1.00,1.00",MELD
0.6731800766283524,coeff_0p5,"comb_1.00,0.50,0.50,1.00,0.50,0.50",MELD
0.6727969348659004,coeff_0p5,"comb_1.00,0.50,0.50,1.00,1.00,0.50",MELD
0.6720306513409962,coeff_0p5,"comb_0.50,0.50,1.00,1.00,1.00,0.50",MELD
0.6739463601532567,coeff_0p5,"comb_0.50,0.50,0.50,0.50,1.00,1.00",MELD
0.6724137931034483,coeff_0p5,"comb_0.50,0.50,1.00,1.00,0.50,0.50",MELD
0.6739463601532567,coeff_0p5,"comb_1.00,0.50,1.00,0.50,0.50,1.00",MELD
0.6731800766283524,coeff_0p5,"comb_0.50,0.50,1.00,1.00,1.00,1.00",MELD
0.6731800766283524,coeff_0p5,"comb_1.00,1.00,1.00,0.50,0.50,0.50",MELD
0.6731800766283524,coeff_0p5,"comb_0.50,0.50,0.50,0.50,1.00,0.50",MELD
0.6735632183908046,coeff_0p5,"comb_0.50,1.00,1.00,1.00,0.50,0.50",MELD
0.6739463601532567,coeff_0p5,"comb_1.00,1.00,0.50,0.50,0.50,1.00",MELD
0.6727969348659004,coeff_0p5,"comb_0.50,0.50,0.50,0.50,0.50,0.50",MELD
0.6724137931034483,coeff_0p5,"comb_0.50,0.50,1.00,0.50,0.50,0.50",MELD
0.6735632183908046,coeff_0p5,"comb_1.00,1.00,1.00,1.00,0.50,0.50",MELD
0.6727969348659004,coeff_0p5,"comb_0.50,1.00,1.00,1.00,0.50,1.00",MELD
0.6735632183908046,coeff_0p5,"comb_1.00,1.00,1.00,1.00,0.50,1.00",MELD
0.6724137931034483,coeff_0p5,"comb_0.50,1.00,1.00,1.00,1.00,0.50",MELD
0.6720306513409962,coeff_0p5,"comb_0.50,0.50,1.00,0.50,0.50,1.00",MELD
0.6731800766283524,coeff_0p5,"comb_1.00,1.00,0.50,0.50,0.50,0.50",MELD
0.6727969348659004,coeff_0p5,"comb_0.50,0.50,0.50,0.50,0.50,1.00",MELD
0.6727969348659004,coeff_0p5,"comb_0.50,1.00,1.00,1.00,1.00,1.00",MELD
0.6727969348659004,coeff_0p5,"comb_1.00,1.00,0.50,1.00,0.50,0.50",MELD
0.675095785440613,coeff_0p5,"comb_1.00,0.50,1.00,1.00,1.00,1.00",MELD
0.6724137931034483,coeff_0p5,"comb_0.50,1.00,0.50,0.50,1.00,0.50",MELD
0.6724137931034483,coeff_0p5,"comb_0.50,1.00,1.00,0.50,0.50,1.00",MELD
0.6739463601532567,coeff_0p5,"comb_1.00,0.50,1.00,1.00,0.50,1.00",MELD
0.6743295019157088,coeff_0p5,"comb_0.50,1.00,0.50,1.00,1.00,1.00",MELD
0.6724137931034483,coeff_0p5,"comb_0.50,1.00,0.50,1.00,0.50,1.00",MELD
0.6735632183908046,coeff_0p5,"comb_1.00,1.00,1.00,0.50,1.00,0.50",MELD
0.6739463601532567,coeff_0p5,"comb_1.00,1.00,1.00,0.50,1.00,1.00",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.50,1.00,1.50,1.50,1.00",MELD
0.6743295019157088,coeff_1p5,"comb_1.00,1.50,1.00,1.50,1.00,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.50,1.00,1.00,1.50,1.50",MELD
0.6743295019157088,coeff_1p5,"comb_1.50,1.00,1.50,1.00,1.00,1.00",MELD
0.675095785440613,coeff_1p5,"comb_1.50,1.00,1.50,1.50,1.50,1.00",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.50,1.50,1.00,1.50,1.00",MELD
0.674712643678161,coeff_1p5,"comb_1.00,1.00,1.00,1.50,1.00,1.50",MELD
0.675095785440613,coeff_1p5,"comb_1.00,1.00,1.50,1.50,1.50,1.00",MELD
0.675095785440613,coeff_1p5,"comb_1.50,1.00,1.00,1.50,1.50,1.00",MELD
0.6743295019157088,coeff_1p5,"comb_1.50,1.00,1.00,1.00,1.00,1.00",MELD
0.6743295019157088,coeff_1p5,"comb_1.50,1.00,1.50,1.50,1.50,1.50",MELD
0.6743295019157088,coeff_1p5,"comb_1.50,1.50,1.00,1.00,1.50,1.00",MELD
0.674712643678161,coeff_1p5,"comb_1.00,1.00,1.50,1.00,1.50,1.00",MELD
0.675095785440613,coeff_1p5,"comb_1.00,1.50,1.50,1.50,1.50,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.00,1.00,1.50,1.00,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.50,1.50,1.50,1.50,1.00",MELD
0.674712643678161,coeff_1p5,"comb_1.00,1.50,1.00,1.50,1.50,1.00",MELD
0.6739463601532567,coeff_1p5,"comb_1.00,1.50,1.00,1.00,1.00,1.00",MELD
0.675095785440613,coeff_1p5,"comb_1.00,1.50,1.50,1.00,1.00,1.50",MELD
0.6739463601532567,coeff_1p5,"comb_1.00,1.50,1.00,1.50,1.00,1.00",MELD
0.675095785440613,coeff_1p5,"comb_1.50,1.00,1.50,1.50,1.00,1.50",MELD
0.6754789272030651,coeff_1p5,"comb_1.00,1.50,1.50,1.00,1.50,1.00",MELD
0.675095785440613,coeff_1p5,"comb_1.50,1.00,1.00,1.50,1.00,1.00",MELD
0.6743295019157088,coeff_1p5,"comb_1.50,1.50,1.50,1.50,1.50,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.00,1.00,1.50,1.50,1.50,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.00,1.00,1.00,1.50,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.00,1.50,1.00,1.00,1.50",MELD
0.675095785440613,coeff_1p5,"comb_1.00,1.50,1.00,1.50,1.50,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.00,1.50,1.00,1.00,1.50,1.00",MELD
0.675095785440613,coeff_1p5,"comb_1.00,1.00,1.50,1.00,1.50,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.50,1.00,1.50,1.50,1.50",MELD
0.675095785440613,coeff_1p5,"comb_1.50,1.50,1.00,1.00,1.00,1.00",MELD
0.675095785440613,coeff_1p5,"comb_1.50,1.50,1.50,1.00,1.00,1.00",MELD
0.6754789272030651,coeff_1p5,"comb_1.00,1.00,1.00,1.00,1.50,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.00,1.50,1.50,1.00,1.00",MELD
0.6743295019157088,coeff_1p5,"comb_1.50,1.00,1.00,1.50,1.50,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.00,1.50,1.00,1.50,1.50",MELD
0.6739463601532567,coeff_1p5,"comb_1.00,1.00,1.00,1.50,1.00,1.00",MELD
0.674712643678161,coeff_1p5,"comb_1.00,1.00,1.00,1.00,1.50,1.00",MELD
0.675095785440613,coeff_1p5,"comb_1.00,1.50,1.00,1.00,1.50,1.50",MELD
0.6743295019157088,coeff_1p5,"comb_1.00,1.00,1.50,1.50,1.00,1.00",MELD
0.675095785440613,coeff_1p5,"comb_1.50,1.50,1.50,1.50,1.00,1.50",MELD
0.6754789272030651,coeff_1p5,"comb_1.00,1.00,1.00,1.50,1.50,1.50",MELD
0.675095785440613,coeff_1p5,"comb_1.00,1.50,1.50,1.50,1.00,1.50",MELD
0.6743295019157088,coeff_1p5,"comb_1.00,1.50,1.50,1.00,1.00,1.00",MELD
0.675095785440613,coeff_1p5,"comb_1.50,1.50,1.50,1.00,1.00,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.00,1.50,1.00,1.00,1.00,1.50",MELD
0.6743295019157088,coeff_1p5,"comb_1.00,1.00,1.50,1.00,1.00,1.00",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.00,1.50,1.00,1.50,1.00",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.50,1.00,1.50,1.00,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.00,1.50,1.50,1.50,1.00,1.00",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.00,1.00,1.00,1.50,1.00",MELD
0.674712643678161,coeff_1p5,"comb_1.50,1.50,1.00,1.00,1.00,1.50",MELD
0.674712643678161,coeff_1p5,"comb_1.00,1.00,1.00,1.00,1.00,1.50",MELD
0.6743295019157088,coeff_1p5,"comb_1.00,1.00,1.50,1.50,1.00,1.50",MELD
0.6743295019157088,coeff_1p5,"comb_1.50,1.50,1.00,1.50,1.00,1.00",MELD
0.6739463601532567,coeff_1p5,"comb_1.50,1.50,1.50,1.00,1.50,1.50",MELD
0.675095785440613,coeff_1p5,"comb_1.50,1.50,1.50,1.50,1.00,1.00",MELD
