accuracy,conff,comb,dataset
0.674712643678161,conff_t,"comb_2.0, 1.0, 1.0, 2.0, 1.0, 1.0",MELD
0.6754789272030651,conff_t,"comb_2.5, 1.0, 1.0, 2.5, 1.0, 1.0",MELD
0.6739463601532567,conff_t,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",MELD
0.6727969348659004,conff_t,"comb_0.5, 1.0, 1.0, 0.5, 1.0, 1.0",MELD
0.6743295019157088,conff_t,"comb_3.0, 1.0, 1.0, 3.0, 1.0, 1.0",MELD
0.675095785440613,conff_t,"comb_1.5, 1.0, 1.0, 1.5, 1.0, 1.0",MELD
0.6743295019157088,conff_v,"comb_1.0, 1.0, 1.5, 1.0, 1.0, 1.5",MELD
0.675095785440613,conff_v,"comb_1.0, 1.0, 0.5, 1.0, 1.0, 0.5",MELD
0.6758620689655173,conff_v,"comb_1.0, 1.0, 3.0, 1.0, 1.0, 3.0",MELD
0.6739463601532567,conff_v,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",MELD
0.675095785440613,conff_v,"comb_1.0, 1.0, 2.0, 1.0, 1.0, 2.0",MELD
0.675095785440613,conff_v,"comb_1.0, 1.0, 2.5, 1.0, 1.0, 2.5",MELD
0.6758620689655173,conff_a,"comb_1.0, 3.0, 1.0, 1.0, 3.0, 1.0",MELD
0.6739463601532567,conff_a,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",MELD
0.674712643678161,conff_a,"comb_1.0, 1.5, 1.0, 1.0, 1.5, 1.0",MELD
0.6739463601532567,conff_a,"comb_1.0, 0.5, 1.0, 1.0, 0.5, 1.0",MELD
0.6754789272030651,conff_a,"comb_1.0, 2.0, 1.0, 1.0, 2.0, 1.0",MELD
0.6754789272030651,conff_a,"comb_1.0, 2.5, 1.0, 1.0, 2.5, 1.0",MELD
