accuracy,coeff,comb,dataset,accuracy,coeff,comb,dataset,accuracy,coeff,comb,dataset
0.743684534812076,coeff_a,"comb_1.0, 2.0, 1.0, 1.0, 0.5, 1.0",IEMO,0.74060382008626,coeff_t,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",IEMO,0.743068391866913,coeff_v,"comb_1.0, 1.0, 2.0, 1.0, 1.0, 1.5",IEMO
0.743068391866913,coeff_a,"comb_1.0, 1.5, 1.0, 1.0, 0.5, 1.0",IEMO,0.739371534195934,coeff_t,"comb_1.5, 1.0, 1.0, 0.5, 1.0, 1.0",IEMO,0.74245224892175,coeff_v,"comb_1.0, 1.0, 1.5, 1.0, 1.0, 1.5",IEMO
0.74060382008626,coeff_a,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",IEMO,0.73875539125077,coeff_t,"comb_0.5, 1.0, 1.0, 1.0, 1.0, 1.0",IEMO,0.741836105976587,coeff_v,"comb_1.0, 1.0, 1.5, 1.0, 1.0, 1.0",IEMO
0.739371534195934,coeff_a,"comb_1.0, 2.0, 1.0, 1.0, 1.0, 1.0",IEMO,0.738139248305607,coeff_t,"comb_2.0, 1.0, 1.0, 0.5, 1.0, 1.0",IEMO,0.74060382008626,coeff_v,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",IEMO
0.73875539125077,coeff_a,"comb_1.0, 1.0, 1.0, 1.0, 0.5, 1.0",IEMO,0.737523105360444,coeff_t,"comb_1.0, 1.0, 1.0, 0.5, 1.0, 1.0",IEMO,0.74060382008626,coeff_v,"comb_1.0, 1.0, 1.5, 1.0, 1.0, 0.5",IEMO
0.73875539125077,coeff_a,"comb_1.0, 1.5, 1.0, 1.0, 1.0, 1.0",IEMO,0.736290819470117,coeff_t,"comb_0.5, 1.0, 1.0, 0.5, 1.0, 1.0",IEMO,0.739371534195934,coeff_v,"comb_1.0, 1.0, 2.0, 1.0, 1.0, 2.0",IEMO
0.737523105360444,coeff_a,"comb_1.0, 0.5, 1.0, 1.0, 1.5, 1.0",IEMO,0.736290819470117,coeff_t,"comb_2.0, 1.0, 1.0, 1.0, 1.0, 1.0",IEMO,0.739371534195934,coeff_v,"comb_1.0, 1.0, 0.5, 1.0, 1.0, 2.0",IEMO
0.737523105360444,coeff_a,"comb_1.0, 1.5, 1.0, 1.0, 1.5, 1.0",IEMO,0.736290819470117,coeff_t,"comb_0.5, 1.0, 1.0, 1.5, 1.0, 1.0",IEMO,0.73875539125077,coeff_v,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 2.0",IEMO
0.73690696241528,coeff_a,"comb_1.0, 0.5, 1.0, 1.0, 2.0, 1.0",IEMO,0.735674676524954,coeff_t,"comb_0.5, 1.0, 1.0, 2.0, 1.0, 1.0",IEMO,0.738139248305607,coeff_v,"comb_1.0, 1.0, 2.0, 1.0, 1.0, 0.5",IEMO
0.736290819470117,coeff_a,"comb_1.0, 1.0, 1.0, 1.0, 2.0, 1.0",IEMO,0.735058533579791,coeff_t,"comb_2.0, 1.0, 1.0, 1.5, 1.0, 1.0",IEMO,0.738139248305607,coeff_v,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 0.5",IEMO
